rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20231204000327,11011,2023,01442966,357430,CFS,연결재무제표,BS,재무상태표,유동자산,제 7 기,2023.09.30 현재,"10,876,471,542",제 6 기,2023.03.31 현재,"11,348,934,932",제 5 기,2022.09.30 현재,"10,337,100,451",1,KRW
20231204000327,11011,2023,01442966,357430,CFS,연결재무제표,BS,재무상태표,비유동자산,제 7 기,2023.09.30 현재,"159,268,882,011",제 6 기,2023.03.31 현재,"167,975,656,839",제 5 기,2022.09.30 현재,"170,472,092,760",3,KRW
20231204000327,11011,2023,01442966,357430,CFS,연결재무제표,BS,재무상태표,자산총계,제 7 기,2023.09.30 현재,"170,145,353,553",제 6 기,2023.03.31 현재,"179,324,591,771",제 5 기,2022.09.30 현재,"180,809,193,211",5,KRW
20231204000327,11011,2023,01442966,357430,CFS,연결재무제표,BS,재무상태표,유동부채,제 7 기,2023.09.30 현재,"994,446,436",제 6 기,2023.03.31 현재,"617,631,805",제 5 기,2022.09.30 현재,"489,954,975",7,KRW
20231204000327,11011,2023,01442966,357430,CFS,연결재무제표,BS,재무상태표,비유동부채,제 7 기,2023.09.30 현재,"44,129,596,881",제 6 기,2023.03.31 현재,"43,975,593,705",제 5 기,2022.09.30 현재,"43,916,894,293",9,KRW
20231204000327,11011,2023,01442966,357430,CFS,연결재무제표,BS,재무상태표,부채총계,제 7 기,2023.09.30 현재,"45,124,043,317",제 6 기,2023.03.31 현재,"44,593,225,510",제 5 기,2022.09.30 현재,"44,406,849,268",11,KRW
20231204000327,11011,2023,01442966,357430,CFS,연결재무제표,BS,재무상태표,자본금,제 7 기,2023.09.30 현재,"26,580,000,000",제 6 기,2023.03.31 현재,"26,580,000,000",제 5 기,2022.09.30 현재,"26,580,000,000",13,KRW
20231204000327,11011,2023,01442966,357430,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 7 기,2023.09.30 현재,"-5,372,682,374",제 6 기,2023.03.31 현재,"4,226,145,454",제 5 기,2022.09.30 현재,"6,353,536,498",17,KRW
20231204000327,11011,2023,01442966,357430,CFS,연결재무제표,BS,재무상태표,자본총계,제 7 기,2023.09.30 현재,"125,021,310,236",제 6 기,2023.03.31 현재,"134,731,366,261",제 5 기,2022.09.30 현재,"136,402,343,943",21,KRW
20231204000327,11011,2023,01442966,357430,CFS,연결재무제표,IS,손익계산서,매출액,제 7 기,2023.04.01 ~ 2023.09.30,"4,081,936,676",제 6 기,2022.10.01 ~ 2023.03.31,"4,258,026,000",제 5 기,2022.04.01 ~ 2022.09.30,"4,186,634,469",23,KRW
