rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250321001254,11011,2024,00261373,038290,CFS,연결재무제표,BS,재무상태표,유동자산,제 29 기,2024.12.31 현재,"112,080,621,589",제 28 기,2023.12.31 현재,"74,033,755,510",제 27 기,2022.12.31 현재,"90,568,243,223",1,KRW
20250321001254,11011,2024,00261373,038290,CFS,연결재무제표,BS,재무상태표,비유동자산,제 29 기,2024.12.31 현재,"217,579,390,006",제 28 기,2023.12.31 현재,"183,784,265,543",제 27 기,2022.12.31 현재,"189,557,421,020",3,KRW
20250321001254,11011,2024,00261373,038290,CFS,연결재무제표,BS,재무상태표,자산총계,제 29 기,2024.12.31 현재,"329,660,011,595",제 28 기,2023.12.31 현재,"257,818,021,053",제 27 기,2022.12.31 현재,"280,125,664,243",5,KRW
20250321001254,11011,2024,00261373,038290,CFS,연결재무제표,BS,재무상태표,유동부채,제 29 기,2024.12.31 현재,"126,077,025,137",제 28 기,2023.12.31 현재,"57,598,929,334",제 27 기,2022.12.31 현재,"57,572,487,324",7,KRW
20250321001254,11011,2024,00261373,038290,CFS,연결재무제표,BS,재무상태표,비유동부채,제 29 기,2024.12.31 현재,"26,155,710,449",제 28 기,2023.12.31 현재,"39,260,831,812",제 27 기,2022.12.31 현재,"41,594,370,650",9,KRW
20250321001254,11011,2024,00261373,038290,CFS,연결재무제표,BS,재무상태표,부채총계,제 29 기,2024.12.31 현재,"152,232,735,586",제 28 기,2023.12.31 현재,"96,859,761,146",제 27 기,2022.12.31 현재,"99,166,857,974",11,KRW
20250321001254,11011,2024,00261373,038290,CFS,연결재무제표,BS,재무상태표,자본금,제 29 기,2024.12.31 현재,"5,420,700,000",제 28 기,2023.12.31 현재,"5,420,700,000",제 27 기,2022.12.31 현재,"5,420,700,000",13,KRW
20250321001254,11011,2024,00261373,038290,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 29 기,2024.12.31 현재,"66,854,503,794",제 28 기,2023.12.31 현재,"77,967,546,350",제 27 기,2022.12.31 현재,"97,810,328,551",17,KRW
20250321001254,11011,2024,00261373,038290,CFS,연결재무제표,BS,재무상태표,자본총계,제 29 기,2024.12.31 현재,"177,427,276,009",제 28 기,2023.12.31 현재,"160,958,259,907",제 27 기,2022.12.31 현재,"180,958,806,269",21,KRW
20250321001254,11011,2024,00261373,038290,CFS,연결재무제표,IS,손익계산서,매출액,제 29 기,2024.01.01 ~ 2024.12.31,"135,776,658,229",제 28 기,2023.01.01 ~ 2023.12.31,"132,803,131,511",제 27 기,2022.01.01 ~ 2022.12.31,"138,617,489,348",23,KRW
20250321001254,11011,2024,00261373,038290,CFS,연결재무제표,IS,손익계산서,영업이익,제 29 기,2024.01.01 ~ 2024.12.31,"-6,464,344,515",제 28 기,2023.01.01 ~ 2023.12.31,"-423,115,234",제 27 기,2022.01.01 ~ 2022.12.31,"5,289,492,369",25,KRW
20250321001254,11011,2024,00261373,038290,CFS,연결재무제표,IS,손익계산서,당기순이익,제 29 기,2024.01.01 ~ 2024.12.31,"-7,783,573,850",제 28 기,2023.01.01 ~ 2023.12.31,"-16,750,535,421",제 27 기,2022.01.01 ~ 2022.12.31,"-22,005,353,199",29,KRW
20250321001254,11011,2024,00261373,038290,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 29 기,2024.01.01 ~ 2024.12.31,"-7,783,573,850",제 28 기,2023.01.01 ~ 2023.12.31,"-16,750,535,421",제 27 기,2022.01.01 ~ 2022.12.31,"-22,005,353,199",61,KRW
20250321001254,11011,2024,00261373,038290,OFS,재무제표,BS,재무상태표,유동자산,제 29 기,2024.12.31 현재,"70,440,331,355",제 28 기,2023.12.31 현재,"58,459,423,575",제 27 기,2022.12.31 현재,"75,489,061,194",2,KRW
20250321001254,11011,2024,00261373,038290,OFS,재무제표,BS,재무상태표,비유동자산,제 29 기,2024.12.31 현재,"179,425,085,705",제 28 기,2023.12.31 현재,"145,368,224,678",제 27 기,2022.12.31 현재,"136,691,274,563",4,KRW
20250321001254,11011,2024,00261373,038290,OFS,재무제표,BS,재무상태표,자산총계,제 29 기,2024.12.31 현재,"249,865,417,060",제 28 기,2023.12.31 현재,"203,827,648,253",제 27 기,2022.12.31 현재,"212,180,335,757",6,KRW
20250321001254,11011,2024,00261373,038290,OFS,재무제표,BS,재무상태표,유동부채,제 29 기,2024.12.31 현재,"98,836,160,303",제 28 기,2023.12.31 현재,"45,324,457,247",제 27 기,2022.12.31 현재,"46,311,428,022",8,KRW
20250321001254,11011,2024,00261373,038290,OFS,재무제표,BS,재무상태표,비유동부채,제 29 기,2024.12.31 현재,"13,567,852,577",제 28 기,2023.12.31 현재,"26,559,039,823",제 27 기,2022.12.31 현재,"27,474,913,245",10,KRW
20250321001254,11011,2024,00261373,038290,OFS,재무제표,BS,재무상태표,부채총계,제 29 기,2024.12.31 현재,"112,404,012,880",제 28 기,2023.12.31 현재,"71,883,497,070",제 27 기,2022.12.31 현재,"73,786,341,267",12,KRW
20250321001254,11011,2024,00261373,038290,OFS,재무제표,BS,재무상태표,자본금,제 29 기,2024.12.31 현재,"5,420,700,000",제 28 기,2023.12.31 현재,"5,420,700,000",제 27 기,2022.12.31 현재,"5,420,700,000",15,KRW
20250321001254,11011,2024,00261373,038290,OFS,재무제표,BS,재무상태표,이익잉여금,제 29 기,2024.12.31 현재,"44,232,448,849",제 28 기,2023.12.31 현재,"51,460,606,235",제 27 기,2022.12.31 현재,"57,433,155,778",19,KRW
20250321001254,11011,2024,00261373,038290,OFS,재무제표,BS,재무상태표,자본총계,제 29 기,2024.12.31 현재,"137,461,404,180",제 28 기,2023.12.31 현재,"131,944,151,183",제 27 기,2022.12.31 현재,"138,393,994,490",22,KRW
20250321001254,11011,2024,00261373,038290,OFS,재무제표,IS,손익계산서,매출액,제 29 기,2024.01.01 ~ 2024.12.31,"104,024,819,563",제 28 기,2023.01.01 ~ 2023.12.31,"101,509,266,301",제 27 기,2022.01.01 ~ 2022.12.31,"107,283,583,814",24,KRW
20250321001254,11011,2024,00261373,038290,OFS,재무제표,IS,손익계산서,영업이익,제 29 기,2024.01.01 ~ 2024.12.31,"-3,692,788,834",제 28 기,2023.01.01 ~ 2023.12.31,"1,415,605,464",제 27 기,2022.01.01 ~ 2022.12.31,"4,648,063,317",26,KRW
20250321001254,11011,2024,00261373,038290,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 29 기,2024.01.01 ~ 2024.12.31,"-5,717,476,074",제 28 기,2023.01.01 ~ 2023.12.31,"-3,564,355,896",제 27 기,2022.01.01 ~ 2022.12.31,"-19,859,721,863",28,KRW
20250321001254,11011,2024,00261373,038290,OFS,재무제표,IS,손익계산서,당기순이익,제 29 기,2024.01.01 ~ 2024.12.31,"-4,163,829,977",제 28 기,2023.01.01 ~ 2023.12.31,"-2,943,713,961",제 27 기,2022.01.01 ~ 2022.12.31,"-14,902,317,083",30,KRW
20250321001254,11011,2024,00261373,038290,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 29 기,2024.01.01 ~ 2024.12.31,"-4,163,829,977",제 28 기,2023.01.01 ~ 2023.12.31,"-2,943,713,961",제 27 기,2022.01.01 ~ 2022.12.31,"-14,902,317,083",62,KRW
20250321001254,11011,2024,00261373,038290,OFS,재무제표,IS,손익계산서,총포괄손익,제 29 기,2024.01.01 ~ 2024.12.31,"-5,667,947,673",제 28 기,2023.01.01 ~ 2023.12.31,"-2,216,923,567",제 27 기,2022.01.01 ~ 2022.12.31,"-15,595,939,142",64,KRW
