rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240321001567,11011,2023,00120924,005990,CFS,연결재무제표,BS,재무상태표,유동자산,제 55 기,2023.12.31 현재,"740,449,730,670",제 54 기,2022.12.31 현재,"671,943,771,639",제 53 기,2021.12.31 현재,"715,877,497,475",1,KRW
20240321001567,11011,2023,00120924,005990,CFS,연결재무제표,BS,재무상태표,비유동자산,제 55 기,2023.12.31 현재,"558,280,298,326",제 54 기,2022.12.31 현재,"599,583,412,190",제 53 기,2021.12.31 현재,"540,856,069,434",3,KRW
20240321001567,11011,2023,00120924,005990,CFS,연결재무제표,BS,재무상태표,자산총계,제 55 기,2023.12.31 현재,"1,298,730,028,996",제 54 기,2022.12.31 현재,"1,271,527,183,829",제 53 기,2021.12.31 현재,"1,256,733,566,909",5,KRW
20240321001567,11011,2023,00120924,005990,CFS,연결재무제표,BS,재무상태표,유동부채,제 55 기,2023.12.31 현재,"311,940,457,657",제 54 기,2022.12.31 현재,"361,434,346,941",제 53 기,2021.12.31 현재,"265,604,545,240",7,KRW
20240321001567,11011,2023,00120924,005990,CFS,연결재무제표,BS,재무상태표,비유동부채,제 55 기,2023.12.31 현재,"242,293,278,575",제 54 기,2022.12.31 현재,"240,724,443,700",제 53 기,2021.12.31 현재,"324,006,368,771",9,KRW
20240321001567,11011,2023,00120924,005990,CFS,연결재무제표,BS,재무상태표,부채총계,제 55 기,2023.12.31 현재,"554,233,736,232",제 54 기,2022.12.31 현재,"602,158,790,641",제 53 기,2021.12.31 현재,"589,610,914,011",11,KRW
20240321001567,11011,2023,00120924,005990,CFS,연결재무제표,BS,재무상태표,자본금,제 55 기,2023.12.31 현재,"6,859,152,000",제 54 기,2022.12.31 현재,"6,859,152,000",제 53 기,2021.12.31 현재,"6,859,152,000",13,KRW
20240321001567,11011,2023,00120924,005990,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 55 기,2023.12.31 현재,"511,755,804,086",제 54 기,2022.12.31 현재,"463,806,502,807",제 53 기,2021.12.31 현재,"459,183,968,246",17,KRW
20240321001567,11011,2023,00120924,005990,CFS,연결재무제표,BS,재무상태표,자본총계,제 55 기,2023.12.31 현재,"744,496,292,764",제 54 기,2022.12.31 현재,"669,368,393,188",제 53 기,2021.12.31 현재,"667,122,652,898",21,KRW
20240321001567,11011,2023,00120924,005990,CFS,연결재무제표,IS,손익계산서,매출액,제 55 기,2023.01.01 ~ 2023.12.31,"2,146,398,739,613",제 54 기,2022.01.01 ~ 2022.12.31,"1,979,261,381,048",제 53 기,2021.01.01 ~ 2021.12.31,"1,806,735,439,065",23,KRW
20240321001567,11011,2023,00120924,005990,CFS,연결재무제표,IS,손익계산서,영업이익,제 55 기,2023.01.01 ~ 2023.12.31,"82,233,894,530",제 54 기,2022.01.01 ~ 2022.12.31,"73,433,706,538",제 53 기,2021.01.01 ~ 2021.12.31,"93,830,177,568",25,KRW
20240321001567,11011,2023,00120924,005990,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 55 기,2023.01.01 ~ 2023.12.31,"106,731,011,638",제 54 기,2022.01.01 ~ 2022.12.31,"27,253,441,785",제 53 기,2021.01.01 ~ 2021.12.31,"127,576,378,970",27,KRW
20240321001567,11011,2023,00120924,005990,CFS,연결재무제표,IS,손익계산서,당기순이익,제 55 기,2023.01.01 ~ 2023.12.31,"86,349,959,740",제 54 기,2022.01.01 ~ 2022.12.31,"16,855,000,151",제 53 기,2021.01.01 ~ 2021.12.31,"96,445,400,495",29,KRW
20240321001567,11011,2023,00120924,005990,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 55 기,2023.01.01 ~ 2023.12.31,"86,349,959,740",제 54 기,2022.01.01 ~ 2022.12.31,"16,855,000,151",제 53 기,2021.01.01 ~ 2021.12.31,"96,445,400,495",61,KRW
20240321001567,11011,2023,00120924,005990,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 55 기,2023.01.01 ~ 2023.12.31,"80,671,759,276",제 54 기,2022.01.01 ~ 2022.12.31,"23,367,438,560",제 53 기,2021.01.01 ~ 2021.12.31,"102,087,382,206",63,KRW
20240321001567,11011,2023,00120924,005990,OFS,재무제표,BS,재무상태표,유동자산,제 55 기,2023.12.31 현재,"61,295,822,647",제 54 기,2022.12.31 현재,"5,431,251,942",제 53 기,2021.12.31 현재,"31,619,267,124",2,KRW
20240321001567,11011,2023,00120924,005990,OFS,재무제표,BS,재무상태표,비유동자산,제 55 기,2023.12.31 현재,"310,397,505,307",제 54 기,2022.12.31 현재,"349,844,908,624",제 53 기,2021.12.31 현재,"324,491,676,234",4,KRW
20240321001567,11011,2023,00120924,005990,OFS,재무제표,BS,재무상태표,자산총계,제 55 기,2023.12.31 현재,"371,693,327,954",제 54 기,2022.12.31 현재,"355,276,160,566",제 53 기,2021.12.31 현재,"356,110,943,358",6,KRW
