rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240313000880,11011,2023,00364740,100590,CFS,연결재무제표,BS,재무상태표,유동자산,제 24 기,2023.12.31 현재,"88,374,235,489",제 23 기,2022.12.31 현재,"88,969,346,229",제 22 기,2021.12.31 현재,"110,349,866,581",1,KRW
20240313000880,11011,2023,00364740,100590,CFS,연결재무제표,BS,재무상태표,비유동자산,제 24 기,2023.12.31 현재,"49,775,614,985",제 23 기,2022.12.31 현재,"47,584,619,682",제 22 기,2021.12.31 현재,"39,350,769,122",3,KRW
20240313000880,11011,2023,00364740,100590,CFS,연결재무제표,BS,재무상태표,자산총계,제 24 기,2023.12.31 현재,"138,149,850,474",제 23 기,2022.12.31 현재,"136,553,965,911",제 22 기,2021.12.31 현재,"149,700,635,703",5,KRW
20240313000880,11011,2023,00364740,100590,CFS,연결재무제표,BS,재무상태표,유동부채,제 24 기,2023.12.31 현재,"33,060,322,346",제 23 기,2022.12.31 현재,"44,046,450,785",제 22 기,2021.12.31 현재,"59,024,836,850",7,KRW
20240313000880,11011,2023,00364740,100590,CFS,연결재무제표,BS,재무상태표,비유동부채,제 24 기,2023.12.31 현재,"4,387,356,033",제 23 기,2022.12.31 현재,"2,252,802,945",제 22 기,2021.12.31 현재,"3,970,883,084",9,KRW
20240313000880,11011,2023,00364740,100590,CFS,연결재무제표,BS,재무상태표,부채총계,제 24 기,2023.12.31 현재,"37,447,678,379",제 23 기,2022.12.31 현재,"46,299,253,730",제 22 기,2021.12.31 현재,"62,995,719,934",11,KRW
20240313000880,11011,2023,00364740,100590,CFS,연결재무제표,BS,재무상태표,자본금,제 24 기,2023.12.31 현재,"62,082,632,042",제 23 기,2022.12.31 현재,"56,605,365,407",제 22 기,2021.12.31 현재,"54,193,024,176",13,KRW
20240313000880,11011,2023,00364740,100590,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 24 기,2023.12.31 현재,"34,269,396,855",제 23 기,2022.12.31 현재,"31,075,346,774",제 22 기,2021.12.31 현재,"29,937,891,593",17,KRW
20240313000880,11011,2023,00364740,100590,CFS,연결재무제표,BS,재무상태표,자본총계,제 24 기,2023.12.31 현재,"100,702,172,095",제 23 기,2022.12.31 현재,"90,254,712,181",제 22 기,2021.12.31 현재,"86,704,915,769",21,KRW
20240313000880,11011,2023,00364740,100590,CFS,연결재무제표,IS,손익계산서,매출액,제 24 기,2023.01.01 ~ 2023.12.31,"153,627,118,426",제 23 기,2022.01.01 ~ 2022.12.31,"163,074,227,992",제 22 기,2021.01.01 ~ 2021.12.31,"121,604,103,517",23,KRW
20240313000880,11011,2023,00364740,100590,CFS,연결재무제표,IS,손익계산서,영업이익,제 24 기,2023.01.01 ~ 2023.12.31,"4,941,134,141",제 23 기,2022.01.01 ~ 2022.12.31,"4,883,867,876",제 22 기,2021.01.01 ~ 2021.12.31,"5,643,021,782",25,KRW
20240313000880,11011,2023,00364740,100590,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 24 기,2023.01.01 ~ 2023.12.31,"4,094,903,926",제 23 기,2022.01.01 ~ 2022.12.31,"174,851,402",제 22 기,2021.01.01 ~ 2021.12.31,"6,951,543,773",27,KRW
20240313000880,11011,2023,00364740,100590,CFS,연결재무제표,IS,손익계산서,당기순이익,제 24 기,2023.01.01 ~ 2023.12.31,"3,306,709,387",제 23 기,2022.01.01 ~ 2022.12.31,"535,476,094",제 22 기,2021.01.01 ~ 2021.12.31,"5,657,066,478",29,KRW
20240313000880,11011,2023,00364740,100590,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 24 기,2023.01.01 ~ 2023.12.31,"3,306,709,387",제 23 기,2022.01.01 ~ 2022.12.31,"535,476,094",제 22 기,2021.01.01 ~ 2021.12.31,"5,657,066,478",61,KRW
20240313000880,11011,2023,00364740,100590,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 24 기,2023.01.01 ~ 2023.12.31,"2,504,467,936",제 23 기,2022.01.01 ~ 2022.12.31,"1,137,455,181",제 22 기,2021.01.01 ~ 2021.12.31,"5,926,234,070",63,KRW
20240313000880,11011,2023,00364740,100590,OFS,재무제표,BS,재무상태표,유동자산,제 24 기,2023.12.31 현재,"85,918,737,025",제 23 기,2022.12.31 현재,"88,969,346,229",제 22 기,2021.12.31 현재,"110,349,866,581",2,KRW
20240313000880,11011,2023,00364740,100590,OFS,재무제표,BS,재무상태표,비유동자산,제 24 기,2023.12.31 현재,"49,880,231,943",제 23 기,2022.12.31 현재,"47,584,619,682",제 22 기,2021.12.31 현재,"39,350,769,122",4,KRW
20240313000880,11011,2023,00364740,100590,OFS,재무제표,BS,재무상태표,자산총계,제 24 기,2023.12.31 현재,"135,798,968,968",제 23 기,2022.12.31 현재,"136,553,965,911",제 22 기,2021.12.31 현재,"149,700,635,703",6,KRW
20240313000880,11011,2023,00364740,100590,OFS,재무제표,BS,재무상태표,유동부채,제 24 기,2023.12.31 현재,"32,726,225,005",제 23 기,2022.12.31 현재,"44,046,450,785",제 22 기,2021.12.31 현재,"59,024,836,850",8,KRW
20240313000880,11011,2023,00364740,100590,OFS,재무제표,BS,재무상태표,비유동부채,제 24 기,2023.12.31 현재,"3,407,135,623",제 23 기,2022.12.31 현재,"2,252,802,945",제 22 기,2021.12.31 현재,"3,970,883,084",10,KRW
20240313000880,11011,2023,00364740,100590,OFS,재무제표,BS,재무상태표,부채총계,제 24 기,2023.12.31 현재,"36,133,360,628",제 23 기,2022.12.31 현재,"46,299,253,730",제 22 기,2021.12.31 현재,"62,995,719,934",12,KRW
20240313000880,11011,2023,00364740,100590,OFS,재무제표,BS,재무상태표,자본금,제 24 기,2023.12.31 현재,"62,082,632,042",제 23 기,2022.12.31 현재,"56,605,365,407",제 22 기,2021.12.31 현재,"54,193,024,176",15,KRW
20240313000880,11011,2023,00364740,100590,OFS,재무제표,BS,재무상태표,이익잉여금,제 24 기,2023.12.31 현재,"35,008,976,298",제 23 기,2022.12.31 현재,"31,075,346,774",제 22 기,2021.12.31 현재,"29,937,891,593",19,KRW
