rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240321001554,11011,2023,00807555,133750,CFS,연결재무제표,BS,재무상태표,유동자산,제 20 기,2023.12.31 현재,"48,970,938,489",제 19 기,2022.12.31 현재,"50,645,033,160",제 18 기,2021.12.31 현재,"65,459,304,096",1,KRW
20240321001554,11011,2023,00807555,133750,CFS,연결재무제표,BS,재무상태표,비유동자산,제 20 기,2023.12.31 현재,"35,740,634,148",제 19 기,2022.12.31 현재,"42,907,765,964",제 18 기,2021.12.31 현재,"49,107,861,285",3,KRW
20240321001554,11011,2023,00807555,133750,CFS,연결재무제표,BS,재무상태표,자산총계,제 20 기,2023.12.31 현재,"84,711,572,637",제 19 기,2022.12.31 현재,"93,552,799,124",제 18 기,2021.12.31 현재,"114,567,165,381",5,KRW
20240321001554,11011,2023,00807555,133750,CFS,연결재무제표,BS,재무상태표,유동부채,제 20 기,2023.12.31 현재,"18,541,104,424",제 19 기,2022.12.31 현재,"22,177,340,763",제 18 기,2021.12.31 현재,"43,685,903,607",7,KRW
20240321001554,11011,2023,00807555,133750,CFS,연결재무제표,BS,재무상태표,비유동부채,제 20 기,2023.12.31 현재,"3,926,318,329",제 19 기,2022.12.31 현재,"5,633,762,554",제 18 기,2021.12.31 현재,"4,286,034,151",9,KRW
20240321001554,11011,2023,00807555,133750,CFS,연결재무제표,BS,재무상태표,부채총계,제 20 기,2023.12.31 현재,"22,467,422,753",제 19 기,2022.12.31 현재,"27,811,103,317",제 18 기,2021.12.31 현재,"47,971,937,758",11,KRW
20240321001554,11011,2023,00807555,133750,CFS,연결재무제표,BS,재무상태표,자본금,제 20 기,2023.12.31 현재,"11,703,538,500",제 19 기,2022.12.31 현재,"11,703,538,500",제 18 기,2021.12.31 현재,"11,703,538,500",13,KRW
20240321001554,11011,2023,00807555,133750,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 20 기,2023.12.31 현재,"37,896,333,394",제 19 기,2022.12.31 현재,"41,393,879,317",제 18 기,2021.12.31 현재,"42,247,411,133",17,KRW
20240321001554,11011,2023,00807555,133750,CFS,연결재무제표,BS,재무상태표,자본총계,제 20 기,2023.12.31 현재,"62,244,149,884",제 19 기,2022.12.31 현재,"65,741,695,807",제 18 기,2021.12.31 현재,"66,595,227,623",21,KRW
20240321001554,11011,2023,00807555,133750,CFS,연결재무제표,IS,손익계산서,매출액,제 20 기,2023.01.01 ~ 2023.12.31,"36,041,389,502",제 19 기,2022.01.01 ~ 2022.12.31,"64,468,046,391",제 18 기,2021.01.01 ~ 2021.12.31,"79,434,903,990",23,KRW
20240321001554,11011,2023,00807555,133750,CFS,연결재무제표,IS,손익계산서,영업이익,제 20 기,2023.01.01 ~ 2023.12.31,"-3,939,064,553",제 19 기,2022.01.01 ~ 2022.12.31,"2,000,608,357",제 18 기,2021.01.01 ~ 2021.12.31,"7,690,985,752",25,KRW
20240321001554,11011,2023,00807555,133750,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 20 기,2023.01.01 ~ 2023.12.31,"-3,177,269,482",제 19 기,2022.01.01 ~ 2022.12.31,"2,640,604,864",제 18 기,2021.01.01 ~ 2021.12.31,"7,935,042,990",27,KRW
20240321001554,11011,2023,00807555,133750,CFS,연결재무제표,IS,손익계산서,당기순이익,제 20 기,2023.01.01 ~ 2023.12.31,"-3,197,186,339",제 19 기,2022.01.01 ~ 2022.12.31,"2,112,779,377",제 18 기,2021.01.01 ~ 2021.12.31,"6,650,303,615",29,KRW
