rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240320001107,11011,2023,01165155,250060,CFS,연결재무제표,BS,재무상태표,유동자산,제 8 기,2023.12.31 현재,"33,115,348,979",제 7 기,2022.12.31 현재,"53,421,517,488",제 6 기,2021.12.31 현재,"50,336,067,368",1,KRW
20240320001107,11011,2023,01165155,250060,CFS,연결재무제표,BS,재무상태표,비유동자산,제 8 기,2023.12.31 현재,"25,545,391,713",제 7 기,2022.12.31 현재,"23,856,300,301",제 6 기,2021.12.31 현재,"19,584,209,688",3,KRW
20240320001107,11011,2023,01165155,250060,CFS,연결재무제표,BS,재무상태표,자산총계,제 8 기,2023.12.31 현재,"58,660,740,692",제 7 기,2022.12.31 현재,"77,277,817,789",제 6 기,2021.12.31 현재,"69,920,277,056",5,KRW
20240320001107,11011,2023,01165155,250060,CFS,연결재무제표,BS,재무상태표,유동부채,제 8 기,2023.12.31 현재,"15,770,390,123",제 7 기,2022.12.31 현재,"28,711,266,798",제 6 기,2021.12.31 현재,"5,693,811,324",7,KRW
20240320001107,11011,2023,01165155,250060,CFS,연결재무제표,BS,재무상태표,비유동부채,제 8 기,2023.12.31 현재,"4,081,379,653",제 7 기,2022.12.31 현재,"4,050,507,567",제 6 기,2021.12.31 현재,"12,520,726,573",9,KRW
20240320001107,11011,2023,01165155,250060,CFS,연결재무제표,BS,재무상태표,부채총계,제 8 기,2023.12.31 현재,"19,851,769,776",제 7 기,2022.12.31 현재,"32,761,774,365",제 6 기,2021.12.31 현재,"18,214,537,897",11,KRW
20240320001107,11011,2023,01165155,250060,CFS,연결재무제표,BS,재무상태표,자본금,제 8 기,2023.12.31 현재,"3,217,131,400",제 7 기,2022.12.31 현재,"3,217,131,400",제 6 기,2021.12.31 현재,"3,217,131,400",13,KRW
20240320001107,11011,2023,01165155,250060,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 8 기,2023.12.31 현재,"-11,692,150,088",제 7 기,2022.12.31 현재,"-11,087,518,531",제 6 기,2021.12.31 현재,"-5,130,006,086",17,KRW
20240320001107,11011,2023,01165155,250060,CFS,연결재무제표,BS,재무상태표,자본총계,제 8 기,2023.12.31 현재,"38,808,970,916",제 7 기,2022.12.31 현재,"44,516,043,424",제 6 기,2021.12.31 현재,"51,705,739,159",21,KRW
20240320001107,11011,2023,01165155,250060,CFS,연결재무제표,IS,손익계산서,매출액,제 8 기,2023.01.01 ~ 2023.12.31,"19,082,389,118",제 7 기,2022.01.01 ~ 2022.12.31,"19,665,103,949",제 6 기,2021.01.01 ~ 2021.12.31,"15,214,261,971",23,KRW
20240320001107,11011,2023,01165155,250060,CFS,연결재무제표,IS,손익계산서,영업이익,제 8 기,2023.01.01 ~ 2023.12.31,"-6,515,719,573",제 7 기,2022.01.01 ~ 2022.12.31,"-4,014,750,237",제 6 기,2021.01.01 ~ 2021.12.31,"-1,332,166,535",25,KRW
20240320001107,11011,2023,01165155,250060,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 8 기,2023.01.01 ~ 2023.12.31,"-5,999,568,060",제 7 기,2022.01.01 ~ 2022.12.31,"-6,107,620,517",제 6 기,2021.01.01 ~ 2021.12.31,"-1,252,598,355",27,KRW
20240320001107,11011,2023,01165155,250060,CFS,연결재무제표,IS,손익계산서,당기순이익,제 8 기,2023.01.01 ~ 2023.12.31,"-4,263,808,173",제 7 기,2022.01.01 ~ 2022.12.31,"-6,195,299,857",제 6 기,2021.01.01 ~ 2021.12.31,"-1,617,697,833",29,KRW
20240320001107,11011,2023,01165155,250060,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 8 기,2023.01.01 ~ 2023.12.31,"-4,263,808,173",제 7 기,2022.01.01 ~ 2022.12.31,"-6,195,299,857",제 6 기,2021.01.01 ~ 2021.12.31,"-1,617,697,833",61,KRW
20240320001107,11011,2023,01165155,250060,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 8 기,2023.01.01 ~ 2023.12.31,"-4,630,788,844",제 7 기,2022.01.01 ~ 2022.12.31,"-6,130,224,728",제 6 기,2021.01.01 ~ 2021.12.31,"-1,271,832,834",63,KRW
20240320001107,11011,2023,01165155,250060,OFS,재무제표,BS,재무상태표,유동자산,제 8 기,2023.12.31 현재,"7,560,082,826",제 7 기,2022.12.31 현재,"12,986,611,664",제 6 기,2021.12.31 현재,"14,881,142,412",2,KRW
20240320001107,11011,2023,01165155,250060,OFS,재무제표,BS,재무상태표,비유동자산,제 8 기,2023.12.31 현재,"16,682,072,041",제 7 기,2022.12.31 현재,"20,443,243,792",제 6 기,2021.12.31 현재,"18,557,079,797",4,KRW
20240320001107,11011,2023,01165155,250060,OFS,재무제표,BS,재무상태표,자산총계,제 8 기,2023.12.31 현재,"24,242,154,867",제 7 기,2022.12.31 현재,"33,429,855,456",제 6 기,2021.12.31 현재,"33,438,222,209",6,KRW
