rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240320001648,11011,2023,00587925,142760,CFS,연결재무제표,BS,재무상태표,유동자산,제 24 기,2023.12.31 현재,"29,837,057,388",제 23 기,2022.12.31 현재,"71,771,340,598",제 22 기,2021.12.31 현재,"97,138,993,571",1,KRW
20240320001648,11011,2023,00587925,142760,CFS,연결재무제표,BS,재무상태표,비유동자산,제 24 기,2023.12.31 현재,"19,235,400,336",제 23 기,2022.12.31 현재,"76,645,320,637",제 22 기,2021.12.31 현재,"91,710,878,679",3,KRW
20240320001648,11011,2023,00587925,142760,CFS,연결재무제표,BS,재무상태표,자산총계,제 24 기,2023.12.31 현재,"49,072,457,724",제 23 기,2022.12.31 현재,"148,416,661,235",제 22 기,2021.12.31 현재,"188,849,872,250",5,KRW
20240320001648,11011,2023,00587925,142760,CFS,연결재무제표,BS,재무상태표,유동부채,제 24 기,2023.12.31 현재,"12,525,696,728",제 23 기,2022.12.31 현재,"64,968,540,169",제 22 기,2021.12.31 현재,"46,697,754,630",7,KRW
20240320001648,11011,2023,00587925,142760,CFS,연결재무제표,BS,재무상태표,비유동부채,제 24 기,2023.12.31 현재,"752,710,813",제 23 기,2022.12.31 현재,"16,127,230,615",제 22 기,2021.12.31 현재,"43,836,087,679",9,KRW
20240320001648,11011,2023,00587925,142760,CFS,연결재무제표,BS,재무상태표,부채총계,제 24 기,2023.12.31 현재,"13,278,407,541",제 23 기,2022.12.31 현재,"81,095,770,784",제 22 기,2021.12.31 현재,"90,533,842,309",11,KRW
20240320001648,11011,2023,00587925,142760,CFS,연결재무제표,BS,재무상태표,자본금,제 24 기,2023.12.31 현재,"16,137,520,500",제 23 기,2022.12.31 현재,"16,013,873,500",제 22 기,2021.12.31 현재,"15,294,388,500",13,KRW
20240320001648,11011,2023,00587925,142760,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 24 기,2023.12.31 현재,"-150,745,962,870",제 23 기,2022.12.31 현재,"-158,731,403,492",제 22 기,2021.12.31 현재,"-135,675,900,999",17,KRW
20240320001648,11011,2023,00587925,142760,CFS,연결재무제표,BS,재무상태표,자본총계,제 24 기,2023.12.31 현재,"35,794,050,183",제 23 기,2022.12.31 현재,"67,320,890,451",제 22 기,2021.12.31 현재,"98,316,029,941",21,KRW
20240320001648,11011,2023,00587925,142760,CFS,연결재무제표,IS,손익계산서,매출액,제 24 기,2023.01.01 ~ 2023.12.31,"18,245,316,126",제 23 기,2022.01.01 ~ 2022.12.31,"22,004,336,370",제 22 기,2021.01.01 ~ 2021.12.31,"101,169,654,239",23,KRW
