rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250321001837,11011,2024,00195229,081660,CFS,연결재무제표,BS,재무상태표,유동자산,제 35 기,2024.12.31 현재,"2,462,449,282,236",제 34 기,2023.12.31 현재,"2,241,652,636,407",제 33 기,2022.12.31 현재,"2,293,320,102,517",1,KRW
20250321001837,11011,2024,00195229,081660,CFS,연결재무제표,BS,재무상태표,비유동자산,제 35 기,2024.12.31 현재,"3,073,940,842,389",제 34 기,2023.12.31 현재,"2,738,496,914,461",제 33 기,2022.12.31 현재,"2,528,481,275,271",3,KRW
20250321001837,11011,2024,00195229,081660,CFS,연결재무제표,BS,재무상태표,자산총계,제 35 기,2024.12.31 현재,"5,536,390,124,625",제 34 기,2023.12.31 현재,"4,980,149,550,868",제 33 기,2022.12.31 현재,"4,821,801,377,788",5,KRW
20250321001837,11011,2024,00195229,081660,CFS,연결재무제표,BS,재무상태표,유동부채,제 35 기,2024.12.31 현재,"1,233,701,673,828",제 34 기,2023.12.31 현재,"1,161,274,004,710",제 33 기,2022.12.31 현재,"1,092,677,843,044",7,KRW
20250321001837,11011,2024,00195229,081660,CFS,연결재무제표,BS,재무상태표,비유동부채,제 35 기,2024.12.31 현재,"1,566,389,545,659",제 34 기,2023.12.31 현재,"1,264,956,640,888",제 33 기,2022.12.31 현재,"1,154,560,199,942",9,KRW
20250321001837,11011,2024,00195229,081660,CFS,연결재무제표,BS,재무상태표,부채총계,제 35 기,2024.12.31 현재,"2,800,091,219,487",제 34 기,2023.12.31 현재,"2,426,230,645,598",제 33 기,2022.12.31 현재,"2,247,238,042,986",11,KRW
20250321001837,11011,2024,00195229,081660,CFS,연결재무제표,BS,재무상태표,자본금,제 35 기,2024.12.31 현재,"61,115,070,000",제 34 기,2023.12.31 현재,"61,115,070,000",제 33 기,2022.12.31 현재,"61,115,070,000",13,KRW
20250321001837,11011,2024,00195229,081660,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 35 기,2024.12.31 현재,"1,621,428,210,726",제 34 기,2023.12.31 현재,"1,628,922,220,412",제 33 기,2022.12.31 현재,"1,649,916,522,756",17,KRW
20250321001837,11011,2024,00195229,081660,CFS,연결재무제표,BS,재무상태표,자본총계,제 35 기,2024.12.31 현재,"2,736,298,905,138",제 34 기,2023.12.31 현재,"2,553,918,905,270",제 33 기,2022.12.31 현재,"2,574,563,334,802",21,KRW
20250321001837,11011,2024,00195229,081660,CFS,연결재무제표,IS,손익계산서,매출액,제 35 기,2024.01.01 ~ 2024.12.31,"4,268,743,012,835",제 34 기,2023.01.01 ~ 2023.12.31,"4,006,627,455,519",제 33 기,2022.01.01 ~ 2022.12.31,"4,221,750,126,628",23,KRW
20250321001837,11011,2024,00195229,081660,CFS,연결재무제표,IS,손익계산서,영업이익,제 35 기,2024.01.01 ~ 2024.12.31,"360,803,535,166",제 34 기,2023.01.01 ~ 2023.12.31,"303,493,542,620",제 33 기,2022.01.01 ~ 2022.12.31,"435,072,372,234",25,KRW
20250321001837,11011,2024,00195229,081660,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 35 기,2024.01.01 ~ 2024.12.31,"339,318,713,501",제 34 기,2023.01.01 ~ 2023.12.31,"277,439,730,951",제 33 기,2022.01.01 ~ 2022.12.31,"453,137,117,071",27,KRW
20250321001837,11011,2024,00195229,081660,CFS,연결재무제표,IS,손익계산서,당기순이익,제 35 기,2024.01.01 ~ 2024.12.31,"207,722,009,422",제 34 기,2023.01.01 ~ 2023.12.31,"153,056,827,039",제 33 기,2022.01.01 ~ 2022.12.31,"467,543,841,046",29,KRW
20250321001837,11011,2024,00195229,081660,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 35 기,2024.01.01 ~ 2024.12.31,"207,722,009,422",제 34 기,2023.01.01 ~ 2023.12.31,"153,056,827,039",제 33 기,2022.01.01 ~ 2022.12.31,"467,543,841,046",61,KRW
20250321001837,11011,2024,00195229,081660,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 35 기,2024.01.01 ~ 2024.12.31,"424,604,184,650",제 34 기,2023.01.01 ~ 2023.12.31,"235,398,032,580",제 33 기,2022.01.01 ~ 2022.12.31,"592,434,566,400",63,KRW
20250321001837,11011,2024,00195229,081660,OFS,재무제표,BS,재무상태표,유동자산,제 35 기,2024.12.31 현재,"243,934,624,260",제 34 기,2023.12.31 현재,"88,574,982,165",제 33 기,2022.12.31 현재,"73,079,200,976",2,KRW
20250321001837,11011,2024,00195229,081660,OFS,재무제표,BS,재무상태표,비유동자산,제 35 기,2024.12.31 현재,"602,128,195,840",제 34 기,2023.12.31 현재,"766,079,888,293",제 33 기,2022.12.31 현재,"701,872,296,856",4,KRW
20250321001837,11011,2024,00195229,081660,OFS,재무제표,BS,재무상태표,자산총계,제 35 기,2024.12.31 현재,"846,062,820,100",제 34 기,2023.12.31 현재,"854,654,870,458",제 33 기,2022.12.31 현재,"774,951,497,832",6,KRW
20250321001837,11011,2024,00195229,081660,OFS,재무제표,BS,재무상태표,유동부채,제 35 기,2024.12.31 현재,"288,085,649,542",제 34 기,2023.12.31 현재,"288,572,878,710",제 33 기,2022.12.31 현재,"187,763,769,869",8,KRW
20250321001837,11011,2024,00195229,081660,OFS,재무제표,BS,재무상태표,비유동부채,제 35 기,2024.12.31 현재,"8,342,108,083",제 34 기,2023.12.31 현재,"3,230,425,331",제 33 기,2022.12.31 현재,"71,905,287,443",10,KRW
20250321001837,11011,2024,00195229,081660,OFS,재무제표,BS,재무상태표,부채총계,제 35 기,2024.12.31 현재,"296,427,757,625",제 34 기,2023.12.31 현재,"291,803,304,041",제 33 기,2022.12.31 현재,"259,669,057,312",12,KRW
20250321001837,11011,2024,00195229,081660,OFS,재무제표,BS,재무상태표,자본금,제 35 기,2024.12.31 현재,"61,115,070,000",제 34 기,2023.12.31 현재,"61,115,070,000",제 33 기,2022.12.31 현재,"61,115,070,000",15,KRW
20250321001837,11011,2024,00195229,081660,OFS,재무제표,BS,재무상태표,이익잉여금,제 35 기,2024.12.31 현재,"445,535,228,019",제 34 기,2023.12.31 현재,"401,701,344,471",제 33 기,2022.12.31 현재,"353,699,779,114",19,KRW
20250321001837,11011,2024,00195229,081660,OFS,재무제표,BS,재무상태표,자본총계,제 35 기,2024.12.31 현재,"549,635,062,475",제 34 기,2023.12.31 현재,"562,851,566,417",제 33 기,2022.12.31 현재,"515,282,440,520",22,KRW
20250321001837,11011,2024,00195229,081660,OFS,재무제표,IS,손익계산서,매출액,제 35 기,2024.01.01 ~ 2024.12.31,"162,881,860,568",제 34 기,2023.01.01 ~ 2023.12.31,"142,687,415,171",제 33 기,2022.01.01 ~ 2022.12.31,"150,464,018,094",24,KRW
20250321001837,11011,2024,00195229,081660,OFS,재무제표,IS,손익계산서,영업이익,제 35 기,2024.01.01 ~ 2024.12.31,"137,335,580,576",제 34 기,2023.01.01 ~ 2023.12.31,"120,446,544,889",제 33 기,2022.01.01 ~ 2022.12.31,"137,459,158,339",26,KRW
20250321001837,11011,2024,00195229,081660,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 35 기,2024.01.01 ~ 2024.12.31,"129,513,952,763",제 34 기,2023.01.01 ~ 2023.12.31,"112,310,191,577",제 33 기,2022.01.01 ~ 2022.12.31,"128,403,242,905",28,KRW
20250321001837,11011,2024,00195229,081660,OFS,재무제표,IS,손익계산서,당기순이익,제 35 기,2024.01.01 ~ 2024.12.31,"128,977,308,903",제 34 기,2023.01.01 ~ 2023.12.31,"114,638,878,717",제 33 기,2022.01.01 ~ 2022.12.31,"134,496,269,143",30,KRW
20250321001837,11011,2024,00195229,081660,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 35 기,2024.01.01 ~ 2024.12.31,"128,977,308,903",제 34 기,2023.01.01 ~ 2023.12.31,"114,638,878,717",제 33 기,2022.01.01 ~ 2022.12.31,"134,496,269,143",62,KRW
20250321001837,11011,2024,00195229,081660,OFS,재무제표,IS,손익계산서,총포괄손익,제 35 기,2024.01.01 ~ 2024.12.31,"128,990,460,238",제 34 기,2023.01.01 ~ 2023.12.31,"113,073,590,407",제 33 기,2022.01.01 ~ 2022.12.31,"134,959,993,214",64,KRW
