rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240318000250,11011,2023,01547933,351020,OFS,재무제표,BS,재무상태표,유동자산,제 11 기,2023.12.31 현재,"9,267,073,458",제 10 기,2022.12.31 현재,"8,068,189,128",제 9 기,2021.12.31 현재,"7,282,660,574",2,KRW
20240318000250,11011,2023,01547933,351020,OFS,재무제표,BS,재무상태표,비유동자산,제 11 기,2023.12.31 현재,"5,807,996,370",제 10 기,2022.12.31 현재,"5,724,858,975",제 9 기,2021.12.31 현재,"4,747,665,098",4,KRW
20240318000250,11011,2023,01547933,351020,OFS,재무제표,BS,재무상태표,자산총계,제 11 기,2023.12.31 현재,"15,075,069,828",제 10 기,2022.12.31 현재,"13,793,048,103",제 9 기,2021.12.31 현재,"12,030,325,672",6,KRW
20240318000250,11011,2023,01547933,351020,OFS,재무제표,BS,재무상태표,유동부채,제 11 기,2023.12.31 현재,"7,402,066,243",제 10 기,2022.12.31 현재,"7,954,729,468",제 9 기,2021.12.31 현재,"6,072,847,847",8,KRW
20240318000250,11011,2023,01547933,351020,OFS,재무제표,BS,재무상태표,비유동부채,제 11 기,2023.12.31 현재,"3,908,445,708",제 10 기,2022.12.31 현재,"2,815,896,009",제 9 기,2021.12.31 현재,"3,494,760,000",10,KRW
20240318000250,11011,2023,01547933,351020,OFS,재무제표,BS,재무상태표,부채총계,제 11 기,2023.12.31 현재,"11,310,511,951",제 10 기,2022.12.31 현재,"10,770,625,477",제 9 기,2021.12.31 현재,"9,567,607,847",12,KRW
20240318000250,11011,2023,01547933,351020,OFS,재무제표,BS,재무상태표,자본금,제 11 기,2023.12.31 현재,"250,000,000",제 10 기,2022.12.31 현재,"100,000,000",제 9 기,2021.12.31 현재,"100,000,000",15,KRW
20240318000250,11011,2023,01547933,351020,OFS,재무제표,BS,재무상태표,이익잉여금,제 11 기,2023.12.31 현재,"3,166,206,706",제 10 기,2022.12.31 현재,"2,424,071,455",제 9 기,2021.12.31 현재,"1,542,072,518",19,KRW
20240318000250,11011,2023,01547933,351020,OFS,재무제표,BS,재무상태표,자본총계,제 11 기,2023.12.31 현재,"3,764,557,877",제 10 기,2022.12.31 현재,"3,022,422,626",제 9 기,2021.12.31 현재,"2,462,717,825",22,KRW
20240318000250,11011,2023,01547933,351020,OFS,재무제표,IS,손익계산서,매출액,제 11 기,2023.01.01 ~ 2023.12.31,"23,149,367,737",제 10 기,2022.01.01 ~ 2022.12.31,"19,317,017,093",제 9 기,2021.01.01 ~ 2021.12.31,"14,214,003,013",24,KRW
20240318000250,11011,2023,01547933,351020,OFS,재무제표,IS,손익계산서,영업이익,제 11 기,2023.01.01 ~ 2023.12.31,"1,253,340,045",제 10 기,2022.01.01 ~ 2022.12.31,"1,080,483,831",제 9 기,2021.01.01 ~ 2021.12.31,"370,011,432",26,KRW
20240318000250,11011,2023,01547933,351020,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 11 기,2023.01.01 ~ 2023.12.31,"722,393,403",제 10 기,2022.01.01 ~ 2022.12.31,"967,476,907",제 9 기,2021.01.01 ~ 2021.12.31,"377,097,843",28,KRW
20240318000250,11011,2023,01547933,351020,OFS,재무제표,IS,손익계산서,당기순이익,제 11 기,2023.01.01 ~ 2023.12.31,"742,135,251",제 10 기,2022.01.01 ~ 2022.12.31,"883,461,335",제 9 기,2021.01.01 ~ 2021.12.31,"361,237,939",30,KRW
20240318000250,11011,2023,01547933,351020,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 11 기,2023.01.01 ~ 2023.12.31,"742,135,251",제 10 기,2022.01.01 ~ 2022.12.31,"883,461,335",제 9 기,2021.01.01 ~ 2021.12.31,"361,237,939",62,KRW
