rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240318000273,11011,2023,01046708,206640,CFS,연결재무제표,BS,재무상태표,유동자산,제 10 기,2023.12.31 현재,"138,678,847,637",제 9 기,2022.12.31 현재,"117,306,931,524",제 8 기,2021.12.31 현재,"131,082,832,164",1,KRW
20240318000273,11011,2023,01046708,206640,CFS,연결재무제표,BS,재무상태표,비유동자산,제 10 기,2023.12.31 현재,"89,222,815,693",제 9 기,2022.12.31 현재,"78,348,976,656",제 8 기,2021.12.31 현재,"61,159,223,990",3,KRW
20240318000273,11011,2023,01046708,206640,CFS,연결재무제표,BS,재무상태표,자산총계,제 10 기,2023.12.31 현재,"227,901,663,330",제 9 기,2022.12.31 현재,"195,655,908,180",제 8 기,2021.12.31 현재,"192,242,056,154",5,KRW
20240318000273,11011,2023,01046708,206640,CFS,연결재무제표,BS,재무상태표,유동부채,제 10 기,2023.12.31 현재,"27,264,278,659",제 9 기,2022.12.31 현재,"16,121,152,677",제 8 기,2021.12.31 현재,"27,112,821,426",7,KRW
20240318000273,11011,2023,01046708,206640,CFS,연결재무제표,BS,재무상태표,비유동부채,제 10 기,2023.12.31 현재,"3,220,852,414",제 9 기,2022.12.31 현재,"4,704,006,979",제 8 기,2021.12.31 현재,"3,896,127,792",9,KRW
20240318000273,11011,2023,01046708,206640,CFS,연결재무제표,BS,재무상태표,부채총계,제 10 기,2023.12.31 현재,"30,485,131,073",제 9 기,2022.12.31 현재,"20,825,159,656",제 8 기,2021.12.31 현재,"31,008,949,218",11,KRW
20240318000273,11011,2023,01046708,206640,CFS,연결재무제표,BS,재무상태표,자본금,제 10 기,2023.12.31 현재,"23,486,560,000",제 9 기,2022.12.31 현재,"23,486,560,000",제 8 기,2021.12.31 현재,"23,486,560,000",13,KRW
20240318000273,11011,2023,01046708,206640,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 10 기,2023.12.31 현재,"163,342,060,216",제 9 기,2022.12.31 현재,"140,603,179,354",제 8 기,2021.12.31 현재,"120,721,572,198",17,KRW
20240318000273,11011,2023,01046708,206640,CFS,연결재무제표,BS,재무상태표,자본총계,제 10 기,2023.12.31 현재,"197,416,532,257",제 9 기,2022.12.31 현재,"174,830,748,524",제 8 기,2021.12.31 현재,"161,233,106,936",21,KRW
20240318000273,11011,2023,01046708,206640,CFS,연결재무제표,IS,손익계산서,매출액,제 10 기,2023.01.01 ~ 2023.12.31,"134,219,239,677",제 9 기,2022.01.01 ~ 2022.12.31,"118,076,842,537",제 8 기,2021.01.01 ~ 2021.12.31,"157,707,960,354",23,KRW
20240318000273,11011,2023,01046708,206640,CFS,연결재무제표,IS,손익계산서,영업이익,제 10 기,2023.01.01 ~ 2023.12.31,"28,476,969,172",제 9 기,2022.01.01 ~ 2022.12.31,"24,671,164,725",제 8 기,2021.01.01 ~ 2021.12.31,"51,935,958,627",25,KRW
20240318000273,11011,2023,01046708,206640,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 10 기,2023.01.01 ~ 2023.12.31,"31,567,222,881",제 9 기,2022.01.01 ~ 2022.12.31,"26,965,273,440",제 8 기,2021.01.01 ~ 2021.12.31,"56,039,472,739",27,KRW
20240318000273,11011,2023,01046708,206640,CFS,연결재무제표,IS,손익계산서,당기순이익,제 10 기,2023.01.01 ~ 2023.12.31,"26,668,388,616",제 9 기,2022.01.01 ~ 2022.12.31,"25,281,496,224",제 8 기,2021.01.01 ~ 2021.12.31,"47,395,067,413",29,KRW
20240318000273,11011,2023,01046708,206640,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 10 기,2023.01.01 ~ 2023.12.31,"26,668,388,616",제 9 기,2022.01.01 ~ 2022.12.31,"25,281,496,224",제 8 기,2021.01.01 ~ 2021.12.31,"47,395,067,413",61,KRW
20240318000273,11011,2023,01046708,206640,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 10 기,2023.01.01 ~ 2023.12.31,"26,708,179,313",제 9 기,2022.01.01 ~ 2022.12.31,"24,681,721,172",제 8 기,2021.01.01 ~ 2021.12.31,"48,576,131,706",63,KRW
20240318000273,11011,2023,01046708,206640,OFS,재무제표,BS,재무상태표,유동자산,제 10 기,2023.12.31 현재,"117,094,443,374",제 9 기,2022.12.31 현재,"97,278,263,961",제 8 기,2021.12.31 현재,"109,902,613,244",2,KRW
20240318000273,11011,2023,01046708,206640,OFS,재무제표,BS,재무상태표,비유동자산,제 10 기,2023.12.31 현재,"90,694,046,187",제 9 기,2022.12.31 현재,"79,812,144,157",제 8 기,2021.12.31 현재,"63,206,925,106",4,KRW
20240318000273,11011,2023,01046708,206640,OFS,재무제표,BS,재무상태표,자산총계,제 10 기,2023.12.31 현재,"207,788,489,561",제 9 기,2022.12.31 현재,"177,090,408,118",제 8 기,2021.12.31 현재,"173,109,538,350",6,KRW
