rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20230323000550,11011,2022,01160974,251120,OFS,재무제표,BS,재무상태표,유동자산,제 18 기,2022.12.31 현재,"44,894,264,708",제 17 기,2021.12.31 현재,"9,172,633,737",제 16 기,2020.12.31 현재,"7,867,286,699",2,KRW
20230323000550,11011,2022,01160974,251120,OFS,재무제표,BS,재무상태표,비유동자산,제 18 기,2022.12.31 현재,"14,141,546,650",제 17 기,2021.12.31 현재,"13,867,398,421",제 16 기,2020.12.31 현재,"9,758,923,166",4,KRW
20230323000550,11011,2022,01160974,251120,OFS,재무제표,BS,재무상태표,자산총계,제 18 기,2022.12.31 현재,"59,035,811,358",제 17 기,2021.12.31 현재,"23,040,032,158",제 16 기,2020.12.31 현재,"17,626,209,865",6,KRW
20230323000550,11011,2022,01160974,251120,OFS,재무제표,BS,재무상태표,유동부채,제 18 기,2022.12.31 현재,"5,981,270,456",제 17 기,2021.12.31 현재,"6,750,612,248",제 16 기,2020.12.31 현재,"3,436,277,368",8,KRW
20230323000550,11011,2022,01160974,251120,OFS,재무제표,BS,재무상태표,비유동부채,제 18 기,2022.12.31 현재,"77,159,733",제 17 기,2021.12.31 현재,"406,652,218",제 16 기,2020.12.31 현재,"1,765,253,865",10,KRW
20230323000550,11011,2022,01160974,251120,OFS,재무제표,BS,재무상태표,부채총계,제 18 기,2022.12.31 현재,"6,058,430,189",제 17 기,2021.12.31 현재,"7,157,264,466",제 16 기,2020.12.31 현재,"5,201,531,233",12,KRW
20230323000550,11011,2022,01160974,251120,OFS,재무제표,BS,재무상태표,자본금,제 18 기,2022.12.31 현재,"4,347,850,000",제 17 기,2021.12.31 현재,"3,697,850,000",제 16 기,2020.12.31 현재,"3,680,000,000",15,KRW
20230323000550,11011,2022,01160974,251120,OFS,재무제표,BS,재무상태표,이익잉여금,제 18 기,2022.12.31 현재,"15,979,017,192",제 17 기,2021.12.31 현재,"11,643,753,051",제 16 기,2020.12.31 현재,"8,736,204,632",19,KRW
20230323000550,11011,2022,01160974,251120,OFS,재무제표,BS,재무상태표,자본총계,제 18 기,2022.12.31 현재,"52,977,381,169",제 17 기,2021.12.31 현재,"15,882,767,692",제 16 기,2020.12.31 현재,"12,424,678,632",22,KRW
20230323000550,11011,2022,01160974,251120,OFS,재무제표,IS,손익계산서,매출액,제 18 기,2022.01.01 ~ 2022.12.31,"15,855,322,578",제 17 기,2021.01.01 ~ 2021.12.31,"11,972,174,291",제 16 기,2020.01.01 ~ 2020.12.31,"8,639,742,653",24,KRW
20230323000550,11011,2022,01160974,251120,OFS,재무제표,IS,손익계산서,영업이익,제 18 기,2022.01.01 ~ 2022.12.31,"4,880,635,433",제 17 기,2021.01.01 ~ 2021.12.31,"3,137,537,909",제 16 기,2020.01.01 ~ 2020.12.31,"2,924,747,212",26,KRW
20230323000550,11011,2022,01160974,251120,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 18 기,2022.01.01 ~ 2022.12.31,"5,443,360,637",제 17 기,2021.01.01 ~ 2021.12.31,"3,293,253,201",제 16 기,2020.01.01 ~ 2020.12.31,"2,881,408,486",28,KRW
20230323000550,11011,2022,01160974,251120,OFS,재무제표,IS,손익계산서,당기순이익,제 18 기,2022.01.01 ~ 2022.12.31,"4,335,264,141",제 17 기,2021.01.01 ~ 2021.12.31,"2,907,548,419",제 16 기,2020.01.01 ~ 2020.12.31,"2,461,424,035",30,KRW
20230323000550,11011,2022,01160974,251120,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 18 기,2022.01.01 ~ 2022.12.31,"4,335,264,141",제 17 기,2021.01.01 ~ 2021.12.31,"2,907,548,419",제 16 기,2020.01.01 ~ 2020.12.31,"2,461,424,035",62,KRW
