rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250319000644,11011,2024,00122551,035150,CFS,연결재무제표,BS,재무상태표,유동자산,제 39 기,2024.12.31 현재,"252,845,839,402",제 38 기,2023.12.31 현재,"208,786,779,543",제 37 기,2022.12.31 현재,"205,877,238,959",1,KRW
20250319000644,11011,2024,00122551,035150,CFS,연결재무제표,BS,재무상태표,비유동자산,제 39 기,2024.12.31 현재,"205,039,114,198",제 38 기,2023.12.31 현재,"143,133,687,424",제 37 기,2022.12.31 현재,"132,996,232,935",3,KRW
20250319000644,11011,2024,00122551,035150,CFS,연결재무제표,BS,재무상태표,자산총계,제 39 기,2024.12.31 현재,"457,884,953,600",제 38 기,2023.12.31 현재,"351,920,466,967",제 37 기,2022.12.31 현재,"338,873,471,894",5,KRW
20250319000644,11011,2024,00122551,035150,CFS,연결재무제표,BS,재무상태표,유동부채,제 39 기,2024.12.31 현재,"162,482,987,783",제 38 기,2023.12.31 현재,"129,189,377,903",제 37 기,2022.12.31 현재,"145,371,470,786",7,KRW
20250319000644,11011,2024,00122551,035150,CFS,연결재무제표,BS,재무상태표,비유동부채,제 39 기,2024.12.31 현재,"45,035,609,845",제 38 기,2023.12.31 현재,"14,271,027,351",제 37 기,2022.12.31 현재,"13,344,684,000",9,KRW
20250319000644,11011,2024,00122551,035150,CFS,연결재무제표,BS,재무상태표,부채총계,제 39 기,2024.12.31 현재,"207,518,597,628",제 38 기,2023.12.31 현재,"143,460,405,254",제 37 기,2022.12.31 현재,"158,716,154,786",11,KRW
20250319000644,11011,2024,00122551,035150,CFS,연결재무제표,BS,재무상태표,자본금,제 39 기,2024.12.31 현재,"14,145,000,000",제 38 기,2023.12.31 현재,"14,107,500,000",제 37 기,2022.12.31 현재,"14,102,500,000",13,KRW
20250319000644,11011,2024,00122551,035150,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 39 기,2024.12.31 현재,"199,162,270,910",제 38 기,2023.12.31 현재,"161,921,584,564",제 37 기,2022.12.31 현재,"134,845,459,216",17,KRW
20250319000644,11011,2024,00122551,035150,CFS,연결재무제표,BS,재무상태표,자본총계,제 39 기,2024.12.31 현재,"250,366,355,972",제 38 기,2023.12.31 현재,"208,460,061,713",제 37 기,2022.12.31 현재,"180,157,317,108",21,KRW
20250319000644,11011,2024,00122551,035150,CFS,연결재무제표,IS,손익계산서,매출액,제 39 기,2024.01.01 ~ 2024.12.31,"496,957,597,172",제 38 기,2023.01.01 ~ 2023.12.31,"417,721,809,967",제 37 기,2022.01.01 ~ 2022.12.31,"475,895,240,622",23,KRW
