rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20230323001514,11011,2022,00267881,006910,OFS,재무제표,BS,재무상태표,유동자산,제 54 기,2022.12.31 현재,"43,038,670,089",제 53 기,2021.12.31 현재,"61,293,242,929",제 52 기,2020.12.31 현재,"72,349,900,387",2,KRW
20230323001514,11011,2022,00267881,006910,OFS,재무제표,BS,재무상태표,비유동자산,제 54 기,2022.12.31 현재,"42,420,766,359",제 53 기,2021.12.31 현재,"50,247,448,634",제 52 기,2020.12.31 현재,"50,402,929,823",4,KRW
20230323001514,11011,2022,00267881,006910,OFS,재무제표,BS,재무상태표,자산총계,제 54 기,2022.12.31 현재,"85,459,436,448",제 53 기,2021.12.31 현재,"111,540,691,563",제 52 기,2020.12.31 현재,"122,752,830,210",6,KRW
20230323001514,11011,2022,00267881,006910,OFS,재무제표,BS,재무상태표,유동부채,제 54 기,2022.12.31 현재,"4,236,383,974",제 53 기,2021.12.31 현재,"19,238,512,074",제 52 기,2020.12.31 현재,"39,429,146,328",8,KRW
20230323001514,11011,2022,00267881,006910,OFS,재무제표,BS,재무상태표,비유동부채,제 54 기,2022.12.31 현재,"444,829,383",제 53 기,2021.12.31 현재,"709,990,560",제 52 기,2020.12.31 현재,"1,656,179,379",10,KRW
20230323001514,11011,2022,00267881,006910,OFS,재무제표,BS,재무상태표,부채총계,제 54 기,2022.12.31 현재,"4,681,213,357",제 53 기,2021.12.31 현재,"19,948,502,634",제 52 기,2020.12.31 현재,"41,085,325,707",12,KRW
20230323001514,11011,2022,00267881,006910,OFS,재무제표,BS,재무상태표,자본금,제 54 기,2022.12.31 현재,"24,564,912,000",제 53 기,2021.12.31 현재,"24,564,912,000",제 52 기,2020.12.31 현재,"23,036,529,500",15,KRW
20230323001514,11011,2022,00267881,006910,OFS,재무제표,BS,재무상태표,이익잉여금,제 54 기,2022.12.31 현재,"4,437,015,065",제 53 기,2021.12.31 현재,"15,250,980,903",제 52 기,2020.12.31 현재,"16,124,639,684",19,KRW
20230323001514,11011,2022,00267881,006910,OFS,재무제표,BS,재무상태표,자본총계,제 54 기,2022.12.31 현재,"80,778,223,091",제 53 기,2021.12.31 현재,"91,592,188,929",제 52 기,2020.12.31 현재,"81,667,504,503",22,KRW
20230323001514,11011,2022,00267881,006910,OFS,재무제표,IS,손익계산서,매출액,제 54 기,2022.01.01 ~ 2022.12.31,"54,198,727,500",제 53 기,2021.01.01 ~ 2021.12.31,"68,539,018,089",제 52 기,2020.01.01 ~ 2020.12.31,"82,079,528,683",24,KRW
20230323001514,11011,2022,00267881,006910,OFS,재무제표,IS,손익계산서,영업이익,제 54 기,2022.01.01 ~ 2022.12.31,"-4,492,911,539",제 53 기,2021.01.01 ~ 2021.12.31,"-1,489,331,889",제 52 기,2020.01.01 ~ 2020.12.31,"2,292,499,196",26,KRW
20230323001514,11011,2022,00267881,006910,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 54 기,2022.01.01 ~ 2022.12.31,"-11,152,541,585",제 53 기,2021.01.01 ~ 2021.12.31,"-2,192,392,968",제 52 기,2020.01.01 ~ 2020.12.31,"1,635,298,569",28,KRW
20230323001514,11011,2022,00267881,006910,OFS,재무제표,IS,손익계산서,당기순이익,제 54 기,2022.01.01 ~ 2022.12.31,"-11,114,358,714",제 53 기,2021.01.01 ~ 2021.12.31,"-926,404,068",제 52 기,2020.01.01 ~ 2020.12.31,"1,612,437,284",30,KRW
20230323001514,11011,2022,00267881,006910,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 54 기,2022.01.01 ~ 2022.12.31,"-11,114,358,714",제 53 기,2021.01.01 ~ 2021.12.31,"-926,404,068",제 52 기,2020.01.01 ~ 2020.12.31,"1,612,437,284",62,KRW
