rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250521000343,11011,2024,00124151,005030,OFS,재무제표,BS,재무상태표,유동자산,제 58 기,2024.12.31 현재,"133,067,670,090",제 57 기,2023.12.31 현재,"133,595,007,850",제 56 기,2022.12.31 현재,"129,259,247,415",2,KRW
20250521000343,11011,2024,00124151,005030,OFS,재무제표,BS,재무상태표,비유동자산,제 58 기,2024.12.31 현재,"93,269,208,858",제 57 기,2023.12.31 현재,"99,261,654,161",제 56 기,2022.12.31 현재,"104,672,532,083",4,KRW
20250521000343,11011,2024,00124151,005030,OFS,재무제표,BS,재무상태표,자산총계,제 58 기,2024.12.31 현재,"226,336,878,948",제 57 기,2023.12.31 현재,"232,856,662,011",제 56 기,2022.12.31 현재,"233,931,779,498",6,KRW
20250521000343,11011,2024,00124151,005030,OFS,재무제표,BS,재무상태표,유동부채,제 58 기,2024.12.31 현재,"178,801,401,231",제 57 기,2023.12.31 현재,"182,706,824,827",제 56 기,2022.12.31 현재,"174,175,205,944",8,KRW
20250521000343,11011,2024,00124151,005030,OFS,재무제표,BS,재무상태표,비유동부채,제 58 기,2024.12.31 현재,"31,559,472,628",제 57 기,2023.12.31 현재,"35,575,647,359",제 56 기,2022.12.31 현재,"38,336,308,028",10,KRW
20250521000343,11011,2024,00124151,005030,OFS,재무제표,BS,재무상태표,부채총계,제 58 기,2024.12.31 현재,"210,360,873,859",제 57 기,2023.12.31 현재,"218,282,472,186",제 56 기,2022.12.31 현재,"212,511,513,972",12,KRW
20250521000343,11011,2024,00124151,005030,OFS,재무제표,BS,재무상태표,자본금,제 58 기,2024.12.31 현재,"39,391,494,000",제 57 기,2023.12.31 현재,"39,391,494,000",제 56 기,2022.12.31 현재,"36,464,494,000",15,KRW
20250521000343,11011,2024,00124151,005030,OFS,재무제표,BS,재무상태표,이익잉여금,제 58 기,2024.12.31 현재,"-84,749,073,485",제 57 기,2023.12.31 현재,"-83,658,244,218",제 56 기,2022.12.31 현재,"-71,064,881,969",19,KRW
20250521000343,11011,2024,00124151,005030,OFS,재무제표,BS,재무상태표,자본총계,제 58 기,2024.12.31 현재,"15,976,005,089",제 57 기,2023.12.31 현재,"14,574,189,825",제 56 기,2022.12.31 현재,"21,420,265,526",22,KRW
20250521000343,11011,2024,00124151,005030,OFS,재무제표,IS,손익계산서,매출액,제 58 기,2024.01.01 ~ 2024.12.31,"213,030,180,079",제 57 기,2023.01.01 ~ 2023.12.31,"241,720,629,111",제 56 기,2022.01.01 ~ 2022.12.31,"230,549,455,752",24,KRW
20250521000343,11011,2024,00124151,005030,OFS,재무제표,IS,손익계산서,영업이익,제 58 기,2024.01.01 ~ 2024.12.31,"7,334,415,211",제 57 기,2023.01.01 ~ 2023.12.31,"364,369,139",제 56 기,2022.01.01 ~ 2022.12.31,"-6,463,260,656",26,KRW
20250521000343,11011,2024,00124151,005030,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 58 기,2024.01.01 ~ 2024.12.31,"-3,002,073,173",제 57 기,2023.01.01 ~ 2023.12.31,"-11,269,024,012",제 56 기,2022.01.01 ~ 2022.12.31,"-10,054,546,461",28,KRW
20250521000343,11011,2024,00124151,005030,OFS,재무제표,IS,손익계산서,당기순이익,제 58 기,2024.01.01 ~ 2024.12.31,"-573,106,836",제 57 기,2023.01.01 ~ 2023.12.31,"-10,453,925,848",제 56 기,2022.01.01 ~ 2022.12.31,"-9,711,497,542",30,KRW
20250521000343,11011,2024,00124151,005030,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 58 기,2024.01.01 ~ 2024.12.31,"-573,106,836",제 57 기,2023.01.01 ~ 2023.12.31,"-10,453,925,848",제 56 기,2022.01.01 ~ 2022.12.31,"-9,711,497,542",62,KRW
20250521000343,11011,2024,00124151,005030,OFS,재무제표,IS,손익계산서,총포괄손익,제 58 기,2024.01.01 ~ 2024.12.31,"1,208,181,213",제 57 기,2023.01.01 ~ 2023.12.31,"-10,110,176,215",제 56 기,2022.01.01 ~ 2022.12.31,"-5,766,485,953",64,KRW
