rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20230321001112,11011,2022,00609324,100120,CFS,연결재무제표,BS,재무상태표,유동자산,제 24 기,2022.12.31 현재,"189,322,037,252",제 23 기,2021.12.31 현재,"156,720,145,067",제 22 기,2020.12.31 현재,"118,201,050,685",1,KRW
20230321001112,11011,2022,00609324,100120,CFS,연결재무제표,BS,재무상태표,비유동자산,제 24 기,2022.12.31 현재,"99,087,233,233",제 23 기,2021.12.31 현재,"84,122,430,521",제 22 기,2020.12.31 현재,"78,668,262,589",3,KRW
20230321001112,11011,2022,00609324,100120,CFS,연결재무제표,BS,재무상태표,자산총계,제 24 기,2022.12.31 현재,"288,409,270,485",제 23 기,2021.12.31 현재,"240,842,575,588",제 22 기,2020.12.31 현재,"196,869,313,274",5,KRW
20230321001112,11011,2022,00609324,100120,CFS,연결재무제표,BS,재무상태표,유동부채,제 24 기,2022.12.31 현재,"76,007,575,481",제 23 기,2021.12.31 현재,"49,595,762,432",제 22 기,2020.12.31 현재,"24,956,375,206",7,KRW
20230321001112,11011,2022,00609324,100120,CFS,연결재무제표,BS,재무상태표,비유동부채,제 24 기,2022.12.31 현재,"3,082,822,050",제 23 기,2021.12.31 현재,"3,012,724,956",제 22 기,2020.12.31 현재,"1,324,572,554",9,KRW
20230321001112,11011,2022,00609324,100120,CFS,연결재무제표,BS,재무상태표,부채총계,제 24 기,2022.12.31 현재,"79,090,397,531",제 23 기,2021.12.31 현재,"52,608,487,388",제 22 기,2020.12.31 현재,"26,280,947,760",11,KRW
20230321001112,11011,2022,00609324,100120,CFS,연결재무제표,BS,재무상태표,자본금,제 24 기,2022.12.31 현재,"5,000,932,500",제 23 기,2021.12.31 현재,"5,000,932,500",제 22 기,2020.12.31 현재,"5,000,932,500",13,KRW
20230321001112,11011,2022,00609324,100120,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 24 기,2022.12.31 현재,"221,203,349,178",제 23 기,2021.12.31 현재,"200,076,978,611",제 22 기,2020.12.31 현재,"170,824,852,968",17,KRW
20230321001112,11011,2022,00609324,100120,CFS,연결재무제표,BS,재무상태표,자본총계,제 24 기,2022.12.31 현재,"209,318,872,954",제 23 기,2021.12.31 현재,"188,234,088,200",제 22 기,2020.12.31 현재,"170,588,365,514",21,KRW
20230321001112,11011,2022,00609324,100120,CFS,연결재무제표,IS,손익계산서,매출액,제 24 기,2022.01.01 ~ 2022.12.31,"237,928,812,618",제 23 기,2021.01.01 ~ 2021.12.31,"193,139,356,525",제 22 기,2020.01.01 ~ 2020.12.31,"160,263,843,148",23,KRW
20230321001112,11011,2022,00609324,100120,CFS,연결재무제표,IS,손익계산서,영업이익,제 24 기,2022.01.01 ~ 2022.12.31,"43,658,033,657",제 23 기,2021.01.01 ~ 2021.12.31,"34,808,871,022",제 22 기,2020.01.01 ~ 2020.12.31,"29,065,623,397",25,KRW
20230321001112,11011,2022,00609324,100120,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 24 기,2022.01.01 ~ 2022.12.31,"33,058,907,758",제 23 기,2021.01.01 ~ 2021.12.31,"39,609,639,597",제 22 기,2020.01.01 ~ 2020.12.31,"27,979,771,041",27,KRW
20230321001112,11011,2022,00609324,100120,CFS,연결재무제표,IS,손익계산서,당기순이익,제 24 기,2022.01.01 ~ 2022.12.31,"26,459,378,200",제 23 기,2021.01.01 ~ 2021.12.31,"33,500,097,523",제 22 기,2020.01.01 ~ 2020.12.31,"22,958,638,030",29,KRW
20230321001112,11011,2022,00609324,100120,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 24 기,2022.01.01 ~ 2022.12.31,"26,459,378,200",제 23 기,2021.01.01 ~ 2021.12.31,"33,500,097,523",제 22 기,2020.01.01 ~ 2020.12.31,"22,958,638,030",61,KRW
20230321001112,11011,2022,00609324,100120,OFS,재무제표,BS,재무상태표,유동자산,제 24 기,2022.12.31 현재,"180,110,014,690",제 23 기,2021.12.31 현재,"147,855,451,254",제 22 기,2020.12.31 현재,"107,007,425,788",2,KRW
20230321001112,11011,2022,00609324,100120,OFS,재무제표,BS,재무상태표,비유동자산,제 24 기,2022.12.31 현재,"109,220,077,578",제 23 기,2021.12.31 현재,"93,184,222,048",제 22 기,2020.12.31 현재,"89,946,734,699",4,KRW
