rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20230320001070,11011,2022,00563518,126340,CFS,연결재무제표,BS,재무상태표,유동자산,제 24 기,2022.12.31 현재,"55,507,247,261",제 23 기,2021.12.31 현재,"35,647,645,379",제 22 기,2020.12.31 현재,"45,060,144,948",1,KRW
20230320001070,11011,2022,00563518,126340,CFS,연결재무제표,BS,재무상태표,비유동자산,제 24 기,2022.12.31 현재,"77,818,115,135",제 23 기,2021.12.31 현재,"62,840,287,248",제 22 기,2020.12.31 현재,"35,495,246,276",3,KRW
20230320001070,11011,2022,00563518,126340,CFS,연결재무제표,BS,재무상태표,자산총계,제 24 기,2022.12.31 현재,"133,325,362,396",제 23 기,2021.12.31 현재,"98,487,932,627",제 22 기,2020.12.31 현재,"80,555,391,224",5,KRW
20230320001070,11011,2022,00563518,126340,CFS,연결재무제표,BS,재무상태표,유동부채,제 24 기,2022.12.31 현재,"44,639,348,007",제 23 기,2021.12.31 현재,"24,675,541,885",제 22 기,2020.12.31 현재,"20,225,771,527",7,KRW
20230320001070,11011,2022,00563518,126340,CFS,연결재무제표,BS,재무상태표,비유동부채,제 24 기,2022.12.31 현재,"27,709,886,040",제 23 기,2021.12.31 현재,"23,571,280,347",제 22 기,2020.12.31 현재,"16,925,214,487",9,KRW
20230320001070,11011,2022,00563518,126340,CFS,연결재무제표,BS,재무상태표,부채총계,제 24 기,2022.12.31 현재,"72,349,234,047",제 23 기,2021.12.31 현재,"48,246,822,232",제 22 기,2020.12.31 현재,"37,150,986,014",11,KRW
20230320001070,11011,2022,00563518,126340,CFS,연결재무제표,BS,재무상태표,자본금,제 24 기,2022.12.31 현재,"2,908,134,000",제 23 기,2021.12.31 현재,"2,780,606,500",제 22 기,2020.12.31 현재,"2,624,653,000",13,KRW
20230320001070,11011,2022,00563518,126340,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 24 기,2022.12.31 현재,"27,339,810,480",제 23 기,2021.12.31 현재,"15,797,049,528",제 22 기,2020.12.31 현재,"8,422,671,808",17,KRW
20230320001070,11011,2022,00563518,126340,CFS,연결재무제표,BS,재무상태표,자본총계,제 24 기,2022.12.31 현재,"60,976,128,349",제 23 기,2021.12.31 현재,"50,241,110,395",제 22 기,2020.12.31 현재,"43,404,405,210",21,KRW
20230320001070,11011,2022,00563518,126340,CFS,연결재무제표,IS,손익계산서,매출액,제 24 기,2022.01.01 ~ 2022.12.31,"70,656,753,558",제 23 기,2021.01.01 ~ 2021.12.31,"48,958,076,351",제 22 기,2020.01.01 ~ 2020.12.31,"46,690,215,449",23,KRW
20230320001070,11011,2022,00563518,126340,CFS,연결재무제표,IS,손익계산서,영업이익,제 24 기,2022.01.01 ~ 2022.12.31,"9,351,006,048",제 23 기,2021.01.01 ~ 2021.12.31,"5,625,405,971",제 22 기,2020.01.01 ~ 2020.12.31,"6,362,032,876",25,KRW
20230320001070,11011,2022,00563518,126340,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 24 기,2022.01.01 ~ 2022.12.31,"8,605,963,667",제 23 기,2021.01.01 ~ 2021.12.31,"7,868,417,891",제 22 기,2020.01.01 ~ 2020.12.31,"4,736,529,750",27,KRW
20230320001070,11011,2022,00563518,126340,CFS,연결재무제표,IS,손익계산서,당기순이익,제 24 기,2022.01.01 ~ 2022.12.31,"11,670,288,452",제 23 기,2021.01.01 ~ 2021.12.31,"7,495,331,220",제 22 기,2020.01.01 ~ 2020.12.31,"4,615,188,570",29,KRW
20230320001070,11011,2022,00563518,126340,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 24 기,2022.01.01 ~ 2022.12.31,"11,670,288,452",제 23 기,2021.01.01 ~ 2021.12.31,"7,495,331,220",제 22 기,2020.01.01 ~ 2020.12.31,"4,615,188,570",61,KRW
20230320001070,11011,2022,00563518,126340,OFS,재무제표,BS,재무상태표,유동자산,제 24 기,2022.12.31 현재,"44,921,039,549",제 23 기,2021.12.31 현재,"31,343,754,572",제 22 기,2020.12.31 현재,"44,663,810,781",2,KRW
20230320001070,11011,2022,00563518,126340,OFS,재무제표,BS,재무상태표,비유동자산,제 24 기,2022.12.31 현재,"81,197,318,750",제 23 기,2021.12.31 현재,"66,772,233,739",제 22 기,2020.12.31 현재,"40,865,551,733",4,KRW
20230320001070,11011,2022,00563518,126340,OFS,재무제표,BS,재무상태표,자산총계,제 24 기,2022.12.31 현재,"126,118,358,299",제 23 기,2021.12.31 현재,"98,115,988,311",제 22 기,2020.12.31 현재,"85,529,362,514",6,KRW
20230320001070,11011,2022,00563518,126340,OFS,재무제표,BS,재무상태표,유동부채,제 24 기,2022.12.31 현재,"42,167,777,078",제 23 기,2021.12.31 현재,"22,948,623,950",제 22 기,2020.12.31 현재,"21,969,954,638",8,KRW
20230320001070,11011,2022,00563518,126340,OFS,재무제표,BS,재무상태표,비유동부채,제 24 기,2022.12.31 현재,"27,463,432,766",제 23 기,2021.12.31 현재,"23,421,811,106",제 22 기,2020.12.31 현재,"16,663,203,370",10,KRW
20230320001070,11011,2022,00563518,126340,OFS,재무제표,BS,재무상태표,부채총계,제 24 기,2022.12.31 현재,"69,631,209,844",제 23 기,2021.12.31 현재,"46,370,435,056",제 22 기,2020.12.31 현재,"38,633,158,008",12,KRW
20230320001070,11011,2022,00563518,126340,OFS,재무제표,BS,재무상태표,자본금,제 24 기,2022.12.31 현재,"2,908,134,000",제 23 기,2021.12.31 현재,"2,780,606,500",제 22 기,2020.12.31 현재,"2,624,653,000",15,KRW
20230320001070,11011,2022,00563518,126340,OFS,재무제표,BS,재무상태표,이익잉여금,제 24 기,2022.12.31 현재,"22,931,997,426",제 23 기,2021.12.31 현재,"17,159,916,344",제 22 기,2020.12.31 현재,"11,435,080,061",19,KRW
20230320001070,11011,2022,00563518,126340,OFS,재무제표,BS,재무상태표,자본총계,제 24 기,2022.12.31 현재,"56,487,148,455",제 23 기,2021.12.31 현재,"51,745,553,255",제 22 기,2020.12.31 현재,"46,896,204,506",22,KRW
20230320001070,11011,2022,00563518,126340,OFS,재무제표,IS,손익계산서,매출액,제 24 기,2022.01.01 ~ 2022.12.31,"70,608,753,558",제 23 기,2021.01.01 ~ 2021.12.31,"48,923,179,057",제 22 기,2020.01.01 ~ 2020.12.31,"46,690,215,449",24,KRW
20230320001070,11011,2022,00563518,126340,OFS,재무제표,IS,손익계산서,영업이익,제 24 기,2022.01.01 ~ 2022.12.31,"2,972,662,923",제 23 기,2021.01.01 ~ 2021.12.31,"4,780,377,257",제 22 기,2020.01.01 ~ 2020.12.31,"6,435,755,179",26,KRW
20230320001070,11011,2022,00563518,126340,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 24 기,2022.01.01 ~ 2022.12.31,"2,528,041,881",제 23 기,2021.01.01 ~ 2021.12.31,"6,110,753,478",제 22 기,2020.01.01 ~ 2020.12.31,"2,964,179,791",28,KRW
20230320001070,11011,2022,00563518,126340,OFS,재무제표,IS,손익계산서,당기순이익,제 24 기,2022.01.01 ~ 2022.12.31,"5,899,608,582",제 23 기,2021.01.01 ~ 2021.12.31,"5,845,789,783",제 22 기,2020.01.01 ~ 2020.12.31,"3,174,474,665",30,KRW
20230320001070,11011,2022,00563518,126340,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 24 기,2022.01.01 ~ 2022.12.31,"5,899,608,582",제 23 기,2021.01.01 ~ 2021.12.31,"5,845,789,783",제 22 기,2020.01.01 ~ 2020.12.31,"3,174,474,665",62,KRW
