rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240319000211,11011,2023,01506848,419540,OFS,재무제표,BS,재무상태표,유동자산,제 23 기,2023.12.31 현재,"18,726,459,231",제 22 기,2022.12.31 현재,"18,347,959,748",제 21 기,2021.12.31 현재,"8,029,764,041",2,KRW
20240319000211,11011,2023,01506848,419540,OFS,재무제표,BS,재무상태표,비유동자산,제 23 기,2023.12.31 현재,"2,807,938,049",제 22 기,2022.12.31 현재,"2,150,154,242",제 21 기,2021.12.31 현재,"1,741,121,740",4,KRW
20240319000211,11011,2023,01506848,419540,OFS,재무제표,BS,재무상태표,자산총계,제 23 기,2023.12.31 현재,"21,534,397,280",제 22 기,2022.12.31 현재,"20,498,113,990",제 21 기,2021.12.31 현재,"9,770,885,781",6,KRW
20240319000211,11011,2023,01506848,419540,OFS,재무제표,BS,재무상태표,유동부채,제 23 기,2023.12.31 현재,"2,574,854,042",제 22 기,2022.12.31 현재,"4,216,870,505",제 21 기,2021.12.31 현재,"2,314,842,628",8,KRW
20240319000211,11011,2023,01506848,419540,OFS,재무제표,BS,재무상태표,비유동부채,제 23 기,2023.12.31 현재,"419,012,928",제 22 기,2022.12.31 현재,"356,616,912",제 21 기,2021.12.31 현재,"217,428,442",10,KRW
20240319000211,11011,2023,01506848,419540,OFS,재무제표,BS,재무상태표,부채총계,제 23 기,2023.12.31 현재,"2,993,866,970",제 22 기,2022.12.31 현재,"4,573,487,417",제 21 기,2021.12.31 현재,"2,532,271,070",12,KRW
20240319000211,11011,2023,01506848,419540,OFS,재무제표,BS,재무상태표,자본금,제 23 기,2023.12.31 현재,"2,299,251,100",제 22 기,2022.12.31 현재,"2,117,530,800",제 21 기,2021.12.31 현재,"1,654,090,000",15,KRW
20240319000211,11011,2023,01506848,419540,OFS,재무제표,BS,재무상태표,이익잉여금,제 23 기,2023.12.31 현재,"1,753,202,382",제 22 기,2022.12.31 현재,"946,705,097",제 21 기,2021.12.31 현재,"5,521,922,731",19,KRW
20240319000211,11011,2023,01506848,419540,OFS,재무제표,BS,재무상태표,자본총계,제 23 기,2023.12.31 현재,"18,540,530,310",제 22 기,2022.12.31 현재,"15,924,626,573",제 21 기,2021.12.31 현재,"7,238,614,711",22,KRW
20240319000211,11011,2023,01506848,419540,OFS,재무제표,IS,손익계산서,매출액,제 23 기,2023.01.01 ~ 2023.12.31,"21,304,785,943",제 22 기,2022.01.01 ~ 2022.12.31,"23,963,204,074",제 21 기,2021.01.01 ~ 2021.12.31,"20,522,376,717",24,KRW
20240319000211,11011,2023,01506848,419540,OFS,재무제표,IS,손익계산서,영업이익,제 23 기,2023.01.01 ~ 2023.12.31,"283,820,204",제 22 기,2022.01.01 ~ 2022.12.31,"912,889,692",제 21 기,2021.01.01 ~ 2021.12.31,"1,591,983,510",26,KRW
20240319000211,11011,2023,01506848,419540,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 23 기,2023.01.01 ~ 2023.12.31,"607,857,331",제 22 기,2022.01.01 ~ 2022.12.31,"-4,637,198,724",제 21 기,2021.01.01 ~ 2021.12.31,"1,836,235,400",28,KRW
20240319000211,11011,2023,01506848,419540,OFS,재무제표,IS,손익계산서,당기순이익,제 23 기,2023.01.01 ~ 2023.12.31,"806,497,285",제 22 기,2022.01.01 ~ 2022.12.31,"-4,502,437,674",제 21 기,2021.01.01 ~ 2021.12.31,"1,853,394,912",30,KRW
20240319000211,11011,2023,01506848,419540,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 23 기,2023.01.01 ~ 2023.12.31,"806,497,285",제 22 기,2022.01.01 ~ 2022.12.31,"-4,502,437,674",제 21 기,2021.01.01 ~ 2021.12.31,"1,853,394,912",62,KRW
20240319000211,11011,2023,01506848,419540,OFS,재무제표,IS,손익계산서,총포괄손익,제 23 기,2023.01.01 ~ 2023.12.31,"806,497,285",제 22 기,2022.01.01 ~ 2022.12.31,"-4,502,437,674",제 21 기,2021.01.01 ~ 2021.12.31,"1,853,394,912",64,KRW
