rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250321000642,11011,2024,00980043,148780,CFS,연결재무제표,BS,재무상태표,유동자산,제 27 기,2024.12.31 현재,"14,054,400,634",제 26 기,2023.12.31 현재,"14,781,181,347",제 25 기,2022.12.31 현재,"13,955,490,412",1,KRW
20250321000642,11011,2024,00980043,148780,CFS,연결재무제표,BS,재무상태표,비유동자산,제 27 기,2024.12.31 현재,"1,693,401,594",제 26 기,2023.12.31 현재,"1,661,337,642",제 25 기,2022.12.31 현재,"2,442,874,299",3,KRW
20250321000642,11011,2024,00980043,148780,CFS,연결재무제표,BS,재무상태표,자산총계,제 27 기,2024.12.31 현재,"15,747,802,228",제 26 기,2023.12.31 현재,"16,442,518,989",제 25 기,2022.12.31 현재,"16,398,364,711",5,KRW
20250321000642,11011,2024,00980043,148780,CFS,연결재무제표,BS,재무상태표,유동부채,제 27 기,2024.12.31 현재,"3,669,097,563",제 26 기,2023.12.31 현재,"3,850,368,394",제 25 기,2022.12.31 현재,"3,754,391,826",7,KRW
20250321000642,11011,2024,00980043,148780,CFS,연결재무제표,BS,재무상태표,비유동부채,제 27 기,2024.12.31 현재,"248,981,204",제 26 기,2023.12.31 현재,"276,162,717",제 25 기,2022.12.31 현재,"738,419,617",9,KRW
20250321000642,11011,2024,00980043,148780,CFS,연결재무제표,BS,재무상태표,부채총계,제 27 기,2024.12.31 현재,"3,918,078,767",제 26 기,2023.12.31 현재,"4,126,531,111",제 25 기,2022.12.31 현재,"4,492,811,443",11,KRW
20250321000642,11011,2024,00980043,148780,CFS,연결재무제표,BS,재무상태표,자본금,제 27 기,2024.12.31 현재,"15,722,862,500",제 26 기,2023.12.31 현재,"15,722,862,500",제 25 기,2022.12.31 현재,"15,722,862,500",13,KRW
20250321000642,11011,2024,00980043,148780,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 27 기,2024.12.31 현재,"-8,381,951,870",제 26 기,2023.12.31 현재,"-7,781,277,076",제 25 기,2022.12.31 현재,"-8,204,363,768",17,KRW
20250321000642,11011,2024,00980043,148780,CFS,연결재무제표,BS,재무상태표,자본총계,제 27 기,2024.12.31 현재,"11,829,723,461",제 26 기,2023.12.31 현재,"12,315,987,878",제 25 기,2022.12.31 현재,"11,905,553,268",21,KRW
20250321000642,11011,2024,00980043,148780,CFS,연결재무제표,IS,손익계산서,매출액,제 27 기,2024.01.01 ~ 2024.12.31,"17,300,348,332",제 26 기,2023.01.01 ~ 2023.12.31,"16,892,288,214",제 25 기,2022.01.01 ~ 2022.12.31,"16,258,637,264",23,KRW
20250321000642,11011,2024,00980043,148780,CFS,연결재무제표,IS,손익계산서,영업이익,제 27 기,2024.01.01 ~ 2024.12.31,"-812,380,727",제 26 기,2023.01.01 ~ 2023.12.31,"240,282,775",제 25 기,2022.01.01 ~ 2022.12.31,"-1,128,517,592",25,KRW
20250321000642,11011,2024,00980043,148780,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 27 기,2024.01.01 ~ 2024.12.31,"-600,674,794",제 26 기,2023.01.01 ~ 2023.12.31,"733,030,521",제 25 기,2022.01.01 ~ 2022.12.31,"-34,510,338",27,KRW
20250321000642,11011,2024,00980043,148780,CFS,연결재무제표,IS,손익계산서,당기순이익,제 27 기,2024.01.01 ~ 2024.12.31,"-600,674,794",제 26 기,2023.01.01 ~ 2023.12.31,"733,030,521",제 25 기,2022.01.01 ~ 2022.12.31,"-46,044,220",29,KRW
20250321000642,11011,2024,00980043,148780,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 27 기,2024.01.01 ~ 2024.12.31,"-600,674,794",제 26 기,2023.01.01 ~ 2023.12.31,"733,030,521",제 25 기,2022.01.01 ~ 2022.12.31,"-46,044,220",61,KRW
20250321000642,11011,2024,00980043,148780,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 27 기,2024.01.01 ~ 2024.12.31,"-597,248,628",제 26 기,2023.01.01 ~ 2023.12.31,"733,030,521",제 25 기,2022.01.01 ~ 2022.12.31,"-46,044,220",63,KRW
20250321000642,11011,2024,00980043,148780,CFS,연결재무제표,IS,손익계산서,영업비용,제 27 기,2024.01.01 ~ 2024.12.31,"18,112,729,059",제 26 기,2023.01.01 ~ 2023.12.31,"16,652,005,439",제 25 기,2022.01.01 ~ 2022.12.31,"17,387,154,856",65,KRW
20250321000642,11011,2024,00980043,148780,OFS,재무제표,BS,재무상태표,유동자산,제 27 기,2024.12.31 현재,"14,020,647,432",제 26 기,2023.12.31 현재,"14,781,181,347",제 25 기,2022.12.31 현재,"13,782,173,017",2,KRW
20250321000642,11011,2024,00980043,148780,OFS,재무제표,BS,재무상태표,비유동자산,제 27 기,2024.12.31 현재,"1,693,625,041",제 26 기,2023.12.31 현재,"1,661,337,642",제 25 기,2022.12.31 현재,"2,404,709,462",4,KRW
20250321000642,11011,2024,00980043,148780,OFS,재무제표,BS,재무상태표,자산총계,제 27 기,2024.12.31 현재,"15,714,272,473",제 26 기,2023.12.31 현재,"16,442,518,989",제 25 기,2022.12.31 현재,"16,186,882,479",6,KRW
20250321000642,11011,2024,00980043,148780,OFS,재무제표,BS,재무상태표,유동부채,제 27 기,2024.12.31 현재,"3,645,517,520",제 26 기,2023.12.31 현재,"3,850,368,394",제 25 기,2022.12.31 현재,"3,612,445,540",8,KRW
20250321000642,11011,2024,00980043,148780,OFS,재무제표,BS,재무상태표,비유동부채,제 27 기,2024.12.31 현재,"183,462,560",제 26 기,2023.12.31 현재,"276,162,717",제 25 기,2022.12.31 현재,"716,670,735",10,KRW
20250321000642,11011,2024,00980043,148780,OFS,재무제표,BS,재무상태표,부채총계,제 27 기,2024.12.31 현재,"3,828,980,080",제 26 기,2023.12.31 현재,"4,126,531,111",제 25 기,2022.12.31 현재,"4,329,116,275",12,KRW
20250321000642,11011,2024,00980043,148780,OFS,재무제표,BS,재무상태표,자본금,제 27 기,2024.12.31 현재,"15,722,862,500",제 26 기,2023.12.31 현재,"15,722,862,500",제 25 기,2022.12.31 현재,"15,722,862,500",15,KRW
20250321000642,11011,2024,00980043,148780,OFS,재무제표,BS,재무상태표,이익잉여금,제 27 기,2024.12.31 현재,"-8,322,956,772",제 26 기,2023.12.31 현재,"-7,781,277,076",제 25 기,2022.12.31 현재,"-8,562,094,661",19,KRW
20250321000642,11011,2024,00980043,148780,OFS,재무제표,BS,재무상태표,자본총계,제 27 기,2024.12.31 현재,"11,885,292,393",제 26 기,2023.12.31 현재,"12,315,987,878",제 25 기,2022.12.31 현재,"11,857,766,204",22,KRW
20250321000642,11011,2024,00980043,148780,OFS,재무제표,IS,손익계산서,매출액,제 27 기,2024.01.01 ~ 2024.12.31,"17,300,348,332",제 26 기,2023.01.01 ~ 2023.12.31,"16,892,288,214",제 25 기,2022.01.01 ~ 2022.12.31,"16,243,639,994",24,KRW
20250321000642,11011,2024,00980043,148780,OFS,재무제표,IS,손익계산서,영업이익,제 27 기,2024.01.01 ~ 2024.12.31,"-761,335,141",제 26 기,2023.01.01 ~ 2023.12.31,"240,282,775",제 25 기,2022.01.01 ~ 2022.12.31,"-1,178,652,908",26,KRW
20250321000642,11011,2024,00980043,148780,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 27 기,2024.01.01 ~ 2024.12.31,"-541,679,696",제 26 기,2023.01.01 ~ 2023.12.31,"733,030,521",제 25 기,2022.01.01 ~ 2022.12.31,"-91,915,159",28,KRW
20250321000642,11011,2024,00980043,148780,OFS,재무제표,IS,손익계산서,당기순이익,제 27 기,2024.01.01 ~ 2024.12.31,"-541,679,696",제 26 기,2023.01.01 ~ 2023.12.31,"733,030,521",제 25 기,2022.01.01 ~ 2022.12.31,"-91,915,159",30,KRW
20250321000642,11011,2024,00980043,148780,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 27 기,2024.01.01 ~ 2024.12.31,"-541,679,696",제 26 기,2023.01.01 ~ 2023.12.31,"733,030,521",제 25 기,2022.01.01 ~ 2022.12.31,"-91,915,159",62,KRW
