rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250317000141,11011,2024,00231707,032850,CFS,연결재무제표,BS,재무상태표,유동자산,제 40 기,2024.12.31 현재,"35,562,963,584",제 39 기,2023.12.31 현재,"35,667,083,252",제 38 기,2022.12.31 현재,"28,243,756,094",1,KRW
20250317000141,11011,2024,00231707,032850,CFS,연결재무제표,BS,재무상태표,비유동자산,제 40 기,2024.12.31 현재,"44,036,057,975",제 39 기,2023.12.31 현재,"44,439,970,030",제 38 기,2022.12.31 현재,"46,040,591,176",3,KRW
20250317000141,11011,2024,00231707,032850,CFS,연결재무제표,BS,재무상태표,자산총계,제 40 기,2024.12.31 현재,"79,599,021,559",제 39 기,2023.12.31 현재,"80,107,053,282",제 38 기,2022.12.31 현재,"74,284,347,270",5,KRW
20250317000141,11011,2024,00231707,032850,CFS,연결재무제표,BS,재무상태표,유동부채,제 40 기,2024.12.31 현재,"7,538,741,970",제 39 기,2023.12.31 현재,"11,933,030,146",제 38 기,2022.12.31 현재,"7,022,238,899",7,KRW
20250317000141,11011,2024,00231707,032850,CFS,연결재무제표,BS,재무상태표,비유동부채,제 40 기,2024.12.31 현재,"1,659,440,529",제 39 기,2023.12.31 현재,"1,959,757,443",제 38 기,2022.12.31 현재,"4,135,679,144",9,KRW
20250317000141,11011,2024,00231707,032850,CFS,연결재무제표,BS,재무상태표,부채총계,제 40 기,2024.12.31 현재,"9,198,182,499",제 39 기,2023.12.31 현재,"13,892,787,589",제 38 기,2022.12.31 현재,"11,157,918,043",11,KRW
20250317000141,11011,2024,00231707,032850,CFS,연결재무제표,BS,재무상태표,자본금,제 40 기,2024.12.31 현재,"8,311,646,500",제 39 기,2023.12.31 현재,"8,311,646,500",제 38 기,2022.12.31 현재,"8,311,646,500",13,KRW
20250317000141,11011,2024,00231707,032850,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 40 기,2024.12.31 현재,"53,122,948,367",제 39 기,2023.12.31 현재,"46,813,522,106",제 38 기,2022.12.31 현재,"42,746,660,516",17,KRW
20250317000141,11011,2024,00231707,032850,CFS,연결재무제표,BS,재무상태표,자본총계,제 40 기,2024.12.31 현재,"70,400,839,060",제 39 기,2023.12.31 현재,"66,214,265,693",제 38 기,2022.12.31 현재,"63,126,429,227",21,KRW
20250317000141,11011,2024,00231707,032850,CFS,연결재무제표,IS,손익계산서,매출액,제 40 기,2024.01.01 ~ 2024.12.31,"37,074,736,160",제 39 기,2023.01.01 ~ 2023.12.31,"33,458,508,904",제 38 기,2022.01.01 ~ 2022.12.31,"35,134,664,621",23,KRW
20250317000141,11011,2024,00231707,032850,CFS,연결재무제표,IS,손익계산서,영업이익,제 40 기,2024.01.01 ~ 2024.12.31,"6,669,762,420",제 39 기,2023.01.01 ~ 2023.12.31,"6,219,477,487",제 38 기,2022.01.01 ~ 2022.12.31,"6,145,733,812",25,KRW
20250317000141,11011,2024,00231707,032850,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 40 기,2024.01.01 ~ 2024.12.31,"9,298,626,245",제 39 기,2023.01.01 ~ 2023.12.31,"6,881,008,267",제 38 기,2022.01.01 ~ 2022.12.31,"6,370,207,439",27,KRW
20250317000141,11011,2024,00231707,032850,CFS,연결재무제표,IS,손익계산서,당기순이익,제 40 기,2024.01.01 ~ 2024.12.31,"7,469,215,601",제 39 기,2023.01.01 ~ 2023.12.31,"5,598,840,253",제 38 기,2022.01.01 ~ 2022.12.31,"4,925,063,054",29,KRW
20250317000141,11011,2024,00231707,032850,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 40 기,2024.01.01 ~ 2024.12.31,"7,469,215,601",제 39 기,2023.01.01 ~ 2023.12.31,"5,598,840,253",제 38 기,2022.01.01 ~ 2022.12.31,"4,925,063,054",61,KRW
20250317000141,11011,2024,00231707,032850,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 40 기,2024.01.01 ~ 2024.12.31,"7,197,729,301",제 39 기,2023.01.01 ~ 2023.12.31,"5,115,921,542",제 38 기,2022.01.01 ~ 2022.12.31,"5,155,912,970",63,KRW
20250317000141,11011,2024,00231707,032850,OFS,재무제표,BS,재무상태표,유동자산,제 40 기,2024.12.31 현재,"31,762,025,407",제 39 기,2023.12.31 현재,"34,613,042,836",제 38 기,2022.12.31 현재,"24,474,223,855",2,KRW
20250317000141,11011,2024,00231707,032850,OFS,재무제표,BS,재무상태표,비유동자산,제 40 기,2024.12.31 현재,"46,997,702,054",제 39 기,2023.12.31 현재,"44,412,639,437",제 38 기,2022.12.31 현재,"48,946,427,490",4,KRW
20250317000141,11011,2024,00231707,032850,OFS,재무제표,BS,재무상태표,자산총계,제 40 기,2024.12.31 현재,"78,759,727,461",제 39 기,2023.12.31 현재,"79,025,682,273",제 38 기,2022.12.31 현재,"73,420,651,345",6,KRW
20250317000141,11011,2024,00231707,032850,OFS,재무제표,BS,재무상태표,유동부채,제 40 기,2024.12.31 현재,"7,349,716,032",제 39 기,2023.12.31 현재,"11,688,314,705",제 38 기,2022.12.31 현재,"6,743,230,702",8,KRW
20250317000141,11011,2024,00231707,032850,OFS,재무제표,BS,재무상태표,비유동부채,제 40 기,2024.12.31 현재,"1,533,484,031",제 39 기,2023.12.31 현재,"1,843,688,626",제 38 기,2022.12.31 현재,"4,032,259,507",10,KRW
20250317000141,11011,2024,00231707,032850,OFS,재무제표,BS,재무상태표,부채총계,제 40 기,2024.12.31 현재,"8,883,200,063",제 39 기,2023.12.31 현재,"13,532,003,331",제 38 기,2022.12.31 현재,"10,775,490,209",12,KRW
20250317000141,11011,2024,00231707,032850,OFS,재무제표,BS,재무상태표,자본금,제 40 기,2024.12.31 현재,"8,311,646,500",제 39 기,2023.12.31 현재,"8,311,646,500",제 38 기,2022.12.31 현재,"8,311,646,500",15,KRW
20250317000141,11011,2024,00231707,032850,OFS,재무제표,BS,재무상태표,이익잉여금,제 40 기,2024.12.31 현재,"53,352,901,460",제 39 기,2023.12.31 현재,"46,969,556,714",제 38 기,2022.12.31 현재,"43,096,814,118",19,KRW
20250317000141,11011,2024,00231707,032850,OFS,재무제표,BS,재무상태표,자본총계,제 40 기,2024.12.31 현재,"69,876,527,398",제 39 기,2023.12.31 현재,"65,493,678,942",제 38 기,2022.12.31 현재,"62,645,161,136",22,KRW
20250317000141,11011,2024,00231707,032850,OFS,재무제표,IS,손익계산서,매출액,제 40 기,2024.01.01 ~ 2024.12.31,"35,373,992,140",제 39 기,2023.01.01 ~ 2023.12.31,"31,458,528,592",제 38 기,2022.01.01 ~ 2022.12.31,"33,047,687,068",24,KRW
