rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250312001143,11011,2024,00173449,044480,CFS,연결재무제표,BS,재무상태표,유동자산,제 52 기,2024.12.31 현재,"14,117,436,306",제 51 기,2023.12.31 현재,"86,661,401,276",제 50 기,2022.12.31 현재,"89,448,304,144",1,KRW
20250312001143,11011,2024,00173449,044480,CFS,연결재무제표,BS,재무상태표,비유동자산,제 52 기,2024.12.31 현재,"34,728,961,310",제 51 기,2023.12.31 현재,"107,857,722,636",제 50 기,2022.12.31 현재,"76,686,884,960",3,KRW
20250312001143,11011,2024,00173449,044480,CFS,연결재무제표,BS,재무상태표,자산총계,제 52 기,2024.12.31 현재,"48,846,397,616",제 51 기,2023.12.31 현재,"199,615,072,155",제 50 기,2022.12.31 현재,"168,725,742,734",5,KRW
20250312001143,11011,2024,00173449,044480,CFS,연결재무제표,BS,재무상태표,유동부채,제 52 기,2024.12.31 현재,"25,681,617,081",제 51 기,2023.12.31 현재,"96,473,593,240",제 50 기,2022.12.31 현재,"65,190,951,416",7,KRW
20250312001143,11011,2024,00173449,044480,CFS,연결재무제표,BS,재무상태표,비유동부채,제 52 기,2024.12.31 현재,"1,059,404,674",제 51 기,2023.12.31 현재,"10,596,833,477",제 50 기,2022.12.31 현재,"525,742,050",9,KRW
20250312001143,11011,2024,00173449,044480,CFS,연결재무제표,BS,재무상태표,부채총계,제 52 기,2024.12.31 현재,"26,820,501,763",제 51 기,2023.12.31 현재,"107,149,906,725",제 50 기,2022.12.31 현재,"65,716,693,466",11,KRW
20250312001143,11011,2024,00173449,044480,CFS,연결재무제표,BS,재무상태표,자본금,제 52 기,2024.12.31 현재,"20,331,864,000",제 51 기,2023.12.31 현재,"17,045,971,000",제 50 기,2022.12.31 현재,"16,171,990,500",13,KRW
20250312001143,11011,2024,00173449,044480,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 52 기,2024.12.31 현재,"-90,881,723,957",제 51 기,2023.12.31 현재,"-87,765,537,053",제 50 기,2022.12.31 현재,"-78,702,683,497",17,KRW
20250312001143,11011,2024,00173449,044480,CFS,연결재무제표,BS,재무상태표,자본총계,제 52 기,2024.12.31 현재,"22,025,895,853",제 51 기,2023.12.31 현재,"92,465,165,430",제 50 기,2022.12.31 현재,"103,009,049,268",21,KRW
20250312001143,11011,2024,00173449,044480,CFS,연결재무제표,IS,손익계산서,매출액,제 52 기,2024.01.01 ~ 2024.12.31,"41,724,839,885",제 51 기,2023.01.01 ~ 2023.12.31,"28,987,141,421",제 50 기,2022.01.01 ~ 2022.12.31,"70,648,737,315",23,KRW
