rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240321001591,11011,2023,00125646,018310,CFS,연결재무제표,BS,재무상태표,유동자산,제 39 기,2023.12.31 현재,"317,606,991,467",제 38 기,2022.12.31 현재,"233,389,549,063",제 37 기,2021.12.31 현재,"172,944,031,286",1,KRW
20240321001591,11011,2023,00125646,018310,CFS,연결재무제표,BS,재무상태표,비유동자산,제 39 기,2023.12.31 현재,"422,549,531,752",제 38 기,2022.12.31 현재,"419,710,722,579",제 37 기,2021.12.31 현재,"375,431,500,082",3,KRW
20240321001591,11011,2023,00125646,018310,CFS,연결재무제표,BS,재무상태표,자산총계,제 39 기,2023.12.31 현재,"740,156,523,219",제 38 기,2022.12.31 현재,"653,100,271,642",제 37 기,2021.12.31 현재,"548,375,531,368",5,KRW
20240321001591,11011,2023,00125646,018310,CFS,연결재무제표,BS,재무상태표,유동부채,제 39 기,2023.12.31 현재,"141,380,202,781",제 38 기,2022.12.31 현재,"180,866,902,084",제 37 기,2021.12.31 현재,"119,791,980,022",7,KRW
20240321001591,11011,2023,00125646,018310,CFS,연결재무제표,BS,재무상태표,비유동부채,제 39 기,2023.12.31 현재,"23,788,207,650",제 38 기,2022.12.31 현재,"24,773,304,720",제 37 기,2021.12.31 현재,"38,173,710,366",9,KRW
20240321001591,11011,2023,00125646,018310,CFS,연결재무제표,BS,재무상태표,부채총계,제 39 기,2023.12.31 현재,"165,168,410,431",제 38 기,2022.12.31 현재,"205,640,206,804",제 37 기,2021.12.31 현재,"157,965,690,388",11,KRW
20240321001591,11011,2023,00125646,018310,CFS,연결재무제표,BS,재무상태표,자본금,제 39 기,2023.12.31 현재,"7,350,000,000",제 38 기,2022.12.31 현재,"7,350,000,000",제 37 기,2021.12.31 현재,"7,350,000,000",13,KRW
20240321001591,11011,2023,00125646,018310,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 39 기,2023.12.31 현재,"507,619,840,999",제 38 기,2022.12.31 현재,"391,637,262,714",제 37 기,2021.12.31 현재,"333,686,300,658",17,KRW
20240321001591,11011,2023,00125646,018310,CFS,연결재무제표,BS,재무상태표,자본총계,제 39 기,2023.12.31 현재,"574,988,112,788",제 38 기,2022.12.31 현재,"447,460,064,838",제 37 기,2021.12.31 현재,"390,409,840,980",21,KRW
20240321001591,11011,2023,00125646,018310,CFS,연결재무제표,IS,손익계산서,매출액,제 39 기,2023.01.01 ~ 2023.12.31,"439,386,985,136",제 38 기,2022.01.01 ~ 2022.12.31,"337,690,604,147",제 37 기,2021.01.01 ~ 2021.12.31,"209,927,695,422",23,KRW
20240321001591,11011,2023,00125646,018310,CFS,연결재무제표,IS,손익계산서,영업이익,제 39 기,2023.01.01 ~ 2023.12.31,"124,131,729,083",제 38 기,2022.01.01 ~ 2022.12.31,"68,098,389,379",제 37 기,2021.01.01 ~ 2021.12.31,"3,709,426,165",25,KRW
20240321001591,11011,2023,00125646,018310,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 39 기,2023.01.01 ~ 2023.12.31,"137,144,128,053",제 38 기,2022.01.01 ~ 2022.12.31,"74,845,203,421",제 37 기,2021.01.01 ~ 2021.12.31,"33,696,259,761",27,KRW
20240321001591,11011,2023,00125646,018310,CFS,연결재무제표,IS,손익계산서,당기순이익,제 39 기,2023.01.01 ~ 2023.12.31,"119,380,219,211",제 38 기,2022.01.01 ~ 2022.12.31,"58,543,171,663",제 37 기,2021.01.01 ~ 2021.12.31,"30,278,696,605",29,KRW
20240321001591,11011,2023,00125646,018310,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 39 기,2023.01.01 ~ 2023.12.31,"119,380,219,211",제 38 기,2022.01.01 ~ 2022.12.31,"58,543,171,663",제 37 기,2021.01.01 ~ 2021.12.31,"30,278,696,605",61,KRW
20240321001591,11011,2023,00125646,018310,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 39 기,2023.01.01 ~ 2023.12.31,"116,975,234,405",제 38 기,2022.01.01 ~ 2022.12.31,"58,391,831,158",제 37 기,2021.01.01 ~ 2021.12.31,"30,198,933,682",63,KRW
20240321001591,11011,2023,00125646,018310,OFS,재무제표,BS,재무상태표,유동자산,제 39 기,2023.12.31 현재,"294,098,991,332",제 38 기,2022.12.31 현재,"200,230,407,894",제 37 기,2021.12.31 현재,"139,445,749,252",2,KRW
20240321001591,11011,2023,00125646,018310,OFS,재무제표,BS,재무상태표,비유동자산,제 39 기,2023.12.31 현재,"395,231,274,047",제 38 기,2022.12.31 현재,"386,606,318,050",제 37 기,2021.12.31 현재,"338,880,676,795",4,KRW
20240321001591,11011,2023,00125646,018310,OFS,재무제표,BS,재무상태표,자산총계,제 39 기,2023.12.31 현재,"689,330,265,379",제 38 기,2022.12.31 현재,"586,836,725,944",제 37 기,2021.12.31 현재,"478,326,426,047",6,KRW
20240321001591,11011,2023,00125646,018310,OFS,재무제표,BS,재무상태표,유동부채,제 39 기,2023.12.31 현재,"124,752,913,020",제 38 기,2022.12.31 현재,"154,540,889,713",제 37 기,2021.12.31 현재,"92,836,888,121",8,KRW
20240321001591,11011,2023,00125646,018310,OFS,재무제표,BS,재무상태표,비유동부채,제 39 기,2023.12.31 현재,"7,057,823,582",제 38 기,2022.12.31 현재,"8,131,992,882",제 37 기,2021.12.31 현재,"13,453,160,411",10,KRW
20240321001591,11011,2023,00125646,018310,OFS,재무제표,BS,재무상태표,부채총계,제 39 기,2023.12.31 현재,"131,810,736,602",제 38 기,2022.12.31 현재,"162,672,882,595",제 37 기,2021.12.31 현재,"106,290,048,532",12,KRW
20240321001591,11011,2023,00125646,018310,OFS,재무제표,BS,재무상태표,자본금,제 39 기,2023.12.31 현재,"7,350,000,000",제 38 기,2022.12.31 현재,"7,350,000,000",제 37 기,2021.12.31 현재,"7,350,000,000",15,KRW
