rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250327000681,11011,2024,00125664,012210,OFS,재무제표,BS,재무상태표,유동자산,제 48 기,2024.12.31 현재,"27,316,070,050",제 47 기,2023.12.31 현재,"27,225,445,060",제 46 기,2022.12.31 현재,"23,158,432,408",2,KRW
20250327000681,11011,2024,00125664,012210,OFS,재무제표,BS,재무상태표,비유동자산,제 48 기,2024.12.31 현재,"145,431,415,650",제 47 기,2023.12.31 현재,"124,960,874,120",제 46 기,2022.12.31 현재,"126,342,626,787",4,KRW
20250327000681,11011,2024,00125664,012210,OFS,재무제표,BS,재무상태표,자산총계,제 48 기,2024.12.31 현재,"172,747,485,700",제 47 기,2023.12.31 현재,"152,186,319,180",제 46 기,2022.12.31 현재,"149,501,059,195",6,KRW
20250327000681,11011,2024,00125664,012210,OFS,재무제표,BS,재무상태표,유동부채,제 48 기,2024.12.31 현재,"49,938,529,756",제 47 기,2023.12.31 현재,"60,338,956,746",제 46 기,2022.12.31 현재,"60,973,307,768",8,KRW
20250327000681,11011,2024,00125664,012210,OFS,재무제표,BS,재무상태표,비유동부채,제 48 기,2024.12.31 현재,"48,988,049,659",제 47 기,2023.12.31 현재,"34,908,281,205",제 46 기,2022.12.31 현재,"37,874,711,092",10,KRW
20250327000681,11011,2024,00125664,012210,OFS,재무제표,BS,재무상태표,부채총계,제 48 기,2024.12.31 현재,"98,926,579,415",제 47 기,2023.12.31 현재,"95,247,237,951",제 46 기,2022.12.31 현재,"98,848,018,860",12,KRW
20250327000681,11011,2024,00125664,012210,OFS,재무제표,BS,재무상태표,자본금,제 48 기,2024.12.31 현재,"17,799,942,500",제 47 기,2023.12.31 현재,"17,799,942,500",제 46 기,2022.12.31 현재,"15,799,942,500",15,KRW
20250327000681,11011,2024,00125664,012210,OFS,재무제표,BS,재무상태표,이익잉여금,제 48 기,2024.12.31 현재,"20,448,957,467",제 47 기,2023.12.31 현재,"17,314,119,427",제 46 기,2022.12.31 현재,"17,016,769,533",19,KRW
20250327000681,11011,2024,00125664,012210,OFS,재무제표,BS,재무상태표,자본총계,제 48 기,2024.12.31 현재,"73,820,906,285",제 47 기,2023.12.31 현재,"56,939,081,229",제 46 기,2022.12.31 현재,"50,653,040,335",22,KRW
20250327000681,11011,2024,00125664,012210,OFS,재무제표,IS,손익계산서,매출액,제 48 기,2024.01.01 ~ 2024.12.31,"76,441,344,507",제 47 기,2023.01.01 ~ 2023.12.31,"76,842,784,518",제 46 기,2022.01.01 ~ 2022.12.31,"70,751,586,238",24,KRW
20250327000681,11011,2024,00125664,012210,OFS,재무제표,IS,손익계산서,영업이익,제 48 기,2024.01.01 ~ 2024.12.31,"4,454,162,901",제 47 기,2023.01.01 ~ 2023.12.31,"5,964,405,335",제 46 기,2022.01.01 ~ 2022.12.31,"-1,486,505,674",26,KRW
20250327000681,11011,2024,00125664,012210,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 48 기,2024.01.01 ~ 2024.12.31,"2,388,882,309",제 47 기,2023.01.01 ~ 2023.12.31,"1,643,749,564",제 46 기,2022.01.01 ~ 2022.12.31,"-674,705,536",28,KRW
20250327000681,11011,2024,00125664,012210,OFS,재무제표,IS,손익계산서,당기순이익,제 48 기,2024.01.01 ~ 2024.12.31,"3,464,735,457",제 47 기,2023.01.01 ~ 2023.12.31,"939,964,950",제 46 기,2022.01.01 ~ 2022.12.31,"-1,118,384,891",30,KRW
20250327000681,11011,2024,00125664,012210,OFS,재무제표,BS,재무상태표,차입부채,제 48 기,2024.12.31 현재,"41,838,260,000",제 47 기,2023.12.31 현재,"51,493,402,490",제 46 기,2022.12.31 현재,"50,765,909,287",34,KRW
20250327000681,11011,2024,00125664,012210,OFS,재무제표,BS,재무상태표,당기손익-공정가치측정금융자산,제 48 기,2024.12.31 현재,"5,605,484",제 47 기,2023.12.31 현재,"5,605,484",제 46 기,2022.12.31 현재,"5,605,484",36,KRW
20250327000681,11011,2024,00125664,012210,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 48 기,2024.01.01 ~ 2024.12.31,"3,464,735,457",제 47 기,2023.01.01 ~ 2023.12.31,"939,964,950",제 46 기,2022.01.01 ~ 2022.12.31,"-1,118,384,891",62,KRW
20250327000681,11011,2024,00125664,012210,OFS,재무제표,IS,손익계산서,총포괄손익,제 48 기,2024.01.01 ~ 2024.12.31,"16,881,825,056",제 47 기,2023.01.01 ~ 2023.12.31,"297,349,894",제 46 기,2022.01.01 ~ 2022.12.31,"5,184,678,720",64,KRW
