rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250319000739,11011,2024,00896285,145990,CFS,연결재무제표,BS,재무상태표,유동자산,제 14 기,2024.12.31 현재,"1,160,289,267,102",제 13 기,2023.12.31 현재,"1,209,396,625,056",제 12 기,2022.12.31 현재,"1,105,795,695,751",1,KRW
20250319000739,11011,2024,00896285,145990,CFS,연결재무제표,BS,재무상태표,비유동자산,제 14 기,2024.12.31 현재,"2,159,637,232,813",제 13 기,2023.12.31 현재,"1,995,604,429,451",제 12 기,2022.12.31 현재,"1,843,853,432,654",3,KRW
20250319000739,11011,2024,00896285,145990,CFS,연결재무제표,BS,재무상태표,자산총계,제 14 기,2024.12.31 현재,"3,319,926,499,915",제 13 기,2023.12.31 현재,"3,205,001,054,507",제 12 기,2022.12.31 현재,"2,949,649,128,405",5,KRW
20250319000739,11011,2024,00896285,145990,CFS,연결재무제표,BS,재무상태표,유동부채,제 14 기,2024.12.31 현재,"677,083,758,174",제 13 기,2023.12.31 현재,"824,776,375,655",제 12 기,2022.12.31 현재,"503,590,879,696",7,KRW
20250319000739,11011,2024,00896285,145990,CFS,연결재무제표,BS,재무상태표,비유동부채,제 14 기,2024.12.31 현재,"695,161,460,506",제 13 기,2023.12.31 현재,"668,130,128,673",제 12 기,2022.12.31 현재,"915,068,478,322",9,KRW
20250319000739,11011,2024,00896285,145990,CFS,연결재무제표,BS,재무상태표,부채총계,제 14 기,2024.12.31 현재,"1,372,245,218,680",제 13 기,2023.12.31 현재,"1,492,906,504,328",제 12 기,2022.12.31 현재,"1,418,659,358,018",11,KRW
20250319000739,11011,2024,00896285,145990,CFS,연결재무제표,BS,재무상태표,자본금,제 14 기,2024.12.31 현재,"53,417,595,000",제 13 기,2023.12.31 현재,"53,417,595,000",제 12 기,2022.12.31 현재,"53,417,595,000",13,KRW
20250319000739,11011,2024,00896285,145990,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 14 기,2024.12.31 현재,"578,452,600,128",제 13 기,2023.12.31 현재,"475,371,125,662",제 12 기,2022.12.31 현재,"382,651,153,923",17,KRW
20250319000739,11011,2024,00896285,145990,CFS,연결재무제표,BS,재무상태표,자본총계,제 14 기,2024.12.31 현재,"1,947,681,281,235",제 13 기,2023.12.31 현재,"1,712,094,550,179",제 12 기,2022.12.31 현재,"1,530,989,770,387",21,KRW
20250319000739,11011,2024,00896285,145990,CFS,연결재무제표,IS,손익계산서,매출액,제 14 기,2024.01.01 ~ 2024.12.31,"2,671,821,461,625",제 13 기,2023.01.01 ~ 2023.12.31,"2,651,439,171,359",제 12 기,2022.01.01 ~ 2022.12.31,"2,652,438,535,664",23,KRW
