rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250313000648,11011,2024,00128607,024950,CFS,연결재무제표,BS,재무상태표,유동자산,제 46 기,2024.12.31 현재,"146,692,763,547",제 45 기,2023.12.31 현재,"140,346,459,698",제 44 기,2022.12.31 현재,"56,619,288,434",1,KRW
20250313000648,11011,2024,00128607,024950,CFS,연결재무제표,BS,재무상태표,비유동자산,제 46 기,2024.12.31 현재,"134,641,250,301",제 45 기,2023.12.31 현재,"131,004,220,746",제 44 기,2022.12.31 현재,"86,047,678,522",3,KRW
20250313000648,11011,2024,00128607,024950,CFS,연결재무제표,BS,재무상태표,자산총계,제 46 기,2024.12.31 현재,"281,334,013,848",제 45 기,2023.12.31 현재,"271,350,680,444",제 44 기,2022.12.31 현재,"142,666,966,956",5,KRW
20250313000648,11011,2024,00128607,024950,CFS,연결재무제표,BS,재무상태표,유동부채,제 46 기,2024.12.31 현재,"101,448,393,532",제 45 기,2023.12.31 현재,"103,200,863,936",제 44 기,2022.12.31 현재,"46,077,224,570",7,KRW
20250313000648,11011,2024,00128607,024950,CFS,연결재무제표,BS,재무상태표,비유동부채,제 46 기,2024.12.31 현재,"20,188,965,833",제 45 기,2023.12.31 현재,"10,798,973,043",제 44 기,2022.12.31 현재,"3,168,630,143",9,KRW
20250313000648,11011,2024,00128607,024950,CFS,연결재무제표,BS,재무상태표,부채총계,제 46 기,2024.12.31 현재,"121,637,359,365",제 45 기,2023.12.31 현재,"113,999,836,979",제 44 기,2022.12.31 현재,"49,245,854,713",11,KRW
20250313000648,11011,2024,00128607,024950,CFS,연결재무제표,BS,재무상태표,자본금,제 46 기,2024.12.31 현재,"6,636,788,500",제 45 기,2023.12.31 현재,"6,636,788,500",제 44 기,2022.12.31 현재,"6,636,788,500",13,KRW
20250313000648,11011,2024,00128607,024950,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 46 기,2024.12.31 현재,"44,500,868,885",제 45 기,2023.12.31 현재,"44,477,955,936",제 44 기,2022.12.31 현재,"39,418,328,243",17,KRW
20250313000648,11011,2024,00128607,024950,CFS,연결재무제표,BS,재무상태표,자본총계,제 46 기,2024.12.31 현재,"159,696,654,483",제 45 기,2023.12.31 현재,"157,350,843,465",제 44 기,2022.12.31 현재,"93,421,112,243",21,KRW
20250313000648,11011,2024,00128607,024950,CFS,연결재무제표,IS,손익계산서,매출액,제 46 기,2024.01.01 ~ 2024.12.31,"161,167,353,566",제 45 기,2023.01.01 ~ 2023.12.31,"106,783,297,522",제 44 기,2022.01.01 ~ 2022.12.31,"113,103,904,244",23,KRW
20250313000648,11011,2024,00128607,024950,CFS,연결재무제표,IS,손익계산서,영업이익,제 46 기,2024.01.01 ~ 2024.12.31,"3,013,641,806",제 45 기,2023.01.01 ~ 2023.12.31,"-6,290,389,338",제 44 기,2022.01.01 ~ 2022.12.31,"2,127,873,334",25,KRW
20250313000648,11011,2024,00128607,024950,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 46 기,2024.01.01 ~ 2024.12.31,"3,537,518,538",제 45 기,2023.01.01 ~ 2023.12.31,"3,205,354,902",제 44 기,2022.01.01 ~ 2022.12.31,"-4,592,377,307",27,KRW
20250313000648,11011,2024,00128607,024950,CFS,연결재무제표,IS,손익계산서,당기순이익,제 46 기,2024.01.01 ~ 2024.12.31,"1,642,308,771",제 45 기,2023.01.01 ~ 2023.12.31,"6,200,377,346",제 44 기,2022.01.01 ~ 2022.12.31,"-5,040,427,448",29,KRW
20250313000648,11011,2024,00128607,024950,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 46 기,2024.01.01 ~ 2024.12.31,"1,642,308,771",제 45 기,2023.01.01 ~ 2023.12.31,"6,200,377,346",제 44 기,2022.01.01 ~ 2022.12.31,"-5,040,427,448",61,KRW
20250313000648,11011,2024,00128607,024950,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 46 기,2024.01.01 ~ 2024.12.31,"2,263,840,972",제 45 기,2023.01.01 ~ 2023.12.31,"4,071,439,659",제 44 기,2022.01.01 ~ 2022.12.31,"-3,769,822,429",63,KRW
20250313000648,11011,2024,00128607,024950,OFS,재무제표,BS,재무상태표,유동자산,제 46 기,2024.12.31 현재,"36,072,440,459",제 45 기,2023.12.31 현재,"37,094,822,556",제 44 기,2022.12.31 현재,"51,915,307,429",2,KRW
20250313000648,11011,2024,00128607,024950,OFS,재무제표,BS,재무상태표,비유동자산,제 46 기,2024.12.31 현재,"104,936,364,490",제 45 기,2023.12.31 현재,"107,334,361,627",제 44 기,2022.12.31 현재,"85,861,737,521",4,KRW
20250313000648,11011,2024,00128607,024950,OFS,재무제표,BS,재무상태표,자산총계,제 46 기,2024.12.31 현재,"141,008,804,949",제 45 기,2023.12.31 현재,"144,429,184,183",제 44 기,2022.12.31 현재,"137,777,044,950",6,KRW
20250313000648,11011,2024,00128607,024950,OFS,재무제표,BS,재무상태표,유동부채,제 46 기,2024.12.31 현재,"34,021,153,847",제 45 기,2023.12.31 현재,"45,988,553,108",제 44 기,2022.12.31 현재,"45,024,122,577",8,KRW
20250313000648,11011,2024,00128607,024950,OFS,재무제표,BS,재무상태표,비유동부채,제 46 기,2024.12.31 현재,"13,392,424,841",제 45 기,2023.12.31 현재,"3,952,198,005",제 44 기,2022.12.31 현재,"3,133,465,183",10,KRW
20250313000648,11011,2024,00128607,024950,OFS,재무제표,BS,재무상태표,부채총계,제 46 기,2024.12.31 현재,"47,413,578,688",제 45 기,2023.12.31 현재,"49,940,751,113",제 44 기,2022.12.31 현재,"48,157,587,760",12,KRW
20250313000648,11011,2024,00128607,024950,OFS,재무제표,BS,재무상태표,자본금,제 46 기,2024.12.31 현재,"6,636,788,500",제 45 기,2023.12.31 현재,"6,636,788,500",제 44 기,2022.12.31 현재,"6,636,788,500",15,KRW
