rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250321001666,11011,2024,00410915,063170,CFS,연결재무제표,BS,재무상태표,유동자산,제 27 기,2024.12.31 현재,"101,160,716,544",제 26 기,2023.12.31 현재,"113,833,047,259",제 25 기,2022.12.31 현재,"124,629,824,229",1,KRW
20250321001666,11011,2024,00410915,063170,CFS,연결재무제표,BS,재무상태표,비유동자산,제 27 기,2024.12.31 현재,"111,380,970,322",제 26 기,2023.12.31 현재,"82,436,209,576",제 25 기,2022.12.31 현재,"69,711,667,954",3,KRW
20250321001666,11011,2024,00410915,063170,CFS,연결재무제표,BS,재무상태표,자산총계,제 27 기,2024.12.31 현재,"212,541,686,866",제 26 기,2023.12.31 현재,"196,269,256,835",제 25 기,2022.12.31 현재,"194,341,492,183",5,KRW
20250321001666,11011,2024,00410915,063170,CFS,연결재무제표,BS,재무상태표,유동부채,제 27 기,2024.12.31 현재,"46,272,683,193",제 26 기,2023.12.31 현재,"30,405,438,717",제 25 기,2022.12.31 현재,"46,031,932,771",7,KRW
20250321001666,11011,2024,00410915,063170,CFS,연결재무제표,BS,재무상태표,비유동부채,제 27 기,2024.12.31 현재,"58,591,887,462",제 26 기,2023.12.31 현재,"49,100,635,043",제 25 기,2022.12.31 현재,"24,143,179,296",9,KRW
20250321001666,11011,2024,00410915,063170,CFS,연결재무제표,BS,재무상태표,부채총계,제 27 기,2024.12.31 현재,"104,864,570,655",제 26 기,2023.12.31 현재,"79,506,073,760",제 25 기,2022.12.31 현재,"70,175,112,067",11,KRW
20250321001666,11011,2024,00410915,063170,CFS,연결재무제표,BS,재무상태표,자본금,제 27 기,2024.12.31 현재,"8,887,133,500",제 26 기,2023.12.31 현재,"8,887,133,500",제 25 기,2022.12.31 현재,"8,887,133,500",13,KRW
20250321001666,11011,2024,00410915,063170,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 27 기,2024.12.31 현재,"23,050,493,475",제 26 기,2023.12.31 현재,"32,645,507,869",제 25 기,2022.12.31 현재,"42,783,643,648",17,KRW
20250321001666,11011,2024,00410915,063170,CFS,연결재무제표,BS,재무상태표,자본총계,제 27 기,2024.12.31 현재,"107,677,116,211",제 26 기,2023.12.31 현재,"116,763,183,075",제 25 기,2022.12.31 현재,"124,166,380,116",21,KRW
20250321001666,11011,2024,00410915,063170,CFS,연결재무제표,IS,손익계산서,영업이익,제 27 기,2024.01.01 ~ 2024.12.31,"-3,390,242,787",제 26 기,2023.01.01 ~ 2023.12.31,"-3,547,805,936",제 25 기,2022.01.01 ~ 2022.12.31,"7,708,465,822",25,KRW
20250321001666,11011,2024,00410915,063170,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 27 기,2024.01.01 ~ 2024.12.31,"-9,853,424,713",제 26 기,2023.01.01 ~ 2023.12.31,"-6,901,116,480",제 25 기,2022.01.01 ~ 2022.12.31,"6,519,666,119",27,KRW
20250321001666,11011,2024,00410915,063170,CFS,연결재무제표,IS,손익계산서,당기순이익,제 27 기,2024.01.01 ~ 2024.12.31,"-9,469,037,391",제 26 기,2023.01.01 ~ 2023.12.31,"-7,969,020,389",제 25 기,2022.01.01 ~ 2022.12.31,"4,542,280,004",29,KRW
20250321001666,11011,2024,00410915,063170,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 27 기,2024.01.01 ~ 2024.12.31,"-9,469,037,391",제 26 기,2023.01.01 ~ 2023.12.31,"-7,969,020,389",제 25 기,2022.01.01 ~ 2022.12.31,"4,542,280,004",61,KRW
20250321001666,11011,2024,00410915,063170,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 27 기,2024.01.01 ~ 2024.12.31,"-9,086,066,864",제 26 기,2023.01.01 ~ 2023.12.31,"-10,338,014,623",제 25 기,2022.01.01 ~ 2022.12.31,"10,253,610,551",63,KRW
20250321001666,11011,2024,00410915,063170,OFS,재무제표,BS,재무상태표,유동자산,제 27 기,2024.12.31 현재,"89,030,768,566",제 26 기,2023.12.31 현재,"103,067,979,270",제 25 기,2022.12.31 현재,"112,699,531,971",2,KRW
20250321001666,11011,2024,00410915,063170,OFS,재무제표,BS,재무상태표,비유동자산,제 27 기,2024.12.31 현재,"111,624,871,178",제 26 기,2023.12.31 현재,"82,433,415,873",제 25 기,2022.12.31 현재,"69,708,411,197",4,KRW
20250321001666,11011,2024,00410915,063170,OFS,재무제표,BS,재무상태표,자산총계,제 27 기,2024.12.31 현재,"200,655,639,744",제 26 기,2023.12.31 현재,"185,501,395,143",제 25 기,2022.12.31 현재,"182,407,943,168",6,KRW
20250321001666,11011,2024,00410915,063170,OFS,재무제표,BS,재무상태표,유동부채,제 27 기,2024.12.31 현재,"49,796,743,670",제 26 기,2023.12.31 현재,"34,080,054,210",제 25 기,2022.12.31 현재,"47,896,277,285",8,KRW
20250321001666,11011,2024,00410915,063170,OFS,재무제표,BS,재무상태표,비유동부채,제 27 기,2024.12.31 현재,"58,591,887,462",제 26 기,2023.12.31 현재,"49,100,635,043",제 25 기,2022.12.31 현재,"24,143,179,296",10,KRW
20250321001666,11011,2024,00410915,063170,OFS,재무제표,BS,재무상태표,부채총계,제 27 기,2024.12.31 현재,"108,388,631,132",제 26 기,2023.12.31 현재,"83,180,689,253",제 25 기,2022.12.31 현재,"72,039,456,581",12,KRW
20250321001666,11011,2024,00410915,063170,OFS,재무제표,BS,재무상태표,자본금,제 27 기,2024.12.31 현재,"8,887,133,500",제 26 기,2023.12.31 현재,"8,887,133,500",제 25 기,2022.12.31 현재,"8,887,133,500",15,KRW
20250321001666,11011,2024,00410915,063170,OFS,재무제표,BS,재무상태표,이익잉여금,제 27 기,2024.12.31 현재,"11,021,417,546",제 26 기,2023.12.31 현재,"19,827,476,161",제 25 기,2022.12.31 현재,"30,435,483,853",19,KRW
20250321001666,11011,2024,00410915,063170,OFS,재무제표,BS,재무상태표,자본총계,제 27 기,2024.12.31 현재,"92,267,008,612",제 26 기,2023.12.31 현재,"102,320,705,890",제 25 기,2022.12.31 현재,"110,368,486,587",22,KRW
20250321001666,11011,2024,00410915,063170,OFS,재무제표,IS,손익계산서,영업이익,제 27 기,2024.01.01 ~ 2024.12.31,"-3,228,309,615",제 26 기,2023.01.01 ~ 2023.12.31,"-4,085,893,868",제 25 기,2022.01.01 ~ 2022.12.31,"7,547,733,190",26,KRW
20250321001666,11011,2024,00410915,063170,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 27 기,2024.01.01 ~ 2024.12.31,"-9,064,468,934",제 26 기,2023.01.01 ~ 2023.12.31,"-7,370,988,393",제 25 기,2022.01.01 ~ 2022.12.31,"6,766,314,366",28,KRW
20250321001666,11011,2024,00410915,063170,OFS,재무제표,IS,손익계산서,당기순이익,제 27 기,2024.01.01 ~ 2024.12.31,"-8,680,081,612",제 26 기,2023.01.01 ~ 2023.12.31,"-8,438,892,302",제 25 기,2022.01.01 ~ 2022.12.31,"4,788,928,251",30,KRW
20250321001666,11011,2024,00410915,063170,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 27 기,2024.01.01 ~ 2024.12.31,"-8,680,081,612",제 26 기,2023.01.01 ~ 2023.12.31,"-8,438,892,302",제 25 기,2022.01.01 ~ 2022.12.31,"4,788,928,251",62,KRW
20250321001666,11011,2024,00410915,063170,OFS,재무제표,IS,손익계산서,총포괄손익,제 27 기,2024.01.01 ~ 2024.12.31,"-10,053,697,278",제 26 기,2023.01.01 ~ 2023.12.31,"-10,982,598,279",제 25 기,2022.01.01 ~ 2022.12.31,"9,728,681,502",64,KRW
