rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240320000406,11011,2023,00445799,093920,CFS,연결재무제표,BS,재무상태표,유동자산,제 27 기,2023.12.31 현재,"189,143,382,504",제 26 기,2022.12.31 현재,"196,245,916,857",제 25 기,2021.12.31 현재,"173,634,260,931",1,KRW
20240320000406,11011,2023,00445799,093920,CFS,연결재무제표,BS,재무상태표,비유동자산,제 27 기,2023.12.31 현재,"42,819,857,184",제 26 기,2022.12.31 현재,"42,823,056,691",제 25 기,2021.12.31 현재,"44,765,329,153",3,KRW
20240320000406,11011,2023,00445799,093920,CFS,연결재무제표,BS,재무상태표,자산총계,제 27 기,2023.12.31 현재,"231,963,239,688",제 26 기,2022.12.31 현재,"239,068,973,548",제 25 기,2021.12.31 현재,"218,399,590,084",5,KRW
20240320000406,11011,2023,00445799,093920,CFS,연결재무제표,BS,재무상태표,유동부채,제 27 기,2023.12.31 현재,"26,886,456,883",제 26 기,2022.12.31 현재,"41,073,157,228",제 25 기,2021.12.31 현재,"37,140,002,247",7,KRW
20240320000406,11011,2023,00445799,093920,CFS,연결재무제표,BS,재무상태표,비유동부채,제 27 기,2023.12.31 현재,"168,234,045",제 26 기,2022.12.31 현재,"282,100,495",제 25 기,2021.12.31 현재,"258,338,164",9,KRW
20240320000406,11011,2023,00445799,093920,CFS,연결재무제표,BS,재무상태표,부채총계,제 27 기,2023.12.31 현재,"27,054,690,928",제 26 기,2022.12.31 현재,"41,355,257,723",제 25 기,2021.12.31 현재,"37,398,340,411",11,KRW
20240320000406,11011,2023,00445799,093920,CFS,연결재무제표,BS,재무상태표,자본금,제 27 기,2023.12.31 현재,"9,300,000,000",제 26 기,2022.12.31 현재,"9,300,000,000",제 25 기,2021.12.31 현재,"9,300,000,000",13,KRW
20240320000406,11011,2023,00445799,093920,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 27 기,2023.12.31 현재,"185,439,738,426",제 26 기,2022.12.31 현재,"178,457,721,553",제 25 기,2021.12.31 현재,"161,995,224,459",17,KRW
20240320000406,11011,2023,00445799,093920,CFS,연결재무제표,BS,재무상태표,자본총계,제 27 기,2023.12.31 현재,"204,908,548,760",제 26 기,2022.12.31 현재,"197,713,715,825",제 25 기,2021.12.31 현재,"181,001,249,673",21,KRW
20240320000406,11011,2023,00445799,093920,CFS,연결재무제표,IS,손익계산서,매출액,제 27 기,2023.01.01 ~ 2023.12.31,"262,811,619,114",제 26 기,2022.01.01 ~ 2022.12.31,"316,789,922,430",제 25 기,2021.01.01 ~ 2021.12.31,"288,547,884,243",23,KRW
20240320000406,11011,2023,00445799,093920,CFS,연결재무제표,IS,손익계산서,영업이익,제 27 기,2023.01.01 ~ 2023.12.31,"9,986,462,505",제 26 기,2022.01.01 ~ 2022.12.31,"22,560,152,834",제 25 기,2021.01.01 ~ 2021.12.31,"13,455,266,970",25,KRW
20240320000406,11011,2023,00445799,093920,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 27 기,2023.01.01 ~ 2023.12.31,"18,282,144,721",제 26 기,2022.01.01 ~ 2022.12.31,"31,218,036,156",제 25 기,2021.01.01 ~ 2021.12.31,"24,546,189,432",27,KRW
20240320000406,11011,2023,00445799,093920,CFS,연결재무제표,IS,손익계산서,당기순이익,제 27 기,2023.01.01 ~ 2023.12.31,"14,514,188,510",제 26 기,2022.01.01 ~ 2022.12.31,"23,199,065,224",제 25 기,2021.01.01 ~ 2021.12.31,"16,684,001,131",29,KRW
20240320000406,11011,2023,00445799,093920,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 27 기,2023.01.01 ~ 2023.12.31,"14,514,188,510",제 26 기,2022.01.01 ~ 2022.12.31,"23,199,065,224",제 25 기,2021.01.01 ~ 2021.12.31,"16,684,001,131",61,KRW
20240320000406,11011,2023,00445799,093920,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 27 기,2023.01.01 ~ 2023.12.31,"14,873,342,238",제 26 기,2022.01.01 ~ 2022.12.31,"23,351,209,773",제 25 기,2021.01.01 ~ 2021.12.31,"15,707,017,455",63,KRW
20240320000406,11011,2023,00445799,093920,OFS,재무제표,BS,재무상태표,유동자산,제 27 기,2023.12.31 현재,"178,465,658,650",제 26 기,2022.12.31 현재,"162,946,687,895",제 25 기,2021.12.31 현재,"153,376,517,739",2,KRW
