rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20230718000083,11011,2022,00131504,011370,CFS,연결재무제표,BS,재무상태표,유동자산,제 47 기,2022.12.31 현재,"890,596,494,339",제 46 기,2021.12.31 현재,"636,567,103,460",제 45 기,2020.12.31 현재,"434,582,004,396",1,KRW
20230718000083,11011,2022,00131504,011370,CFS,연결재무제표,BS,재무상태표,비유동자산,제 47 기,2022.12.31 현재,"157,211,271,938",제 46 기,2021.12.31 현재,"117,946,106,274",제 45 기,2020.12.31 현재,"108,644,805,066",3,KRW
20230718000083,11011,2022,00131504,011370,CFS,연결재무제표,BS,재무상태표,자산총계,제 47 기,2022.12.31 현재,"1,047,807,766,277",제 46 기,2021.12.31 현재,"754,513,209,734",제 45 기,2020.12.31 현재,"543,226,809,462",5,KRW
20230718000083,11011,2022,00131504,011370,CFS,연결재무제표,BS,재무상태표,유동부채,제 47 기,2022.12.31 현재,"453,084,988,302",제 46 기,2021.12.31 현재,"284,816,217,445",제 45 기,2020.12.31 현재,"121,078,711,376",7,KRW
20230718000083,11011,2022,00131504,011370,CFS,연결재무제표,BS,재무상태표,비유동부채,제 47 기,2022.12.31 현재,"198,396,815,504",제 46 기,2021.12.31 현재,"108,202,047,801",제 45 기,2020.12.31 현재,"104,391,183,936",9,KRW
20230718000083,11011,2022,00131504,011370,CFS,연결재무제표,BS,재무상태표,부채총계,제 47 기,2022.12.31 현재,"651,481,803,806",제 46 기,2021.12.31 현재,"393,018,265,246",제 45 기,2020.12.31 현재,"225,469,895,312",11,KRW
20230718000083,11011,2022,00131504,011370,CFS,연결재무제표,BS,재무상태표,자본금,제 47 기,2022.12.31 현재,"50,447,432,500",제 46 기,2021.12.31 현재,"50,447,432,500",제 45 기,2020.12.31 현재,"50,447,432,500",13,KRW
20230718000083,11011,2022,00131504,011370,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 47 기,2022.12.31 현재,"348,812,586,409",제 46 기,2021.12.31 현재,"313,489,044,699",제 45 기,2020.12.31 현재,"270,915,303,278",17,KRW
20230718000083,11011,2022,00131504,011370,CFS,연결재무제표,BS,재무상태표,자본총계,제 47 기,2022.12.31 현재,"396,325,962,471",제 46 기,2021.12.31 현재,"361,494,944,488",제 45 기,2020.12.31 현재,"317,756,914,150",21,KRW
20230718000083,11011,2022,00131504,011370,CFS,연결재무제표,IS,손익계산서,매출액,제 47 기,2022.01.01 ~ 2022.12.31,"730,033,168,624",제 46 기,2021.01.01 ~ 2021.12.31,"608,817,281,256",제 45 기,2020.01.01 ~ 2020.12.31,"485,236,330,934",23,KRW
