rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250327001024,11011,2024,01274329,365340,CFS,연결재무제표,BS,재무상태표,유동자산,제 8 기,2024.12.31 현재,"126,914,010,111",제 7 기,2023.12.31 현재,"145,951,587,112",제 6 기,2022.12.31 현재,"215,337,850,540",1,KRW
20250327001024,11011,2024,01274329,365340,CFS,연결재무제표,BS,재무상태표,비유동자산,제 8 기,2024.12.31 현재,"552,585,723,676",제 7 기,2023.12.31 현재,"429,116,830,033",제 6 기,2022.12.31 현재,"205,210,031,731",3,KRW
20250327001024,11011,2024,01274329,365340,CFS,연결재무제표,BS,재무상태표,자산총계,제 8 기,2024.12.31 현재,"679,499,733,787",제 7 기,2023.12.31 현재,"575,068,417,145",제 6 기,2022.12.31 현재,"420,547,882,271",5,KRW
20250327001024,11011,2024,01274329,365340,CFS,연결재무제표,BS,재무상태표,유동부채,제 8 기,2024.12.31 현재,"253,212,716,633",제 7 기,2023.12.31 현재,"120,435,283,164",제 6 기,2022.12.31 현재,"88,672,931,328",7,KRW
20250327001024,11011,2024,01274329,365340,CFS,연결재무제표,BS,재무상태표,비유동부채,제 8 기,2024.12.31 현재,"201,476,382,627",제 7 기,2023.12.31 현재,"130,502,840,755",제 6 기,2022.12.31 현재,"40,642,308,637",9,KRW
20250327001024,11011,2024,01274329,365340,CFS,연결재무제표,BS,재무상태표,부채총계,제 8 기,2024.12.31 현재,"454,689,099,260",제 7 기,2023.12.31 현재,"250,938,123,919",제 6 기,2022.12.31 현재,"129,315,239,965",11,KRW
20250327001024,11011,2024,01274329,365340,CFS,연결재무제표,BS,재무상태표,자본금,제 8 기,2024.12.31 현재,"6,074,000,000",제 7 기,2023.12.31 현재,"6,021,213,000",제 6 기,2022.12.31 현재,"5,964,929,500",13,KRW
20250327001024,11011,2024,01274329,365340,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 8 기,2024.12.31 현재,"-54,550,240,508",제 7 기,2023.12.31 현재,"55,572,407,186",제 6 기,2022.12.31 현재,"30,775,803,710",17,KRW
20250327001024,11011,2024,01274329,365340,CFS,연결재무제표,BS,재무상태표,자본총계,제 8 기,2024.12.31 현재,"224,810,634,527",제 7 기,2023.12.31 현재,"324,130,293,226",제 6 기,2022.12.31 현재,"291,232,642,306",21,KRW
20250327001024,11011,2024,01274329,365340,CFS,연결재무제표,IS,손익계산서,매출액,제 8 기,2024.01.01 ~ 2024.12.31,"136,215,012,576",제 7 기,2023.01.01 ~ 2023.12.31,"247,367,786,854",제 6 기,2022.01.01 ~ 2022.12.31,"269,895,520,527",23,KRW
20250327001024,11011,2024,01274329,365340,CFS,연결재무제표,IS,손익계산서,영업이익,제 8 기,2024.01.01 ~ 2024.12.31,"-71,393,158,346",제 7 기,2023.01.01 ~ 2023.12.31,"-8,338,433,228",제 6 기,2022.01.01 ~ 2022.12.31,"48,313,488,557",25,KRW
20250327001024,11011,2024,01274329,365340,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 8 기,2024.01.01 ~ 2024.12.31,"-88,357,116,091",제 7 기,2023.01.01 ~ 2023.12.31,"-11,653,871,334",제 6 기,2022.01.01 ~ 2022.12.31,"49,559,961,965",27,KRW
20250327001024,11011,2024,01274329,365340,CFS,연결재무제표,IS,손익계산서,당기순이익,제 8 기,2024.01.01 ~ 2024.12.31,"-112,494,302,423",제 7 기,2023.01.01 ~ 2023.12.31,"25,234,062,513",제 6 기,2022.01.01 ~ 2022.12.31,"39,143,961,950",29,KRW
20250327001024,11011,2024,01274329,365340,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 8 기,2024.01.01 ~ 2024.12.31,"-112,494,302,423",제 7 기,2023.01.01 ~ 2023.12.31,"25,234,062,513",제 6 기,2022.01.01 ~ 2022.12.31,"39,143,961,950",61,KRW
20250327001024,11011,2024,01274329,365340,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 8 기,2024.01.01 ~ 2024.12.31,"-108,113,938,749",제 7 기,2023.01.01 ~ 2023.12.31,"24,432,456,691",제 6 기,2022.01.01 ~ 2022.12.31,"37,920,694,733",63,KRW
20250327001024,11011,2024,01274329,365340,OFS,재무제표,BS,재무상태표,유동자산,제 8 기,2024.12.31 현재,"113,511,255,693",제 7 기,2023.12.31 현재,"111,952,173,347",제 6 기,2022.12.31 현재,"193,801,134,854",2,KRW
20250327001024,11011,2024,01274329,365340,OFS,재무제표,BS,재무상태표,비유동자산,제 8 기,2024.12.31 현재,"509,608,712,311",제 7 기,2023.12.31 현재,"418,608,592,152",제 6 기,2022.12.31 현재,"199,912,099,136",4,KRW
20250327001024,11011,2024,01274329,365340,OFS,재무제표,BS,재무상태표,자산총계,제 8 기,2024.12.31 현재,"623,119,968,004",제 7 기,2023.12.31 현재,"530,560,765,499",제 6 기,2022.12.31 현재,"393,713,233,990",6,KRW
20250327001024,11011,2024,01274329,365340,OFS,재무제표,BS,재무상태표,유동부채,제 8 기,2024.12.31 현재,"201,408,398,968",제 7 기,2023.12.31 현재,"86,604,275,040",제 6 기,2022.12.31 현재,"65,447,959,627",8,KRW
20250327001024,11011,2024,01274329,365340,OFS,재무제표,BS,재무상태표,비유동부채,제 8 기,2024.12.31 현재,"190,434,134,348",제 7 기,2023.12.31 현재,"120,183,538,508",제 6 기,2022.12.31 현재,"39,821,963,737",10,KRW
20250327001024,11011,2024,01274329,365340,OFS,재무제표,BS,재무상태표,부채총계,제 8 기,2024.12.31 현재,"391,842,533,316",제 7 기,2023.12.31 현재,"206,787,813,548",제 6 기,2022.12.31 현재,"105,269,923,364",12,KRW
20250327001024,11011,2024,01274329,365340,OFS,재무제표,BS,재무상태표,자본금,제 8 기,2024.12.31 현재,"6,074,000,000",제 7 기,2023.12.31 현재,"6,021,213,000",제 6 기,2022.12.31 현재,"5,964,929,500",15,KRW
20250327001024,11011,2024,01274329,365340,OFS,재무제표,BS,재무상태표,이익잉여금,제 8 기,2024.12.31 현재,"-32,112,582,693",제 7 기,2023.12.31 현재,"63,639,591,518",제 6 기,2022.12.31 현재,"27,550,810,731",19,KRW
20250327001024,11011,2024,01274329,365340,OFS,재무제표,BS,재무상태표,자본총계,제 8 기,2024.12.31 현재,"231,277,434,688",제 7 기,2023.12.31 현재,"323,772,951,951",제 6 기,2022.12.31 현재,"288,443,310,626",22,KRW
20250327001024,11011,2024,01274329,365340,OFS,재무제표,IS,손익계산서,매출액,제 8 기,2024.01.01 ~ 2024.12.31,"124,532,639,308",제 7 기,2023.01.01 ~ 2023.12.31,"211,803,035,746",제 6 기,2022.01.01 ~ 2022.12.31,"232,314,245,722",24,KRW
20250327001024,11011,2024,01274329,365340,OFS,재무제표,IS,손익계산서,영업이익,제 8 기,2024.01.01 ~ 2024.12.31,"-52,747,610,721",제 7 기,2023.01.01 ~ 2023.12.31,"108,824,280",제 6 기,2022.01.01 ~ 2022.12.31,"42,847,424,597",26,KRW
20250327001024,11011,2024,01274329,365340,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 8 기,2024.01.01 ~ 2024.12.31,"-69,275,950,682",제 7 기,2023.01.01 ~ 2023.12.31,"-1,397,219,413",제 6 기,2022.01.01 ~ 2022.12.31,"46,647,388,317",28,KRW
20250327001024,11011,2024,01274329,365340,OFS,재무제표,IS,손익계산서,당기순이익,제 8 기,2024.01.01 ~ 2024.12.31,"-95,752,174,211",제 7 기,2023.01.01 ~ 2023.12.31,"36,088,780,787",제 6 기,2022.01.01 ~ 2022.12.31,"36,264,828,365",30,KRW
20250327001024,11011,2024,01274329,365340,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 8 기,2024.01.01 ~ 2024.12.31,"-95,752,174,211",제 7 기,2023.01.01 ~ 2023.12.31,"36,088,780,787",제 6 기,2022.01.01 ~ 2022.12.31,"36,264,828,365",62,KRW
20250327001024,11011,2024,01274329,365340,OFS,재무제표,IS,손익계산서,총포괄손익,제 8 기,2024.01.01 ~ 2024.12.31,"-93,170,520,511",제 7 기,2023.01.01 ~ 2023.12.31,"34,938,529,749",제 6 기,2022.01.01 ~ 2022.12.31,"35,592,051,982",64,KRW
