rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250317000553,11011,2024,00133335,000180,CFS,연결재무제표,BS,재무상태표,유동자산,제 95 기,2024.12.31 현재,"50,986,246,413",제 94 기,2023.12.31 현재,"57,333,168,068",제 93 기,2022.12.31 현재,"94,243,757,784",1,KRW
20250317000553,11011,2024,00133335,000180,CFS,연결재무제표,BS,재무상태표,비유동자산,제 95 기,2024.12.31 현재,"668,907,071,628",제 94 기,2023.12.31 현재,"711,734,006,848",제 93 기,2022.12.31 현재,"726,070,497,181",3,KRW
20250317000553,11011,2024,00133335,000180,CFS,연결재무제표,BS,재무상태표,자산총계,제 95 기,2024.12.31 현재,"719,893,318,041",제 94 기,2023.12.31 현재,"769,067,174,916",제 93 기,2022.12.31 현재,"820,314,254,965",5,KRW
20250317000553,11011,2024,00133335,000180,CFS,연결재무제표,BS,재무상태표,유동부채,제 95 기,2024.12.31 현재,"58,260,420,912",제 94 기,2023.12.31 현재,"108,459,246,277",제 93 기,2022.12.31 현재,"135,617,637,519",7,KRW
20250317000553,11011,2024,00133335,000180,CFS,연결재무제표,BS,재무상태표,비유동부채,제 95 기,2024.12.31 현재,"83,258,291,755",제 94 기,2023.12.31 현재,"87,309,884,640",제 93 기,2022.12.31 현재,"88,923,829,490",9,KRW
20250317000553,11011,2024,00133335,000180,CFS,연결재무제표,BS,재무상태표,부채총계,제 95 기,2024.12.31 현재,"141,518,712,667",제 94 기,2023.12.31 현재,"195,769,130,917",제 93 기,2022.12.31 현재,"224,541,467,009",11,KRW
20250317000553,11011,2024,00133335,000180,CFS,연결재무제표,BS,재무상태표,자본금,제 95 기,2024.12.31 현재,"36,000,000,000",제 94 기,2023.12.31 현재,"36,000,000,000",제 93 기,2022.12.31 현재,"36,000,000,000",13,KRW
20250317000553,11011,2024,00133335,000180,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 95 기,2024.12.31 현재,"175,867,849,848",제 94 기,2023.12.31 현재,"168,683,206,405",제 93 기,2022.12.31 현재,"190,090,618,070",17,KRW
20250317000553,11011,2024,00133335,000180,CFS,연결재무제표,BS,재무상태표,자본총계,제 95 기,2024.12.31 현재,"578,374,605,374",제 94 기,2023.12.31 현재,"573,298,043,999",제 93 기,2022.12.31 현재,"595,772,787,956",21,KRW
20250317000553,11011,2024,00133335,000180,CFS,연결재무제표,IS,손익계산서,매출액,제 95 기,2024.01.01 ~ 2024.12.31,"143,105,590,875",제 94 기,2023.01.01 ~ 2023.12.31,"166,253,799,305",제 93 기,2022.01.01 ~ 2022.12.31,"227,519,697,624",23,KRW
