rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240319000280,11011,2023,00913689,148150,CFS,연결재무제표,BS,재무상태표,유동자산,제 18 기,2023.12.31 현재,"172,091,456,278",제 17 기,2022.12.31 현재,"70,386,566,158",제 16 기,2021.12.31 현재,"118,117,920,512",1,KRW
20240319000280,11011,2023,00913689,148150,CFS,연결재무제표,BS,재무상태표,비유동자산,제 18 기,2023.12.31 현재,"132,188,987,298",제 17 기,2022.12.31 현재,"138,413,251,111",제 16 기,2021.12.31 현재,"143,927,905,523",3,KRW
20240319000280,11011,2023,00913689,148150,CFS,연결재무제표,BS,재무상태표,자산총계,제 18 기,2023.12.31 현재,"304,280,443,576",제 17 기,2022.12.31 현재,"208,799,817,269",제 16 기,2021.12.31 현재,"262,045,826,035",5,KRW
20240319000280,11011,2023,00913689,148150,CFS,연결재무제표,BS,재무상태표,유동부채,제 18 기,2023.12.31 현재,"99,270,719,662",제 17 기,2022.12.31 현재,"29,408,780,490",제 16 기,2021.12.31 현재,"100,339,940,558",7,KRW
20240319000280,11011,2023,00913689,148150,CFS,연결재무제표,BS,재무상태표,비유동부채,제 18 기,2023.12.31 현재,"3,115,860,327",제 17 기,2022.12.31 현재,"5,205,241,978",제 16 기,2021.12.31 현재,"3,922,035,389",9,KRW
20240319000280,11011,2023,00913689,148150,CFS,연결재무제표,BS,재무상태표,부채총계,제 18 기,2023.12.31 현재,"102,386,579,989",제 17 기,2022.12.31 현재,"34,614,022,468",제 16 기,2021.12.31 현재,"104,261,975,947",11,KRW
20240319000280,11011,2023,00913689,148150,CFS,연결재무제표,BS,재무상태표,자본총계,제 18 기,2023.12.31 현재,"201,893,863,587",제 17 기,2022.12.31 현재,"174,185,794,801",제 16 기,2021.12.31 현재,"157,783,850,088",21,KRW
20240319000280,11011,2023,00913689,148150,CFS,연결재무제표,IS,손익계산서,매출액,제 18 기,2023.01.01 ~ 2023.12.31,"304,477,120,594",제 17 기,2022.01.01 ~ 2022.12.31,"260,647,147,230",제 16 기,2021.01.01 ~ 2021.12.31,"268,330,853,849",23,KRW
20240319000280,11011,2023,00913689,148150,CFS,연결재무제표,IS,손익계산서,영업이익,제 18 기,2023.01.01 ~ 2023.12.31,"36,183,441,126",제 17 기,2022.01.01 ~ 2022.12.31,"7,998,634,087",제 16 기,2021.01.01 ~ 2021.12.31,"17,351,344,523",25,KRW
20240319000280,11011,2023,00913689,148150,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 18 기,2023.01.01 ~ 2023.12.31,"33,915,636,565",제 17 기,2022.01.01 ~ 2022.12.31,"16,188,234,679",제 16 기,2021.01.01 ~ 2021.12.31,"26,482,968,062",27,KRW
20240319000280,11011,2023,00913689,148150,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 18 기,2023.01.01 ~ 2023.12.31,"34,025,032,690",제 17 기,2022.01.01 ~ 2022.12.31,"16,033,478,268",제 16 기,2021.01.01 ~ 2021.12.31,"24,122,437,241",63,KRW
20240319000280,11011,2023,00913689,148150,OFS,재무제표,BS,재무상태표,유동자산,제 18 기,2023.12.31 현재,"178,904,820,040",제 17 기,2022.12.31 현재,"120,352,190,988",제 16 기,2021.12.31 현재,"146,912,035,453",2,KRW
20240319000280,11011,2023,00913689,148150,OFS,재무제표,BS,재무상태표,비유동자산,제 18 기,2023.12.31 현재,"53,891,914,416",제 17 기,2022.12.31 현재,"49,308,084,593",제 16 기,2021.12.31 현재,"56,292,693,700",4,KRW
20240319000280,11011,2023,00913689,148150,OFS,재무제표,BS,재무상태표,자산총계,제 18 기,2023.12.31 현재,"232,796,734,456",제 17 기,2022.12.31 현재,"169,660,275,581",제 16 기,2021.12.31 현재,"203,204,729,153",6,KRW
20240319000280,11011,2023,00913689,148150,OFS,재무제표,BS,재무상태표,유동부채,제 18 기,2023.12.31 현재,"81,731,658,519",제 17 기,2022.12.31 현재,"18,871,139,131",제 16 기,2021.12.31 현재,"65,463,544,966",8,KRW
20240319000280,11011,2023,00913689,148150,OFS,재무제표,BS,재무상태표,비유동부채,제 18 기,2023.12.31 현재,"198,137,524",제 17 기,2022.12.31 현재,"1,993,153,759",제 16 기,2021.12.31 현재,"564,264,717",10,KRW
20240319000280,11011,2023,00913689,148150,OFS,재무제표,BS,재무상태표,부채총계,제 18 기,2023.12.31 현재,"81,929,796,043",제 17 기,2022.12.31 현재,"20,864,292,890",제 16 기,2021.12.31 현재,"66,027,809,683",12,KRW
20240319000280,11011,2023,00913689,148150,OFS,재무제표,BS,재무상태표,자본금,제 18 기,2023.12.31 현재,"17,676,421,500",제 17 기,2022.12.31 현재,"5,892,140,500",제 16 기,2021.12.31 현재,"5,892,140,500",15,KRW
20240319000280,11011,2023,00913689,148150,OFS,재무제표,BS,재무상태표,이익잉여금,제 18 기,2023.12.31 현재,"111,319,064,077",제 17 기,2022.12.31 현재,"109,197,583,855",제 16 기,2021.12.31 현재,"79,125,415,179",19,KRW
20240319000280,11011,2023,00913689,148150,OFS,재무제표,BS,재무상태표,자본총계,제 18 기,2023.12.31 현재,"150,866,938,413",제 17 기,2022.12.31 현재,"148,795,982,691",제 16 기,2021.12.31 현재,"137,176,919,470",22,KRW
20240319000280,11011,2023,00913689,148150,OFS,재무제표,IS,손익계산서,매출액,제 18 기,2023.01.01 ~ 2023.12.31,"52,169,423,545",제 17 기,2022.01.01 ~ 2022.12.31,"53,620,155,608",제 16 기,2021.01.01 ~ 2021.12.31,"69,117,211,233",24,KRW
20240319000280,11011,2023,00913689,148150,OFS,재무제표,IS,손익계산서,영업이익,제 18 기,2023.01.01 ~ 2023.12.31,"2,966,869,424",제 17 기,2022.01.01 ~ 2022.12.31,"1,634,415,563",제 16 기,2021.01.01 ~ 2021.12.31,"7,339,838,360",26,KRW
20240319000280,11011,2023,00913689,148150,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 18 기,2023.01.01 ~ 2023.12.31,"3,133,915,911",제 17 기,2022.01.01 ~ 2022.12.31,"11,810,815,915",제 16 기,2021.01.01 ~ 2021.12.31,"15,314,798,182",28,KRW
20240319000280,11011,2023,00913689,148150,OFS,재무제표,IS,손익계산서,당기순이익,제 18 기,2023.01.01 ~ 2023.12.31,"8,659,317,557",제 17 기,2022.01.01 ~ 2022.12.31,"12,614,241,066",제 16 기,2021.01.01 ~ 2021.12.31,"11,810,496,605",30,KRW
20240319000280,11011,2023,00913689,148150,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 18 기,2023.01.01 ~ 2023.12.31,"8,659,317,557",제 17 기,2022.01.01 ~ 2022.12.31,"12,614,241,066",제 16 기,2021.01.01 ~ 2021.12.31,"11,810,496,605",62,KRW
20240319000280,11011,2023,00913689,148150,OFS,재무제표,IS,손익계산서,총포괄손익,제 18 기,2023.01.01 ~ 2023.12.31,"8,957,766,326",제 17 기,2022.01.01 ~ 2022.12.31,"11,250,596,776",제 16 기,2021.01.01 ~ 2021.12.31,"10,611,773,330",64,KRW
