rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240314000749,11011,2023,00133812,004360,CFS,연결재무제표,BS,재무상태표,유동자산,제 59 기,2023.12.31 현재,"327,628,075,997",제 58 기,2022.12.31 현재,"351,597,176,858",제 57 기,2021.12.31 현재,"355,171,888,812",1,KRW
20240314000749,11011,2023,00133812,004360,CFS,연결재무제표,BS,재무상태표,비유동자산,제 59 기,2023.12.31 현재,"1,017,613,570,594",제 58 기,2022.12.31 현재,"929,376,609,742",제 57 기,2021.12.31 현재,"889,776,790,246",3,KRW
20240314000749,11011,2023,00133812,004360,CFS,연결재무제표,BS,재무상태표,자산총계,제 59 기,2023.12.31 현재,"1,345,241,646,591",제 58 기,2022.12.31 현재,"1,280,973,786,600",제 57 기,2021.12.31 현재,"1,244,948,679,058",5,KRW
20240314000749,11011,2023,00133812,004360,CFS,연결재무제표,BS,재무상태표,유동부채,제 59 기,2023.12.31 현재,"214,427,492,258",제 58 기,2022.12.31 현재,"214,731,007,148",제 57 기,2021.12.31 현재,"229,407,891,096",7,KRW
20240314000749,11011,2023,00133812,004360,CFS,연결재무제표,BS,재무상태표,비유동부채,제 59 기,2023.12.31 현재,"72,577,651,152",제 58 기,2022.12.31 현재,"62,764,000,111",제 57 기,2021.12.31 현재,"118,384,010,594",9,KRW
20240314000749,11011,2023,00133812,004360,CFS,연결재무제표,BS,재무상태표,부채총계,제 59 기,2023.12.31 현재,"287,005,143,410",제 58 기,2022.12.31 현재,"277,495,007,259",제 57 기,2021.12.31 현재,"347,791,901,690",11,KRW
20240314000749,11011,2023,00133812,004360,CFS,연결재무제표,BS,재무상태표,자본금,제 59 기,2023.12.31 현재,"11,498,970,000",제 58 기,2022.12.31 현재,"11,498,970,000",제 57 기,2021.12.31 현재,"11,498,970,000",13,KRW
20240314000749,11011,2023,00133812,004360,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 59 기,2023.12.31 현재,"877,352,777,429",제 58 기,2022.12.31 현재,"817,650,780,092",제 57 기,2021.12.31 현재,"713,220,502,156",17,KRW
20240314000749,11011,2023,00133812,004360,CFS,연결재무제표,BS,재무상태표,자본총계,제 59 기,2023.12.31 현재,"1,058,236,503,181",제 58 기,2022.12.31 현재,"1,003,478,779,341",제 57 기,2021.12.31 현재,"897,156,777,368",21,KRW
20240314000749,11011,2023,00133812,004360,CFS,연결재무제표,IS,손익계산서,매출액,제 59 기,2023.01.01 ~ 2023.12.31,"1,141,950,047,426",제 58 기,2022.01.01 ~ 2022.12.31,"1,290,350,585,813",제 57 기,2021.01.01 ~ 2021.12.31,"1,057,709,412,045",23,KRW
20240314000749,11011,2023,00133812,004360,CFS,연결재무제표,IS,손익계산서,영업이익,제 59 기,2023.01.01 ~ 2023.12.31,"28,656,237,456",제 58 기,2022.01.01 ~ 2022.12.31,"45,146,617,926",제 57 기,2021.01.01 ~ 2021.12.31,"29,158,209,219",25,KRW
20240314000749,11011,2023,00133812,004360,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 59 기,2023.01.01 ~ 2023.12.31,"82,035,491,188",제 58 기,2022.01.01 ~ 2022.12.31,"65,902,605,150",제 57 기,2021.01.01 ~ 2021.12.31,"72,077,145,627",27,KRW
20240314000749,11011,2023,00133812,004360,CFS,연결재무제표,IS,손익계산서,당기순이익,제 59 기,2023.01.01 ~ 2023.12.31,"69,963,792,685",제 58 기,2022.01.01 ~ 2022.12.31,"105,527,037,527",제 57 기,2021.01.01 ~ 2021.12.31,"52,433,874,833",29,KRW
20240314000749,11011,2023,00133812,004360,CFS,연결재무제표,BS,재무상태표,당기손익-공정가치측정금융자산,제 59 기,2023.12.31 현재,"31,754,818,904",제 58 기,2022.12.31 현재,"59,357,988,128",제 57 기,2021.12.31 현재,"57,164,496,146",35,KRW
20240314000749,11011,2023,00133812,004360,CFS,연결재무제표,BS,재무상태표,상각후원가측정금융자산,제 59 기,2023.12.31 현재,"56,490,000",제 58 기,2022.12.31 현재,"11,025,000",제 57 기,2021.12.31 현재,"82,245,000",39,KRW
20240314000749,11011,2023,00133812,004360,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 59 기,2023.01.01 ~ 2023.12.31,"69,963,792,685",제 58 기,2022.01.01 ~ 2022.12.31,"105,527,037,527",제 57 기,2021.01.01 ~ 2021.12.31,"52,433,874,833",61,KRW
20240314000749,11011,2023,00133812,004360,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 59 기,2023.01.01 ~ 2023.12.31,"58,815,992,341",제 58 기,2022.01.01 ~ 2022.12.31,"115,452,229,605",제 57 기,2021.01.01 ~ 2021.12.31,"54,239,576,943",63,KRW
20240314000749,11011,2023,00133812,004360,OFS,재무제표,BS,재무상태표,유동자산,제 59 기,2023.12.31 현재,"216,951,665,080",제 58 기,2022.12.31 현재,"242,578,433,221",제 57 기,2021.12.31 현재,"243,978,206,161",2,KRW
20240314000749,11011,2023,00133812,004360,OFS,재무제표,BS,재무상태표,비유동자산,제 59 기,2023.12.31 현재,"607,565,135,347",제 58 기,2022.12.31 현재,"575,665,719,165",제 57 기,2021.12.31 현재,"551,914,996,314",4,KRW
20240314000749,11011,2023,00133812,004360,OFS,재무제표,BS,재무상태표,자산총계,제 59 기,2023.12.31 현재,"824,516,800,427",제 58 기,2022.12.31 현재,"818,244,152,386",제 57 기,2021.12.31 현재,"795,893,202,475",6,KRW
20240314000749,11011,2023,00133812,004360,OFS,재무제표,BS,재무상태표,유동부채,제 59 기,2023.12.31 현재,"160,942,781,773",제 58 기,2022.12.31 현재,"167,762,582,559",제 57 기,2021.12.31 현재,"168,146,419,139",8,KRW
20240314000749,11011,2023,00133812,004360,OFS,재무제표,BS,재무상태표,비유동부채,제 59 기,2023.12.31 현재,"41,370,711,229",제 58 기,2022.12.31 현재,"44,524,976,946",제 57 기,2021.12.31 현재,"59,710,444,772",10,KRW
20240314000749,11011,2023,00133812,004360,OFS,재무제표,BS,재무상태표,부채총계,제 59 기,2023.12.31 현재,"202,313,493,002",제 58 기,2022.12.31 현재,"212,287,559,505",제 57 기,2021.12.31 현재,"227,856,863,911",12,KRW
20240314000749,11011,2023,00133812,004360,OFS,재무제표,BS,재무상태표,자본금,제 59 기,2023.12.31 현재,"11,498,970,000",제 58 기,2022.12.31 현재,"11,498,970,000",제 57 기,2021.12.31 현재,"11,498,970,000",15,KRW
20240314000749,11011,2023,00133812,004360,OFS,재무제표,BS,재무상태표,이익잉여금,제 59 기,2023.12.31 현재,"438,932,695,917",제 58 기,2022.12.31 현재,"421,622,631,763",제 57 기,2021.12.31 현재,"383,139,853,367",19,KRW
20240314000749,11011,2023,00133812,004360,OFS,재무제표,BS,재무상태표,자본총계,제 59 기,2023.12.31 현재,"622,203,307,425",제 58 기,2022.12.31 현재,"605,956,592,881",제 57 기,2021.12.31 현재,"568,036,338,564",22,KRW
20240314000749,11011,2023,00133812,004360,OFS,재무제표,IS,손익계산서,매출액,제 59 기,2023.01.01 ~ 2023.12.31,"735,835,413,981",제 58 기,2022.01.01 ~ 2022.12.31,"708,635,836,506",제 57 기,2021.01.01 ~ 2021.12.31,"620,992,573,147",24,KRW
20240314000749,11011,2023,00133812,004360,OFS,재무제표,IS,손익계산서,영업이익,제 59 기,2023.01.01 ~ 2023.12.31,"23,580,195,873",제 58 기,2022.01.01 ~ 2022.12.31,"24,543,012,104",제 57 기,2021.01.01 ~ 2021.12.31,"16,641,774,588",26,KRW
20240314000749,11011,2023,00133812,004360,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 59 기,2023.01.01 ~ 2023.12.31,"35,245,540,013",제 58 기,2022.01.01 ~ 2022.12.31,"35,564,998,607",제 57 기,2021.01.01 ~ 2021.12.31,"28,799,600,139",28,KRW
20240314000749,11011,2023,00133812,004360,OFS,재무제표,IS,손익계산서,당기순이익,제 59 기,2023.01.01 ~ 2023.12.31,"27,277,239,552",제 58 기,2022.01.01 ~ 2022.12.31,"39,359,122,595",제 57 기,2021.01.01 ~ 2021.12.31,"17,644,729,036",30,KRW
20240314000749,11011,2023,00133812,004360,OFS,재무제표,BS,재무상태표,상각후원가측정금융자산,제 59 기,2023.12.31 현재,"56,490,000",제 58 기,2022.12.31 현재,"11,025,000",제 57 기,2021.12.31 현재,"82,245,000",40,KRW
20240314000749,11011,2023,00133812,004360,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 59 기,2023.01.01 ~ 2023.12.31,"27,277,239,552",제 58 기,2022.01.01 ~ 2022.12.31,"39,359,122,595",제 57 기,2021.01.01 ~ 2021.12.31,"17,644,729,036",62,KRW
20240314000749,11011,2023,00133812,004360,OFS,재무제표,IS,손익계산서,총포괄손익,제 59 기,2023.01.01 ~ 2023.12.31,"20,039,858,045",제 58 기,2022.01.01 ~ 2022.12.31,"46,840,789,269",제 57 기,2021.01.01 ~ 2021.12.31,"20,214,512,342",64,KRW
