rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250321001465,11011,2024,01575361,267080,CFS,연결재무제표,BS,재무상태표,유동자산,제 14 기,2024.12.31 현재,"14,404,141,323",제 13 기,2023.12.31 현재,"8,864,152,501",제 12 기,2022.12.31 현재,"16,895,408,465",1,KRW
20250321001465,11011,2024,01575361,267080,CFS,연결재무제표,BS,재무상태표,비유동자산,제 14 기,2024.12.31 현재,"19,911,462,992",제 13 기,2023.12.31 현재,"34,020,902,070",제 12 기,2022.12.31 현재,"39,540,059,539",3,KRW
20250321001465,11011,2024,01575361,267080,CFS,연결재무제표,BS,재무상태표,자산총계,제 14 기,2024.12.31 현재,"34,315,604,315",제 13 기,2023.12.31 현재,"42,885,054,571",제 12 기,2022.12.31 현재,"56,435,468,004",5,KRW
20250321001465,11011,2024,01575361,267080,CFS,연결재무제표,BS,재무상태표,유동부채,제 14 기,2024.12.31 현재,"20,376,217,517",제 13 기,2023.12.31 현재,"11,464,123,035",제 12 기,2022.12.31 현재,"12,840,606,655",7,KRW
20250321001465,11011,2024,01575361,267080,CFS,연결재무제표,BS,재무상태표,비유동부채,제 14 기,2024.12.31 현재,"12,859,389,794",제 13 기,2023.12.31 현재,"12,930,257,020",제 12 기,2022.12.31 현재,"16,128,806,177",9,KRW
20250321001465,11011,2024,01575361,267080,CFS,연결재무제표,BS,재무상태표,부채총계,제 14 기,2024.12.31 현재,"33,235,607,311",제 13 기,2023.12.31 현재,"24,394,380,055",제 12 기,2022.12.31 현재,"28,969,412,832",11,KRW
20250321001465,11011,2024,01575361,267080,CFS,연결재무제표,BS,재무상태표,자본금,제 14 기,2024.12.31 현재,"5,935,704,000",제 13 기,2023.12.31 현재,"5,935,704,000",제 12 기,2022.12.31 현재,"5,935,704,000",13,KRW
20250321001465,11011,2024,01575361,267080,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 14 기,2024.12.31 현재,"-20,723,864,691",제 13 기,2023.12.31 현재,"-3,313,187,179",제 12 기,2022.12.31 현재,"5,662,193,477",17,KRW
20250321001465,11011,2024,01575361,267080,CFS,연결재무제표,BS,재무상태표,자본총계,제 14 기,2024.12.31 현재,"1,079,997,004",제 13 기,2023.12.31 현재,"18,490,674,516",제 12 기,2022.12.31 현재,"27,466,055,172",21,KRW
20250321001465,11011,2024,01575361,267080,CFS,연결재무제표,IS,손익계산서,매출액,제 14 기,2024.01.01 ~ 2024.12.31,"8,487,066,181",제 13 기,2023.01.01 ~ 2023.12.31,"12,399,818,269",제 12 기,2022.01.01 ~ 2022.12.31,"32,684,685,970",23,KRW
