rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240320001985,11011,2023,00268002,036630,CFS,연결재무제표,BS,재무상태표,유동자산,제 32 기,2023.12.31 현재,"333,300,859,416",제 31 기,2022.12.31 현재,"250,671,992,866",제 30 기,2021.12.31 현재,"342,400,427,925",1,KRW
20240320001985,11011,2023,00268002,036630,CFS,연결재무제표,BS,재무상태표,비유동자산,제 32 기,2023.12.31 현재,"187,074,222,142",제 31 기,2022.12.31 현재,"181,136,956,419",제 30 기,2021.12.31 현재,"173,559,337,071",3,KRW
20240320001985,11011,2023,00268002,036630,CFS,연결재무제표,BS,재무상태표,자산총계,제 32 기,2023.12.31 현재,"520,375,081,558",제 31 기,2022.12.31 현재,"431,808,949,285",제 30 기,2021.12.31 현재,"515,959,764,996",5,KRW
20240320001985,11011,2023,00268002,036630,CFS,연결재무제표,BS,재무상태표,유동부채,제 32 기,2023.12.31 현재,"169,669,385,090",제 31 기,2022.12.31 현재,"78,737,872,081",제 30 기,2021.12.31 현재,"90,488,802,703",7,KRW
20240320001985,11011,2023,00268002,036630,CFS,연결재무제표,BS,재무상태표,비유동부채,제 32 기,2023.12.31 현재,"30,354,420,775",제 31 기,2022.12.31 현재,"37,503,915,924",제 30 기,2021.12.31 현재,"39,747,834,267",9,KRW
20240320001985,11011,2023,00268002,036630,CFS,연결재무제표,BS,재무상태표,부채총계,제 32 기,2023.12.31 현재,"200,023,805,865",제 31 기,2022.12.31 현재,"116,241,788,005",제 30 기,2021.12.31 현재,"130,236,636,970",11,KRW
20240320001985,11011,2023,00268002,036630,CFS,연결재무제표,BS,재무상태표,자본금,제 32 기,2023.12.31 현재,"230,000,000,000",제 31 기,2022.12.31 현재,"280,000,000,000",제 30 기,2021.12.31 현재,"300,163,063,000",13,KRW
20240320001985,11011,2023,00268002,036630,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 32 기,2023.12.31 현재,"43,113,437,862",제 31 기,2022.12.31 현재,"315,362,698",제 30 기,2021.12.31 현재,"41,510,854,389",17,KRW
20240320001985,11011,2023,00268002,036630,CFS,연결재무제표,BS,재무상태표,자본총계,제 32 기,2023.12.31 현재,"320,351,275,693",제 31 기,2022.12.31 현재,"315,567,161,280",제 30 기,2021.12.31 현재,"385,723,128,026",21,KRW
20240320001985,11011,2023,00268002,036630,CFS,연결재무제표,IS,손익계산서,매출액,제 32 기,2023.01.01 ~ 2023.12.31,"339,300,781,424",제 31 기,2022.01.01 ~ 2022.12.31,"324,268,447,254",제 30 기,2021.01.01 ~ 2021.12.31,"295,682,604,822",23,KRW
20240320001985,11011,2023,00268002,036630,CFS,연결재무제표,IS,손익계산서,영업이익,제 32 기,2023.01.01 ~ 2023.12.31,"-3,114,263,444",제 31 기,2022.01.01 ~ 2022.12.31,"-5,481,772,508",제 30 기,2021.01.01 ~ 2021.12.31,"-7,533,739,468",25,KRW
20240320001985,11011,2023,00268002,036630,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 32 기,2023.01.01 ~ 2023.12.31,"43,984,476,648",제 31 기,2022.01.01 ~ 2022.12.31,"-36,811,807,562",제 30 기,2021.01.01 ~ 2021.12.31,"39,780,519,943",27,KRW
20240320001985,11011,2023,00268002,036630,CFS,연결재무제표,IS,손익계산서,당기순이익,제 32 기,2023.01.01 ~ 2023.12.31,"44,289,357,836",제 31 기,2022.01.01 ~ 2022.12.31,"-38,212,513,569",제 30 기,2021.01.01 ~ 2021.12.31,"32,415,147,722",29,KRW
20240320001985,11011,2023,00268002,036630,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 32 기,2023.01.01 ~ 2023.12.31,"44,289,357,836",제 31 기,2022.01.01 ~ 2022.12.31,"-38,212,513,569",제 30 기,2021.01.01 ~ 2021.12.31,"32,415,147,722",61,KRW
20240320001985,11011,2023,00268002,036630,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 32 기,2023.01.01 ~ 2023.12.31,"43,668,079,193",제 31 기,2022.01.01 ~ 2022.12.31,"-35,485,631,346",제 30 기,2021.01.01 ~ 2021.12.31,"32,353,301,675",63,KRW
20240320001985,11011,2023,00268002,036630,OFS,재무제표,BS,재무상태표,유동자산,제 32 기,2023.12.31 현재,"307,064,555,671",제 31 기,2022.12.31 현재,"224,373,248,165",제 30 기,2021.12.31 현재,"313,707,445,319",2,KRW
20240320001985,11011,2023,00268002,036630,OFS,재무제표,BS,재무상태표,비유동자산,제 32 기,2023.12.31 현재,"190,552,041,295",제 31 기,2022.12.31 현재,"190,406,120,155",제 30 기,2021.12.31 현재,"178,829,532,966",4,KRW
20240320001985,11011,2023,00268002,036630,OFS,재무제표,BS,재무상태표,자산총계,제 32 기,2023.12.31 현재,"497,616,596,966",제 31 기,2022.12.31 현재,"414,779,368,320",제 30 기,2021.12.31 현재,"492,536,978,285",6,KRW
20240320001985,11011,2023,00268002,036630,OFS,재무제표,BS,재무상태표,유동부채,제 32 기,2023.12.31 현재,"157,025,632,357",제 31 기,2022.12.31 현재,"72,386,974,462",제 30 기,2021.12.31 현재,"80,294,422,932",8,KRW
20240320001985,11011,2023,00268002,036630,OFS,재무제표,BS,재무상태표,비유동부채,제 32 기,2023.12.31 현재,"25,915,531,239",제 31 기,2022.12.31 현재,"31,792,986,298",제 30 기,2021.12.31 현재,"34,346,755,059",10,KRW
20240320001985,11011,2023,00268002,036630,OFS,재무제표,BS,재무상태표,부채총계,제 32 기,2023.12.31 현재,"182,941,163,596",제 31 기,2022.12.31 현재,"104,179,960,760",제 30 기,2021.12.31 현재,"114,641,177,991",12,KRW
20240320001985,11011,2023,00268002,036630,OFS,재무제표,BS,재무상태표,자본금,제 32 기,2023.12.31 현재,"230,000,000,000",제 31 기,2022.12.31 현재,"280,000,000,000",제 30 기,2021.12.31 현재,"300,163,063,000",15,KRW
20240320001985,11011,2023,00268002,036630,OFS,재무제표,BS,재무상태표,이익잉여금,제 32 기,2023.12.31 현재,"44,396,161,300",제 31 기,2022.12.31 현재,"1,593,551,333",제 30 기,2021.12.31 현재,"42,701,221,462",19,KRW
20240320001985,11011,2023,00268002,036630,OFS,재무제표,BS,재무상태표,자본총계,제 32 기,2023.12.31 현재,"314,675,433,370",제 31 기,2022.12.31 현재,"310,599,407,560",제 30 기,2021.12.31 현재,"377,895,800,294",22,KRW
20240320001985,11011,2023,00268002,036630,OFS,재무제표,IS,손익계산서,매출액,제 32 기,2023.01.01 ~ 2023.12.31,"235,871,486,377",제 31 기,2022.01.01 ~ 2022.12.31,"232,019,575,259",제 30 기,2021.01.01 ~ 2021.12.31,"226,203,200,914",24,KRW
20240320001985,11011,2023,00268002,036630,OFS,재무제표,IS,손익계산서,영업이익,제 32 기,2023.01.01 ~ 2023.12.31,"995,001,495",제 31 기,2022.01.01 ~ 2022.12.31,"-7,746,852,480",제 30 기,2021.01.01 ~ 2021.12.31,"-8,889,195,869",26,KRW
20240320001985,11011,2023,00268002,036630,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 32 기,2023.01.01 ~ 2023.12.31,"43,944,969,663",제 31 기,2022.01.01 ~ 2022.12.31,"-38,708,941,630",제 30 기,2021.01.01 ~ 2021.12.31,"36,468,427,435",28,KRW
20240320001985,11011,2023,00268002,036630,OFS,재무제표,IS,손익계산서,당기순이익,제 32 기,2023.01.01 ~ 2023.12.31,"43,450,551,869",제 31 기,2022.01.01 ~ 2022.12.31,"-38,905,186,287",제 30 기,2021.01.01 ~ 2021.12.31,"30,125,522,559",30,KRW
20240320001985,11011,2023,00268002,036630,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 32 기,2023.01.01 ~ 2023.12.31,"43,450,551,869",제 31 기,2022.01.01 ~ 2022.12.31,"-38,905,186,287",제 30 기,2021.01.01 ~ 2021.12.31,"30,125,522,559",62,KRW
20240320001985,11011,2023,00268002,036630,OFS,재무제표,IS,손익계산서,총포괄손익,제 32 기,2023.01.01 ~ 2023.12.31,"42,823,776,718",제 31 기,2022.01.01 ~ 2022.12.31,"-36,204,977,881",제 30 기,2021.01.01 ~ 2021.12.31,"29,979,874,606",64,KRW
