rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240318000913,11011,2023,00413046,068270,CFS,연결재무제표,BS,재무상태표,유동자산,제 33 기,2023.12.31 현재,"5,009,357,806,990",제 32 기,2022.12.31 현재,"2,929,792,463,759",제 31 기,2021.12.31 현재,"3,074,470,613,879",1,KRW
20240318000913,11011,2023,00413046,068270,CFS,연결재무제표,BS,재무상태표,비유동자산,제 33 기,2023.12.31 현재,"14,908,176,490,179",제 32 기,2022.12.31 현재,"2,961,859,847,492",제 31 기,2021.12.31 현재,"2,599,651,918,593",3,KRW
20240318000913,11011,2023,00413046,068270,CFS,연결재무제표,BS,재무상태표,자산총계,제 33 기,2023.12.31 현재,"19,917,534,297,169",제 32 기,2022.12.31 현재,"5,891,652,311,251",제 31 기,2021.12.31 현재,"5,674,122,532,472",5,KRW
20240318000913,11011,2023,00413046,068270,CFS,연결재무제표,BS,재무상태표,유동부채,제 33 기,2023.12.31 현재,"2,470,579,210,688",제 32 기,2022.12.31 현재,"1,294,097,736,489",제 31 기,2021.12.31 현재,"1,210,479,664,348",7,KRW
20240318000913,11011,2023,00413046,068270,CFS,연결재무제표,BS,재무상태표,비유동부채,제 33 기,2023.12.31 현재,"321,160,779,246",제 32 기,2022.12.31 현재,"323,350,304,973",제 31 기,2021.12.31 현재,"413,268,181,329",9,KRW
20240318000913,11011,2023,00413046,068270,CFS,연결재무제표,BS,재무상태표,부채총계,제 33 기,2023.12.31 현재,"2,791,739,989,934",제 32 기,2022.12.31 현재,"1,617,448,041,462",제 31 기,2021.12.31 현재,"1,623,747,845,677",11,KRW
20240318000913,11011,2023,00413046,068270,CFS,연결재무제표,BS,재무상태표,자본금,제 33 기,2023.12.31 현재,"220,290,520,000",제 32 기,2022.12.31 현재,"140,805,210,000",제 31 기,2021.12.31 현재,"137,947,128,000",13,KRW
20240318000913,11011,2023,00413046,068270,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 33 기,2023.12.31 현재,"3,963,573,529,273",제 32 기,2022.12.31 현재,"3,485,109,538,439",제 31 기,2021.12.31 현재,"3,052,474,447,456",17,KRW
20240318000913,11011,2023,00413046,068270,CFS,연결재무제표,BS,재무상태표,자본총계,제 33 기,2023.12.31 현재,"17,125,794,307,235",제 32 기,2022.12.31 현재,"4,274,204,269,789",제 31 기,2021.12.31 현재,"4,050,374,686,795",21,KRW
20240318000913,11011,2023,00413046,068270,CFS,연결재무제표,IS,손익계산서,매출액,제 33 기,2023.01.01 ~ 2023.12.31,"2,176,431,531,380",제 32 기,2022.01.01 ~ 2022.12.31,"2,283,967,480,394",제 31 기,2021.01.01 ~ 2021.12.31,"1,893,401,217,210",23,KRW
20240318000913,11011,2023,00413046,068270,CFS,연결재무제표,IS,손익계산서,영업이익,제 33 기,2023.01.01 ~ 2023.12.31,"651,481,422,157",제 32 기,2022.01.01 ~ 2022.12.31,"647,198,174,586",제 31 기,2021.01.01 ~ 2021.12.31,"744,176,850,301",25,KRW
20240318000913,11011,2023,00413046,068270,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 33 기,2023.01.01 ~ 2023.12.31,"671,095,784,999",제 32 기,2022.01.01 ~ 2022.12.31,"626,173,376,626",제 31 기,2021.01.01 ~ 2021.12.31,"738,623,430,512",27,KRW
20240318000913,11011,2023,00413046,068270,CFS,연결재무제표,IS,손익계산서,당기순이익,제 33 기,2023.01.01 ~ 2023.12.31,"539,706,505,110",제 32 기,2022.01.01 ~ 2022.12.31,"542,566,233,270",제 31 기,2021.01.01 ~ 2021.12.31,"595,779,438,812",29,KRW
20240318000913,11011,2023,00413046,068270,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 33 기,2023.01.01 ~ 2023.12.31,"539,706,505,110",제 32 기,2022.01.01 ~ 2022.12.31,"542,566,233,270",제 31 기,2021.01.01 ~ 2021.12.31,"595,779,438,812",61,KRW
20240318000913,11011,2023,00413046,068270,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 33 기,2023.01.01 ~ 2023.12.31,"543,509,259,177",제 32 기,2022.01.01 ~ 2022.12.31,"566,405,466,343",제 31 기,2021.01.01 ~ 2021.12.31,"614,978,047,044",63,KRW
20240318000913,11011,2023,00413046,068270,OFS,재무제표,BS,재무상태표,유동자산,제 33 기,2023.12.31 현재,"4,075,547,335,793",제 32 기,2022.12.31 현재,"2,580,534,103,661",제 31 기,2021.12.31 현재,"2,699,784,599,659",2,KRW
20240318000913,11011,2023,00413046,068270,OFS,재무제표,BS,재무상태표,비유동자산,제 33 기,2023.12.31 현재,"15,195,634,339,347",제 32 기,2022.12.31 현재,"2,990,949,026,273",제 31 기,2021.12.31 현재,"2,615,584,784,089",4,KRW
20240318000913,11011,2023,00413046,068270,OFS,재무제표,BS,재무상태표,자산총계,제 33 기,2023.12.31 현재,"19,271,181,675,140",제 32 기,2022.12.31 현재,"5,571,483,129,934",제 31 기,2021.12.31 현재,"5,315,369,383,748",6,KRW
20240318000913,11011,2023,00413046,068270,OFS,재무제표,BS,재무상태표,유동부채,제 33 기,2023.12.31 현재,"1,989,921,179,876",제 32 기,2022.12.31 현재,"1,105,339,629,955",제 31 기,2021.12.31 현재,"950,175,730,474",8,KRW
20240318000913,11011,2023,00413046,068270,OFS,재무제표,BS,재무상태표,비유동부채,제 33 기,2023.12.31 현재,"240,687,339,830",제 32 기,2022.12.31 현재,"296,194,697,401",제 31 기,2021.12.31 현재,"365,385,720,997",10,KRW
20240318000913,11011,2023,00413046,068270,OFS,재무제표,BS,재무상태표,부채총계,제 33 기,2023.12.31 현재,"2,230,608,519,706",제 32 기,2022.12.31 현재,"1,401,534,327,356",제 31 기,2021.12.31 현재,"1,315,561,451,471",12,KRW
20240318000913,11011,2023,00413046,068270,OFS,재무제표,BS,재무상태표,자본금,제 33 기,2023.12.31 현재,"220,290,520,000",제 32 기,2022.12.31 현재,"140,805,210,000",제 31 기,2021.12.31 현재,"137,947,128,000",15,KRW
20240318000913,11011,2023,00413046,068270,OFS,재무제표,BS,재무상태표,이익잉여금,제 33 기,2023.12.31 현재,"4,074,466,084,210",제 32 기,2022.12.31 현재,"3,568,381,977,030",제 31 기,2021.12.31 현재,"3,162,199,352,262",19,KRW
20240318000913,11011,2023,00413046,068270,OFS,재무제표,BS,재무상태표,자본총계,제 33 기,2023.12.31 현재,"17,040,573,155,434",제 32 기,2022.12.31 현재,"4,169,948,802,578",제 31 기,2021.12.31 현재,"3,999,807,932,277",22,KRW
20240318000913,11011,2023,00413046,068270,OFS,재무제표,IS,손익계산서,매출액,제 33 기,2023.01.01 ~ 2023.12.31,"1,873,430,064,117",제 32 기,2022.01.01 ~ 2022.12.31,"1,937,469,297,473",제 31 기,2021.01.01 ~ 2021.12.31,"1,615,839,889,808",24,KRW
20240318000913,11011,2023,00413046,068270,OFS,재무제표,IS,손익계산서,영업이익,제 33 기,2023.01.01 ~ 2023.12.31,"638,489,472,608",제 32 기,2022.01.01 ~ 2022.12.31,"618,890,773,445",제 31 기,2021.01.01 ~ 2021.12.31,"717,162,652,560",26,KRW
20240318000913,11011,2023,00413046,068270,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 33 기,2023.01.01 ~ 2023.12.31,"682,473,371,061",제 32 기,2022.01.01 ~ 2022.12.31,"606,389,938,494",제 31 기,2021.01.01 ~ 2021.12.31,"723,840,498,298",28,KRW
20240318000913,11011,2023,00413046,068270,OFS,재무제표,IS,손익계산서,당기순이익,제 33 기,2023.01.01 ~ 2023.12.31,"563,268,080,305",제 32 기,2022.01.01 ~ 2022.12.31,"511,383,102,268",제 31 기,2021.01.01 ~ 2021.12.31,"575,982,802,441",30,KRW
20240318000913,11011,2023,00413046,068270,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 33 기,2023.01.01 ~ 2023.12.31,"563,268,080,305",제 32 기,2022.01.01 ~ 2022.12.31,"511,383,102,268",제 31 기,2021.01.01 ~ 2021.12.31,"575,982,802,441",62,KRW
20240318000913,11011,2023,00413046,068270,OFS,재무제표,IS,손익계산서,총포괄손익,제 33 기,2023.01.01 ~ 2023.12.31,"560,897,774,501",제 32 기,2022.01.01 ~ 2022.12.31,"511,574,553,455",제 31 기,2021.01.01 ~ 2021.12.31,"567,905,498,771",64,KRW
