rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240318000823,11011,2023,00247975,036830,CFS,연결재무제표,BS,재무상태표,유동자산,제 35 기,2023.12.31 현재,"356,074,504,485",제 34 기,2022.12.31 현재,"349,057,791,497",제 33 기,2021.12.31 현재,"298,440,492,119",1,KRW
20240318000823,11011,2023,00247975,036830,CFS,연결재무제표,BS,재무상태표,비유동자산,제 35 기,2023.12.31 현재,"1,428,863,394,057",제 34 기,2022.12.31 현재,"1,340,223,275,677",제 33 기,2021.12.31 현재,"1,225,075,327,900",3,KRW
20240318000823,11011,2023,00247975,036830,CFS,연결재무제표,BS,재무상태표,자산총계,제 35 기,2023.12.31 현재,"1,784,937,898,542",제 34 기,2022.12.31 현재,"1,689,281,067,174",제 33 기,2021.12.31 현재,"1,523,515,820,019",5,KRW
20240318000823,11011,2023,00247975,036830,CFS,연결재무제표,BS,재무상태표,유동부채,제 35 기,2023.12.31 현재,"360,221,953,315",제 34 기,2022.12.31 현재,"301,572,152,117",제 33 기,2021.12.31 현재,"252,703,885,896",7,KRW
20240318000823,11011,2023,00247975,036830,CFS,연결재무제표,BS,재무상태표,비유동부채,제 35 기,2023.12.31 현재,"160,536,224,810",제 34 기,2022.12.31 현재,"205,924,208,829",제 33 기,2021.12.31 현재,"166,370,409,929",9,KRW
20240318000823,11011,2023,00247975,036830,CFS,연결재무제표,BS,재무상태표,부채총계,제 35 기,2023.12.31 현재,"520,758,178,125",제 34 기,2022.12.31 현재,"507,496,360,946",제 33 기,2021.12.31 현재,"419,074,295,825",11,KRW
20240318000823,11011,2023,00247975,036830,CFS,연결재무제표,BS,재무상태표,자본금,제 35 기,2023.12.31 현재,"10,482,028,000",제 34 기,2022.12.31 현재,"10,482,028,000",제 33 기,2021.12.31 현재,"10,482,028,000",13,KRW
20240318000823,11011,2023,00247975,036830,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 35 기,2023.12.31 현재,"2,315,321,471,408",제 34 기,2022.12.31 현재,"2,227,903,028,026",제 33 기,2021.12.31 현재,"2,166,703,315,670",17,KRW
20240318000823,11011,2023,00247975,036830,CFS,연결재무제표,BS,재무상태표,자본총계,제 35 기,2023.12.31 현재,"1,264,179,720,417",제 34 기,2022.12.31 현재,"1,181,784,706,228",제 33 기,2021.12.31 현재,"1,104,441,524,194",21,KRW
20240318000823,11011,2023,00247975,036830,CFS,연결재무제표,IS,손익계산서,매출액,제 35 기,2023.01.01 ~ 2023.12.31,"661,555,097,819",제 34 기,2022.01.01 ~ 2022.12.31,"565,106,276,036",제 33 기,2021.01.01 ~ 2021.12.31,"417,194,970,875",23,KRW
