rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240321000629,11011,2023,01012640,298830,CFS,연결재무제표,BS,재무상태표,유동자산,제 22 기,2023.12.31 현재,"71,101,644,254",제 21 기,2022.12.31 현재,"51,055,841,418",제 20 기,2021.12.31 현재,"43,647,602,321",1,KRW
20240321000629,11011,2023,01012640,298830,CFS,연결재무제표,BS,재무상태표,비유동자산,제 22 기,2023.12.31 현재,"87,037,279,220",제 21 기,2022.12.31 현재,"47,759,234,410",제 20 기,2021.12.31 현재,"30,598,460,320",3,KRW
20240321000629,11011,2023,01012640,298830,CFS,연결재무제표,BS,재무상태표,자산총계,제 22 기,2023.12.31 현재,"158,138,923,474",제 21 기,2022.12.31 현재,"98,815,075,828",제 20 기,2021.12.31 현재,"74,246,062,641",5,KRW
20240321000629,11011,2023,01012640,298830,CFS,연결재무제표,BS,재무상태표,유동부채,제 22 기,2023.12.31 현재,"46,899,003,110",제 21 기,2022.12.31 현재,"28,855,611,066",제 20 기,2021.12.31 현재,"15,824,481,570",7,KRW
20240321000629,11011,2023,01012640,298830,CFS,연결재무제표,BS,재무상태표,비유동부채,제 22 기,2023.12.31 현재,"15,259,328,110",제 21 기,2022.12.31 현재,"13,349,682,884",제 20 기,2021.12.31 현재,"13,041,529,086",9,KRW
20240321000629,11011,2023,01012640,298830,CFS,연결재무제표,BS,재무상태표,부채총계,제 22 기,2023.12.31 현재,"62,158,331,220",제 21 기,2022.12.31 현재,"42,205,293,950",제 20 기,2021.12.31 현재,"28,866,010,656",11,KRW
20240321000629,11011,2023,01012640,298830,CFS,연결재무제표,BS,재무상태표,자본금,제 22 기,2023.12.31 현재,"5,345,603,100",제 21 기,2022.12.31 현재,"5,008,443,500",제 20 기,2021.12.31 현재,"4,910,543,500",13,KRW
20240321000629,11011,2023,01012640,298830,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 22 기,2023.12.31 현재,"36,622,300,436",제 21 기,2022.12.31 현재,"31,563,809,923",제 20 기,2021.12.31 현재,"22,147,533,700",17,KRW
20240321000629,11011,2023,01012640,298830,CFS,연결재무제표,BS,재무상태표,자본총계,제 22 기,2023.12.31 현재,"95,980,592,254",제 21 기,2022.12.31 현재,"56,609,781,878",제 20 기,2021.12.31 현재,"45,380,051,985",21,KRW
20240321000629,11011,2023,01012640,298830,CFS,연결재무제표,IS,손익계산서,영업이익,제 22 기,2023.01.01 ~ 2023.12.31,"11,472,691,041",제 21 기,2022.01.01 ~ 2022.12.31,"9,667,508,619",제 20 기,2021.01.01 ~ 2021.12.31,"6,735,274,196",25,KRW
20240321000629,11011,2023,01012640,298830,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 22 기,2023.01.01 ~ 2023.12.31,"6,742,126,368",제 21 기,2022.01.01 ~ 2022.12.31,"10,432,541,920",제 20 기,2021.01.01 ~ 2021.12.31,"8,301,464,328",27,KRW
20240321000629,11011,2023,01012640,298830,CFS,연결재무제표,IS,손익계산서,당기순이익,제 22 기,2023.01.01 ~ 2023.12.31,"5,832,554,236",제 21 기,2022.01.01 ~ 2022.12.31,"9,457,183,900",제 20 기,2021.01.01 ~ 2021.12.31,"8,022,949,636",29,KRW
20240321000629,11011,2023,01012640,298830,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 22 기,2023.01.01 ~ 2023.12.31,"5,832,554,236",제 21 기,2022.01.01 ~ 2022.12.31,"9,457,183,900",제 20 기,2021.01.01 ~ 2021.12.31,"8,022,949,636",61,KRW
20240321000629,11011,2023,01012640,298830,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 22 기,2023.01.01 ~ 2023.12.31,"5,820,853,593",제 21 기,2022.01.01 ~ 2022.12.31,"9,422,417,893",제 20 기,2021.01.01 ~ 2021.12.31,"7,932,137,891",63,KRW
20240321000629,11011,2023,01012640,298830,OFS,재무제표,BS,재무상태표,유동자산,제 22 기,2023.12.31 현재,"52,678,198,678",제 21 기,2022.12.31 현재,"49,021,496,756",제 20 기,2021.12.31 현재,"41,885,551,307",2,KRW
20240321000629,11011,2023,01012640,298830,OFS,재무제표,BS,재무상태표,비유동자산,제 22 기,2023.12.31 현재,"78,866,175,681",제 21 기,2022.12.31 현재,"47,923,118,167",제 20 기,2021.12.31 현재,"30,673,543,468",4,KRW
20240321000629,11011,2023,01012640,298830,OFS,재무제표,BS,재무상태표,자산총계,제 22 기,2023.12.31 현재,"131,544,374,359",제 21 기,2022.12.31 현재,"96,944,614,923",제 20 기,2021.12.31 현재,"72,559,094,775",6,KRW
20240321000629,11011,2023,01012640,298830,OFS,재무제표,BS,재무상태표,유동부채,제 22 기,2023.12.31 현재,"38,544,959,157",제 21 기,2022.12.31 현재,"28,113,082,989",제 20 기,2021.12.31 현재,"14,736,673,334",8,KRW
20240321000629,11011,2023,01012640,298830,OFS,재무제표,BS,재무상태표,비유동부채,제 22 기,2023.12.31 현재,"13,267,688,091",제 21 기,2022.12.31 현재,"13,349,682,884",제 20 기,2021.12.31 현재,"13,033,782,107",10,KRW
20240321000629,11011,2023,01012640,298830,OFS,재무제표,BS,재무상태표,부채총계,제 22 기,2023.12.31 현재,"51,812,647,248",제 21 기,2022.12.31 현재,"41,462,765,873",제 20 기,2021.12.31 현재,"27,770,455,441",12,KRW
20240321000629,11011,2023,01012640,298830,OFS,재무제표,BS,재무상태표,자본금,제 22 기,2023.12.31 현재,"5,345,603,100",제 21 기,2022.12.31 현재,"5,008,443,500",제 20 기,2021.12.31 현재,"4,910,543,500",15,KRW
20240321000629,11011,2023,01012640,298830,OFS,재무제표,BS,재무상태표,이익잉여금,제 22 기,2023.12.31 현재,"34,269,525,569",제 21 기,2022.12.31 현재,"30,497,143,048",제 20 기,2021.12.31 현재,"21,642,645,333",19,KRW
