rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240321001568,11011,2023,00580056,099440,CFS,연결재무제표,BS,재무상태표,유동자산,제 28 기,2023.12.31 현재,"140,371,141,555",제 27 기,2022.12.31 현재,"119,549,114,810",제 26 기,2021.12.31 현재,"116,008,152,068",1,KRW
20240321001568,11011,2023,00580056,099440,CFS,연결재무제표,BS,재무상태표,비유동자산,제 28 기,2023.12.31 현재,"66,979,225,806",제 27 기,2022.12.31 현재,"74,029,714,770",제 26 기,2021.12.31 현재,"74,244,169,698",3,KRW
20240321001568,11011,2023,00580056,099440,CFS,연결재무제표,BS,재무상태표,자산총계,제 28 기,2023.12.31 현재,"207,350,367,361",제 27 기,2022.12.31 현재,"193,578,829,580",제 26 기,2021.12.31 현재,"190,252,321,766",5,KRW
20240321001568,11011,2023,00580056,099440,CFS,연결재무제표,BS,재무상태표,유동부채,제 28 기,2023.12.31 현재,"92,532,574,080",제 27 기,2022.12.31 현재,"109,019,778,857",제 26 기,2021.12.31 현재,"118,106,962,192",7,KRW
20240321001568,11011,2023,00580056,099440,CFS,연결재무제표,BS,재무상태표,비유동부채,제 28 기,2023.12.31 현재,"8,010,281,952",제 27 기,2022.12.31 현재,"9,744,479,681",제 26 기,2021.12.31 현재,"13,689,045,455",9,KRW
20240321001568,11011,2023,00580056,099440,CFS,연결재무제표,BS,재무상태표,부채총계,제 28 기,2023.12.31 현재,"100,542,856,032",제 27 기,2022.12.31 현재,"118,764,258,538",제 26 기,2021.12.31 현재,"131,796,007,647",11,KRW
20240321001568,11011,2023,00580056,099440,CFS,연결재무제표,BS,재무상태표,자본금,제 28 기,2023.12.31 현재,"20,121,697,000",제 27 기,2022.12.31 현재,"16,779,916,000",제 26 기,2021.12.31 현재,"15,367,304,500",13,KRW
20240321001568,11011,2023,00580056,099440,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 28 기,2023.12.31 현재,"-17,506,100,479",제 27 기,2022.12.31 현재,"-33,905,583,102",제 26 기,2021.12.31 현재,"-43,824,686,913",17,KRW
20240321001568,11011,2023,00580056,099440,CFS,연결재무제표,BS,재무상태표,자본총계,제 28 기,2023.12.31 현재,"106,807,511,329",제 27 기,2022.12.31 현재,"74,814,571,042",제 26 기,2021.12.31 현재,"58,456,314,119",21,KRW
20240321001568,11011,2023,00580056,099440,CFS,연결재무제표,IS,손익계산서,매출액,제 28 기,2023.01.01 ~ 2023.12.31,"176,628,631,520",제 27 기,2022.01.01 ~ 2022.12.31,"159,473,204,075",제 26 기,2021.01.01 ~ 2021.12.31,"128,499,940,215",23,KRW
20240321001568,11011,2023,00580056,099440,CFS,연결재무제표,IS,손익계산서,영업이익,제 28 기,2023.01.01 ~ 2023.12.31,"22,035,848,534",제 27 기,2022.01.01 ~ 2022.12.31,"11,745,651,889",제 26 기,2021.01.01 ~ 2021.12.31,"-10,990,413,438",25,KRW
20240321001568,11011,2023,00580056,099440,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 28 기,2023.01.01 ~ 2023.12.31,"17,480,681,754",제 27 기,2022.01.01 ~ 2022.12.31,"10,485,520,278",제 26 기,2021.01.01 ~ 2021.12.31,"-16,295,348,328",27,KRW
