rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250320001446,11011,2024,01290248,276040,CFS,연결재무제표,BS,재무상태표,유동자산,제 24 기,2024.12.31 현재,"17,820,838,641",제 23 기,2023.12.31 현재,"23,936,890,348",제 22 기,2022.12.31 현재,"27,981,234,963",1,KRW
20250320001446,11011,2024,01290248,276040,CFS,연결재무제표,BS,재무상태표,비유동자산,제 24 기,2024.12.31 현재,"1,716,207,446",제 23 기,2023.12.31 현재,"1,859,075,474",제 22 기,2022.12.31 현재,"1,742,578,243",3,KRW
20250320001446,11011,2024,01290248,276040,CFS,연결재무제표,BS,재무상태표,자산총계,제 24 기,2024.12.31 현재,"19,537,046,087",제 23 기,2023.12.31 현재,"25,795,965,822",제 22 기,2022.12.31 현재,"29,723,813,206",5,KRW
20250320001446,11011,2024,01290248,276040,CFS,연결재무제표,BS,재무상태표,유동부채,제 24 기,2024.12.31 현재,"1,858,536,863",제 23 기,2023.12.31 현재,"2,684,498,216",제 22 기,2022.12.31 현재,"3,771,855,091",7,KRW
20250320001446,11011,2024,01290248,276040,CFS,연결재무제표,BS,재무상태표,비유동부채,제 24 기,2024.12.31 현재,"292,126,574",제 23 기,2023.12.31 현재,"315,659,452",제 22 기,2022.12.31 현재,"470,704,231",9,KRW
20250320001446,11011,2024,01290248,276040,CFS,연결재무제표,BS,재무상태표,부채총계,제 24 기,2024.12.31 현재,"2,150,663,437",제 23 기,2023.12.31 현재,"3,000,157,668",제 22 기,2022.12.31 현재,"4,242,559,322",11,KRW
20250320001446,11011,2024,01290248,276040,CFS,연결재무제표,BS,재무상태표,자본금,제 24 기,2024.12.31 현재,"6,277,237,000",제 23 기,2023.12.31 현재,"6,277,237,000",제 22 기,2022.12.31 현재,"6,180,412,000",13,KRW
20250320001446,11011,2024,01290248,276040,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 24 기,2024.12.31 현재,"-58,532,766,713",제 23 기,2023.12.31 현재,"-51,886,673,873",제 22 기,2022.12.31 현재,"-46,635,745,108",17,KRW
20250320001446,11011,2024,01290248,276040,CFS,연결재무제표,BS,재무상태표,자본총계,제 24 기,2024.12.31 현재,"17,386,382,650",제 23 기,2023.12.31 현재,"22,795,808,154",제 22 기,2022.12.31 현재,"25,481,253,884",21,KRW
20250320001446,11011,2024,01290248,276040,CFS,연결재무제표,IS,손익계산서,영업이익,제 24 기,2024.01.01 ~ 2024.12.31,"-7,461,334,251",제 23 기,2023.01.01 ~ 2023.12.31,"-5,947,587,271",제 22 기,2022.01.01 ~ 2022.12.31,"-4,479,194,601",25,KRW
20250320001446,11011,2024,01290248,276040,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 24 기,2024.01.01 ~ 2024.12.31,"-6,688,129,415",제 23 기,2023.01.01 ~ 2023.12.31,"-5,143,542,607",제 22 기,2022.01.01 ~ 2022.12.31,"-4,293,384,019",27,KRW
20250320001446,11011,2024,01290248,276040,CFS,연결재무제표,IS,손익계산서,당기순이익,제 24 기,2024.01.01 ~ 2024.12.31,"-6,646,092,840",제 23 기,2023.01.01 ~ 2023.12.31,"-5,250,928,765",제 22 기,2022.01.01 ~ 2022.12.31,"-4,448,448,680",29,KRW
20250320001446,11011,2024,01290248,276040,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 24 기,2024.01.01 ~ 2024.12.31,"-6,646,092,840",제 23 기,2023.01.01 ~ 2023.12.31,"-5,250,928,765",제 22 기,2022.01.01 ~ 2022.12.31,"-4,448,448,680",61,KRW
20250320001446,11011,2024,01290248,276040,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 24 기,2024.01.01 ~ 2024.12.31,"-6,655,161,336",제 23 기,2023.01.01 ~ 2023.12.31,"-5,244,672,235",제 22 기,2022.01.01 ~ 2022.12.31,"-4,453,523,661",63,KRW
20250320001446,11011,2024,01290248,276040,OFS,재무제표,BS,재무상태표,유동자산,제 24 기,2024.12.31 현재,"17,811,517,535",제 23 기,2023.12.31 현재,"23,905,481,379",제 22 기,2022.12.31 현재,"28,020,224,444",2,KRW
20250320001446,11011,2024,01290248,276040,OFS,재무제표,BS,재무상태표,비유동자산,제 24 기,2024.12.31 현재,"1,711,533,683",제 23 기,2023.12.31 현재,"1,818,556,238",제 22 기,2022.12.31 현재,"1,661,416,132",4,KRW
20250320001446,11011,2024,01290248,276040,OFS,재무제표,BS,재무상태표,자산총계,제 24 기,2024.12.31 현재,"19,523,051,218",제 23 기,2023.12.31 현재,"25,724,037,617",제 22 기,2022.12.31 현재,"29,681,640,576",6,KRW
20250320001446,11011,2024,01290248,276040,OFS,재무제표,BS,재무상태표,유동부채,제 24 기,2024.12.31 현재,"1,840,951,319",제 23 기,2023.12.31 현재,"2,483,503,280",제 22 기,2022.12.31 현재,"3,660,951,730",8,KRW
20250320001446,11011,2024,01290248,276040,OFS,재무제표,BS,재무상태표,비유동부채,제 24 기,2024.12.31 현재,"292,126,574",제 23 기,2023.12.31 현재,"314,784,165",제 22 기,2022.12.31 현재,"465,251,740",10,KRW
20250320001446,11011,2024,01290248,276040,OFS,재무제표,BS,재무상태표,부채총계,제 24 기,2024.12.31 현재,"2,133,077,893",제 23 기,2023.12.31 현재,"2,798,287,445",제 22 기,2022.12.31 현재,"4,126,203,470",12,KRW
20250320001446,11011,2024,01290248,276040,OFS,재무제표,BS,재무상태표,자본금,제 24 기,2024.12.31 현재,"6,277,237,000",제 23 기,2023.12.31 현재,"6,277,237,000",제 22 기,2022.12.31 현재,"6,180,412,000",15,KRW
20250320001446,11011,2024,01290248,276040,OFS,재무제표,BS,재무상태표,이익잉여금,제 24 기,2024.12.31 현재,"-58,524,109,275",제 23 기,2023.12.31 현재,"-51,742,596,596",제 22 기,2022.12.31 현재,"-46,553,683,157",19,KRW
20250320001446,11011,2024,01290248,276040,OFS,재무제표,BS,재무상태표,자본총계,제 24 기,2024.12.31 현재,"17,389,973,325",제 23 기,2023.12.31 현재,"22,925,750,172",제 22 기,2022.12.31 현재,"25,555,437,106",22,KRW
20250320001446,11011,2024,01290248,276040,OFS,재무제표,IS,손익계산서,영업이익,제 24 기,2024.01.01 ~ 2024.12.31,"-7,428,644,852",제 23 기,2023.01.01 ~ 2023.12.31,"-5,913,046,618",제 22 기,2022.01.01 ~ 2022.12.31,"-4,392,143,045",26,KRW
20250320001446,11011,2024,01290248,276040,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 24 기,2024.01.01 ~ 2024.12.31,"-6,781,512,679",제 23 기,2023.01.01 ~ 2023.12.31,"-5,188,913,439",제 22 기,2022.01.01 ~ 2022.12.31,"-4,314,987,509",28,KRW
20250320001446,11011,2024,01290248,276040,OFS,재무제표,IS,손익계산서,당기순이익,제 24 기,2024.01.01 ~ 2024.12.31,"-6,781,512,679",제 23 기,2023.01.01 ~ 2023.12.31,"-5,188,913,439",제 22 기,2022.01.01 ~ 2022.12.31,"-4,314,987,509",30,KRW
20250320001446,11011,2024,01290248,276040,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 24 기,2024.01.01 ~ 2024.12.31,"-6,781,512,679",제 23 기,2023.01.01 ~ 2023.12.31,"-5,188,913,439",제 22 기,2022.01.01 ~ 2022.12.31,"-4,314,987,509",62,KRW
20250320001446,11011,2024,01290248,276040,OFS,재무제표,IS,손익계산서,총포괄손익,제 24 기,2024.01.01 ~ 2024.12.31,"-6,781,512,679",제 23 기,2023.01.01 ~ 2023.12.31,"-5,188,913,439",제 22 기,2022.01.01 ~ 2022.12.31,"-4,314,987,509",64,KRW
