rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20230407003525,11011,2022,01046203,204630,CFS,연결재무제표,BS,재무상태표,유동자산,제 9 기,2022.12.31 현재,"62,335,729,009",제 8 기,2021.12.31 현재,"48,557,443,258",제 7 기,2020.12.31 현재,"25,810,425,894",1,KRW
20230407003525,11011,2022,01046203,204630,CFS,연결재무제표,BS,재무상태표,비유동자산,제 9 기,2022.12.31 현재,"57,978,155,897",제 8 기,2021.12.31 현재,"65,668,000,962",제 7 기,2020.12.31 현재,"36,223,330,382",3,KRW
20230407003525,11011,2022,01046203,204630,CFS,연결재무제표,BS,재무상태표,자산총계,제 9 기,2022.12.31 현재,"120,313,884,906",제 8 기,2021.12.31 현재,"114,225,444,220",제 7 기,2020.12.31 현재,"62,033,756,276",5,KRW
20230407003525,11011,2022,01046203,204630,CFS,연결재무제표,BS,재무상태표,유동부채,제 9 기,2022.12.31 현재,"53,810,291,512",제 8 기,2021.12.31 현재,"54,689,673,743",제 7 기,2020.12.31 현재,"29,154,307,213",7,KRW
20230407003525,11011,2022,01046203,204630,CFS,연결재무제표,BS,재무상태표,비유동부채,제 9 기,2022.12.31 현재,"820,891,846",제 8 기,2021.12.31 현재,"1,394,838,302",제 7 기,2020.12.31 현재,"475,619,744",9,KRW
20230407003525,11011,2022,01046203,204630,CFS,연결재무제표,BS,재무상태표,부채총계,제 9 기,2022.12.31 현재,"54,631,183,358",제 8 기,2021.12.31 현재,"56,084,512,045",제 7 기,2020.12.31 현재,"29,629,926,957",11,KRW
20230407003525,11011,2022,01046203,204630,CFS,연결재무제표,BS,재무상태표,자본금,제 9 기,2022.12.31 현재,"32,527,344,000",제 8 기,2021.12.31 현재,"3,720,865,500",제 7 기,2020.12.31 현재,"2,945,385,500",13,KRW
20230407003525,11011,2022,01046203,204630,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 9 기,2022.12.31 현재,"-47,594,170,025",제 8 기,2021.12.31 현재,"-14,870,332,922",제 7 기,2020.12.31 현재,"-22,606,272,236",17,KRW
20230407003525,11011,2022,01046203,204630,CFS,연결재무제표,BS,재무상태표,자본총계,제 9 기,2022.12.31 현재,"65,682,701,548",제 8 기,2021.12.31 현재,"58,140,932,175",제 7 기,2020.12.31 현재,"32,403,829,319",21,KRW
20230407003525,11011,2022,01046203,204630,CFS,연결재무제표,IS,손익계산서,매출액,제 9 기,2022.01.01 ~ 2022.12.31,"18,481,103,877",제 8 기,2021.01.01 ~ 2021.12.31,"34,525,693,061",제 7 기,2020.01.01 ~ 2020.12.31,"14,962,003,987",23,KRW
20230407003525,11011,2022,01046203,204630,CFS,연결재무제표,IS,손익계산서,영업이익,제 9 기,2022.01.01 ~ 2022.12.31,"-3,949,483,310",제 8 기,2021.01.01 ~ 2021.12.31,"-1,039,406,226",제 7 기,2020.01.01 ~ 2020.12.31,"-4,702,417,450",25,KRW
20230407003525,11011,2022,01046203,204630,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 9 기,2022.01.01 ~ 2022.12.31,"-32,926,781,543",제 8 기,2021.01.01 ~ 2021.12.31,"7,674,015,888",제 7 기,2020.01.01 ~ 2020.12.31,"-5,431,263,974",27,KRW
20230407003525,11011,2022,01046203,204630,CFS,연결재무제표,IS,손익계산서,당기순이익,제 9 기,2022.01.01 ~ 2022.12.31,"-32,951,620,305",제 8 기,2021.01.01 ~ 2021.12.31,"7,833,589,878",제 7 기,2020.01.01 ~ 2020.12.31,"-10,561,290,992",29,KRW
20230407003525,11011,2022,01046203,204630,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 9 기,2022.01.01 ~ 2022.12.31,"-32,951,620,305",제 8 기,2021.01.01 ~ 2021.12.31,"7,833,589,878",제 7 기,2020.01.01 ~ 2020.12.31,"-10,561,290,992",61,KRW
20230407003525,11011,2022,01046203,204630,OFS,재무제표,BS,재무상태표,유동자산,제 9 기,2022.12.31 현재,"10,681,420,403",제 8 기,2021.12.31 현재,"32,224,565,284",제 7 기,2020.12.31 현재,"25,021,503,036",2,KRW
20230407003525,11011,2022,01046203,204630,OFS,재무제표,BS,재무상태표,비유동자산,제 9 기,2022.12.31 현재,"80,736,003,516",제 8 기,2021.12.31 현재,"82,293,543,334",제 7 기,2020.12.31 현재,"35,089,833,130",4,KRW
20230407003525,11011,2022,01046203,204630,OFS,재무제표,BS,재무상태표,자산총계,제 9 기,2022.12.31 현재,"91,417,423,919",제 8 기,2021.12.31 현재,"114,518,108,618",제 7 기,2020.12.31 현재,"60,111,336,166",6,KRW
20230407003525,11011,2022,01046203,204630,OFS,재무제표,BS,재무상태표,유동부채,제 9 기,2022.12.31 현재,"25,733,601,046",제 8 기,2021.12.31 현재,"54,596,761,068",제 7 기,2020.12.31 현재,"27,578,112,468",8,KRW
20230407003525,11011,2022,01046203,204630,OFS,재무제표,BS,재무상태표,비유동부채,제 9 기,2022.12.31 현재,"820,891,846",제 8 기,2021.12.31 현재,"1,394,838,302",제 7 기,2020.12.31 현재,"475,619,744",10,KRW
20230407003525,11011,2022,01046203,204630,OFS,재무제표,BS,재무상태표,부채총계,제 9 기,2022.12.31 현재,"26,554,492,892",제 8 기,2021.12.31 현재,"55,991,599,370",제 7 기,2020.12.31 현재,"28,053,732,212",12,KRW
20230407003525,11011,2022,01046203,204630,OFS,재무제표,BS,재무상태표,자본금,제 9 기,2022.12.31 현재,"32,527,344,000",제 8 기,2021.12.31 현재,"3,720,865,500",제 7 기,2020.12.31 현재,"2,945,385,500",15,KRW
