rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250328002312,11011,2024,00852087,134790,CFS,연결재무제표,BS,재무상태표,유동자산,제 15 기,2024.12.31 현재,"47,828,561,741",제 14 기,2023.12.31 현재,"54,172,962,985",제 13 기,2022.12.31 현재,"47,454,536,884",1,KRW
20250328002312,11011,2024,00852087,134790,CFS,연결재무제표,BS,재무상태표,비유동자산,제 15 기,2024.12.31 현재,"50,774,695,088",제 14 기,2023.12.31 현재,"40,906,331,669",제 13 기,2022.12.31 현재,"37,608,483,257",3,KRW
20250328002312,11011,2024,00852087,134790,CFS,연결재무제표,BS,재무상태표,자산총계,제 15 기,2024.12.31 현재,"98,603,256,829",제 14 기,2023.12.31 현재,"95,079,294,654",제 13 기,2022.12.31 현재,"85,063,020,141",5,KRW
20250328002312,11011,2024,00852087,134790,CFS,연결재무제표,BS,재무상태표,유동부채,제 15 기,2024.12.31 현재,"26,256,023,106",제 14 기,2023.12.31 현재,"27,061,618,955",제 13 기,2022.12.31 현재,"19,567,682,588",7,KRW
20250328002312,11011,2024,00852087,134790,CFS,연결재무제표,BS,재무상태표,비유동부채,제 15 기,2024.12.31 현재,"6,832,239,991",제 14 기,2023.12.31 현재,"3,231,687,727",제 13 기,2022.12.31 현재,"2,067,990,857",9,KRW
20250328002312,11011,2024,00852087,134790,CFS,연결재무제표,BS,재무상태표,부채총계,제 15 기,2024.12.31 현재,"33,088,263,097",제 14 기,2023.12.31 현재,"30,293,306,682",제 13 기,2022.12.31 현재,"21,635,673,445",11,KRW
20250328002312,11011,2024,00852087,134790,CFS,연결재무제표,BS,재무상태표,자본금,제 15 기,2024.12.31 현재,"1,000,000,000",제 14 기,2023.12.31 현재,"1,000,000,000",제 13 기,2022.12.31 현재,"1,000,000,000",13,KRW
20250328002312,11011,2024,00852087,134790,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 15 기,2024.12.31 현재,"47,568,265,583",제 14 기,2023.12.31 현재,"47,319,527,798",제 13 기,2022.12.31 현재,"46,034,114,428",17,KRW
20250328002312,11011,2024,00852087,134790,CFS,연결재무제표,BS,재무상태표,자본총계,제 15 기,2024.12.31 현재,"65,514,993,732",제 14 기,2023.12.31 현재,"64,785,987,972",제 13 기,2022.12.31 현재,"63,427,346,696",21,KRW
20250328002312,11011,2024,00852087,134790,CFS,연결재무제표,IS,손익계산서,매출액,제 15 기,2024.01.01 ~ 2024.12.31,"208,408,238,360",제 14 기,2023.01.01 ~ 2023.12.31,"200,135,778,002",제 13 기,2022.01.01 ~ 2022.12.31,"243,320,658,371",23,KRW
20250328002312,11011,2024,00852087,134790,CFS,연결재무제표,IS,손익계산서,영업이익,제 15 기,2024.01.01 ~ 2024.12.31,"-3,363,725,188",제 14 기,2023.01.01 ~ 2023.12.31,"-1,927,437,377",제 13 기,2022.01.01 ~ 2022.12.31,"40,885,780",25,KRW
20250328002312,11011,2024,00852087,134790,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 15 기,2024.01.01 ~ 2024.12.31,"774,194,202",제 14 기,2023.01.01 ~ 2023.12.31,"2,451,027,260",제 13 기,2022.01.01 ~ 2022.12.31,"3,102,893,525",27,KRW
20250328002312,11011,2024,00852087,134790,CFS,연결재무제표,IS,손익계산서,당기순이익,제 15 기,2024.01.01 ~ 2024.12.31,"908,215,204",제 14 기,2023.01.01 ~ 2023.12.31,"2,443,800,601",제 13 기,2022.01.01 ~ 2022.12.31,"2,544,939,298",29,KRW
20250328002312,11011,2024,00852087,134790,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 15 기,2024.01.01 ~ 2024.12.31,"908,215,204",제 14 기,2023.01.01 ~ 2023.12.31,"2,443,800,601",제 13 기,2022.01.01 ~ 2022.12.31,"2,544,939,298",61,KRW
20250328002312,11011,2024,00852087,134790,OFS,재무제표,BS,재무상태표,유동자산,제 15 기,2024.12.31 현재,"44,434,205,900",제 14 기,2023.12.31 현재,"50,213,561,814",제 13 기,2022.12.31 현재,"43,369,032,915",2,KRW
20250328002312,11011,2024,00852087,134790,OFS,재무제표,BS,재무상태표,비유동자산,제 15 기,2024.12.31 현재,"54,486,719,318",제 14 기,2023.12.31 현재,"44,626,539,318",제 13 기,2022.12.31 현재,"41,308,062,940",4,KRW
20250328002312,11011,2024,00852087,134790,OFS,재무제표,BS,재무상태표,자산총계,제 15 기,2024.12.31 현재,"98,920,925,218",제 14 기,2023.12.31 현재,"94,840,101,132",제 13 기,2022.12.31 현재,"84,677,095,855",6,KRW
20250328002312,11011,2024,00852087,134790,OFS,재무제표,BS,재무상태표,유동부채,제 15 기,2024.12.31 현재,"26,140,318,863",제 14 기,2023.12.31 현재,"26,915,551,545",제 13 기,2022.12.31 현재,"19,343,542,148",8,KRW
20250328002312,11011,2024,00852087,134790,OFS,재무제표,BS,재무상태표,비유동부채,제 15 기,2024.12.31 현재,"6,832,239,991",제 14 기,2023.12.31 현재,"3,224,142,158",제 13 기,2022.12.31 현재,"2,083,327,939",10,KRW
20250328002312,11011,2024,00852087,134790,OFS,재무제표,BS,재무상태표,부채총계,제 15 기,2024.12.31 현재,"32,972,558,854",제 14 기,2023.12.31 현재,"30,139,693,703",제 13 기,2022.12.31 현재,"21,426,870,087",12,KRW
20250328002312,11011,2024,00852087,134790,OFS,재무제표,BS,재무상태표,자본금,제 15 기,2024.12.31 현재,"1,000,000,000",제 14 기,2023.12.31 현재,"1,000,000,000",제 13 기,2022.12.31 현재,"1,000,000,000",15,KRW
20250328002312,11011,2024,00852087,134790,OFS,재무제표,BS,재무상태표,이익잉여금,제 15 기,2024.12.31 현재,"48,518,453,001",제 14 기,2023.12.31 현재,"47,270,494,066",제 13 기,2022.12.31 현재,"45,820,312,405",19,KRW
20250328002312,11011,2024,00852087,134790,OFS,재무제표,BS,재무상태표,자본총계,제 15 기,2024.12.31 현재,"65,948,366,364",제 14 기,2023.12.31 현재,"64,700,407,429",제 13 기,2022.12.31 현재,"63,250,225,768",22,KRW
20250328002312,11011,2024,00852087,134790,OFS,재무제표,IS,손익계산서,매출액,제 15 기,2024.01.01 ~ 2024.12.31,"206,628,905,285",제 14 기,2023.01.01 ~ 2023.12.31,"197,957,267,766",제 13 기,2022.01.01 ~ 2022.12.31,"241,730,925,019",24,KRW
