rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250623000339,11011,2024,00217947,034300,CFS,연결재무제표,BS,재무상태표,유동자산,제 34 기,2024.12.31 현재,"1,563,140,847,116",제 33 기,2023.12.31 현재,"663,932,525,857",제 32 기,2022.12.31 현재,"482,600,874,552",1,KRW
20250623000339,11011,2024,00217947,034300,CFS,연결재무제표,BS,재무상태표,비유동자산,제 34 기,2024.12.31 현재,"167,265,847,277",제 33 기,2023.12.31 현재,"595,476,735,682",제 32 기,2022.12.31 현재,"549,286,539,781",3,KRW
20250623000339,11011,2024,00217947,034300,CFS,연결재무제표,BS,재무상태표,자산총계,제 34 기,2024.12.31 현재,"1,730,406,694,393",제 33 기,2023.12.31 현재,"1,259,409,261,539",제 32 기,2022.12.31 현재,"1,031,887,414,333",5,KRW
20250623000339,11011,2024,00217947,034300,CFS,연결재무제표,BS,재무상태표,유동부채,제 34 기,2024.12.31 현재,"743,018,739,097",제 33 기,2023.12.31 현재,"911,659,504,453",제 32 기,2022.12.31 현재,"680,580,987,752",7,KRW
20250623000339,11011,2024,00217947,034300,CFS,연결재무제표,BS,재무상태표,비유동부채,제 34 기,2024.12.31 현재,"428,284,103,228",제 33 기,2023.12.31 현재,"230,102,014,537",제 32 기,2022.12.31 현재,"71,310,791,516",9,KRW
20250623000339,11011,2024,00217947,034300,CFS,연결재무제표,BS,재무상태표,부채총계,제 34 기,2024.12.31 현재,"1,171,302,842,325",제 33 기,2023.12.31 현재,"1,141,761,518,990",제 32 기,2022.12.31 현재,"751,891,779,268",11,KRW
20250623000339,11011,2024,00217947,034300,CFS,연결재무제표,BS,재무상태표,자본금,제 34 기,2024.12.31 현재,"38,802,770,000",제 33 기,2023.12.31 현재,"20,000,000,000",제 32 기,2022.12.31 현재,"20,000,000,000",13,KRW
20250623000339,11011,2024,00217947,034300,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 34 기,2024.12.31 현재,"-136,750,702,655",제 33 기,2023.12.31 현재,"-18,439,684,524",제 32 기,2022.12.31 현재,"146,779,097,498",17,KRW
20250623000339,11011,2024,00217947,034300,CFS,연결재무제표,BS,재무상태표,자본총계,제 34 기,2024.12.31 현재,"559,103,852,068",제 33 기,2023.12.31 현재,"117,647,742,549",제 32 기,2022.12.31 현재,"279,995,635,065",21,KRW
20250623000339,11011,2024,00217947,034300,CFS,연결재무제표,IS,손익계산서,매출액,제 34 기,2024.01.01 ~ 2024.12.31,"954,969,919,960",제 33 기,2023.01.01 ~ 2023.12.31,"1,415,436,944,084",제 32 기,2022.01.01 ~ 2022.12.31,"1,432,384,948,018",23,KRW
20250623000339,11011,2024,00217947,034300,CFS,연결재무제표,IS,손익계산서,영업이익,제 34 기,2024.01.01 ~ 2024.12.31,"-134,050,573,266",제 33 기,2023.01.01 ~ 2023.12.31,"-193,499,425,773",제 32 기,2022.01.01 ~ 2022.12.31,"-12,042,239,735",25,KRW
20250623000339,11011,2024,00217947,034300,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 34 기,2024.01.01 ~ 2024.12.31,"-187,528,439,673",제 33 기,2023.01.01 ~ 2023.12.31,"-204,504,763,509",제 32 기,2022.01.01 ~ 2022.12.31,"-15,604,317,192",27,KRW
20250623000339,11011,2024,00217947,034300,CFS,연결재무제표,IS,손익계산서,당기순이익,제 34 기,2024.01.01 ~ 2024.12.31,"-177,147,135,409",제 33 기,2023.01.01 ~ 2023.12.31,"-157,103,017,665",제 32 기,2022.01.01 ~ 2022.12.31,"-12,618,741,427",29,KRW
20250623000339,11011,2024,00217947,034300,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 34 기,2024.01.01 ~ 2024.12.31,"-177,147,135,409",제 33 기,2023.01.01 ~ 2023.12.31,"-157,103,017,665",제 32 기,2022.01.01 ~ 2022.12.31,"-12,618,741,427",61,KRW
20250623000339,11011,2024,00217947,034300,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 34 기,2024.01.01 ~ 2024.12.31,"-178,728,293,710",제 33 기,2023.01.01 ~ 2023.12.31,"-161,741,892,516",제 32 기,2022.01.01 ~ 2022.12.31,"74,294,797,391",63,KRW
20250623000339,11011,2024,00217947,034300,OFS,재무제표,BS,재무상태표,유동자산,제 34 기,2024.12.31 현재,"1,356,390,848,797",제 33 기,2023.12.31 현재,"659,336,957,111",제 32 기,2022.12.31 현재,"482,600,874,552",2,KRW
20250623000339,11011,2024,00217947,034300,OFS,재무제표,BS,재무상태표,비유동자산,제 34 기,2024.12.31 현재,"287,349,530,910",제 33 기,2023.12.31 현재,"597,066,974,294",제 32 기,2022.12.31 현재,"549,286,539,781",4,KRW
20250623000339,11011,2024,00217947,034300,OFS,재무제표,BS,재무상태표,자산총계,제 34 기,2024.12.31 현재,"1,643,740,379,707",제 33 기,2023.12.31 현재,"1,256,403,931,405",제 32 기,2022.12.31 현재,"1,031,887,414,333",6,KRW
20250623000339,11011,2024,00217947,034300,OFS,재무제표,BS,재무상태표,유동부채,제 34 기,2024.12.31 현재,"653,290,943,393",제 33 기,2023.12.31 현재,"911,654,825,693",제 32 기,2022.12.31 현재,"680,580,987,752",8,KRW
20250623000339,11011,2024,00217947,034300,OFS,재무제표,BS,재무상태표,비유동부채,제 34 기,2024.12.31 현재,"428,034,103,228",제 33 기,2023.12.31 현재,"230,102,014,537",제 32 기,2022.12.31 현재,"71,310,791,516",10,KRW
20250623000339,11011,2024,00217947,034300,OFS,재무제표,BS,재무상태표,부채총계,제 34 기,2024.12.31 현재,"1,081,325,046,621",제 33 기,2023.12.31 현재,"1,141,756,840,230",제 32 기,2022.12.31 현재,"751,891,779,268",12,KRW
20250623000339,11011,2024,00217947,034300,OFS,재무제표,BS,재무상태표,자본금,제 34 기,2024.12.31 현재,"38,802,770,000",제 33 기,2023.12.31 현재,"20,000,000,000",제 32 기,2022.12.31 현재,"20,000,000,000",15,KRW
20250623000339,11011,2024,00217947,034300,OFS,재무제표,BS,재무상태표,이익잉여금,제 34 기,2024.12.31 현재,"-133,689,671,747",제 33 기,2023.12.31 현재,"-18,439,684,524",제 32 기,2022.12.31 현재,"146,779,097,498",19,KRW
20250623000339,11011,2024,00217947,034300,OFS,재무제표,BS,재무상태표,자본총계,제 34 기,2024.12.31 현재,"562,415,333,086",제 33 기,2023.12.31 현재,"114,647,091,175",제 32 기,2022.12.31 현재,"279,995,635,065",22,KRW
20250623000339,11011,2024,00217947,034300,OFS,재무제표,IS,손익계산서,매출액,제 34 기,2024.01.01 ~ 2024.12.31,"954,197,043,142",제 33 기,2023.01.01 ~ 2023.12.31,"1,415,436,944,084",제 32 기,2022.01.01 ~ 2022.12.31,"1,432,384,948,018",24,KRW
20250623000339,11011,2024,00217947,034300,OFS,재무제표,IS,손익계산서,영업이익,제 34 기,2024.01.01 ~ 2024.12.31,"-123,923,089,514",제 33 기,2023.01.01 ~ 2023.12.31,"-193,464,024,573",제 32 기,2022.01.01 ~ 2022.12.31,"-12,042,239,735",26,KRW
20250623000339,11011,2024,00217947,034300,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 34 기,2024.01.01 ~ 2024.12.31,"-175,972,907,158",제 33 기,2023.01.01 ~ 2023.12.31,"-204,491,414,883",제 32 기,2022.01.01 ~ 2022.12.31,"-15,604,317,192",28,KRW
20250623000339,11011,2024,00217947,034300,OFS,재무제표,IS,손익계산서,당기순이익,제 34 기,2024.01.01 ~ 2024.12.31,"-174,145,785,173",제 33 기,2023.01.01 ~ 2023.12.31,"-157,089,669,039",제 32 기,2022.01.01 ~ 2022.12.31,"-12,618,741,427",30,KRW
20250623000339,11011,2024,00217947,034300,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 34 기,2024.01.01 ~ 2024.12.31,"-174,145,785,173",제 33 기,2023.01.01 ~ 2023.12.31,"-157,089,669,039",제 32 기,2022.01.01 ~ 2022.12.31,"-12,618,741,427",62,KRW
