rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250318001436,11011,2024,00136402,006880,CFS,연결재무제표,BS,재무상태표,유동자산,제 55 기,2024.12.31 현재,"44,564,590,220",제 54 기,2023.12.31 현재,"35,061,784,725",제 53 기,2022.12.31 현재,"33,746,274,549",1,KRW
20250318001436,11011,2024,00136402,006880,CFS,연결재무제표,BS,재무상태표,비유동자산,제 55 기,2024.12.31 현재,"210,316,934,157",제 54 기,2023.12.31 현재,"207,875,487,954",제 53 기,2022.12.31 현재,"208,604,446,844",3,KRW
20250318001436,11011,2024,00136402,006880,CFS,연결재무제표,BS,재무상태표,자산총계,제 55 기,2024.12.31 현재,"254,881,524,377",제 54 기,2023.12.31 현재,"242,937,272,679",제 53 기,2022.12.31 현재,"242,350,721,393",5,KRW
20250318001436,11011,2024,00136402,006880,CFS,연결재무제표,BS,재무상태표,유동부채,제 55 기,2024.12.31 현재,"79,524,052,080",제 54 기,2023.12.31 현재,"109,926,582,057",제 53 기,2022.12.31 현재,"56,054,142,465",7,KRW
20250318001436,11011,2024,00136402,006880,CFS,연결재무제표,BS,재무상태표,비유동부채,제 55 기,2024.12.31 현재,"68,609,920,899",제 54 기,2023.12.31 현재,"29,458,220,073",제 53 기,2022.12.31 현재,"90,165,501,899",9,KRW
20250318001436,11011,2024,00136402,006880,CFS,연결재무제표,BS,재무상태표,부채총계,제 55 기,2024.12.31 현재,"148,133,972,979",제 54 기,2023.12.31 현재,"139,384,802,130",제 53 기,2022.12.31 현재,"146,219,644,364",11,KRW
20250318001436,11011,2024,00136402,006880,CFS,연결재무제표,BS,재무상태표,자본금,제 55 기,2024.12.31 현재,"5,914,429,000",제 54 기,2023.12.31 현재,"5,914,429,000",제 53 기,2022.12.31 현재,"5,914,429,000",13,KRW
20250318001436,11011,2024,00136402,006880,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 55 기,2024.12.31 현재,"25,201,155,331",제 54 기,2023.12.31 현재,"21,282,711,801",제 53 기,2022.12.31 현재,"13,977,727,990",17,KRW
20250318001436,11011,2024,00136402,006880,CFS,연결재무제표,BS,재무상태표,자본총계,제 55 기,2024.12.31 현재,"106,747,551,398",제 54 기,2023.12.31 현재,"103,552,470,549",제 53 기,2022.12.31 현재,"96,131,077,029",21,KRW
20250318001436,11011,2024,00136402,006880,CFS,연결재무제표,IS,손익계산서,매출액,제 55 기,2024.01.01 ~ 2024.12.31,"164,580,506,815",제 54 기,2023.01.01 ~ 2023.12.31,"193,419,654,722",제 53 기,2022.01.01 ~ 2022.12.31,"209,403,828,091",23,KRW
20250318001436,11011,2024,00136402,006880,CFS,연결재무제표,IS,손익계산서,영업이익,제 55 기,2024.01.01 ~ 2024.12.31,"8,401,885,993",제 54 기,2023.01.01 ~ 2023.12.31,"8,381,489,448",제 53 기,2022.01.01 ~ 2022.12.31,"8,574,416,656",25,KRW
20250318001436,11011,2024,00136402,006880,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 55 기,2024.01.01 ~ 2024.12.31,"7,811,576,479",제 54 기,2023.01.01 ~ 2023.12.31,"10,414,096,264",제 53 기,2022.01.01 ~ 2022.12.31,"1,199,013,132",27,KRW
20250318001436,11011,2024,00136402,006880,CFS,연결재무제표,IS,손익계산서,당기순이익,제 55 기,2024.01.01 ~ 2024.12.31,"5,495,211,137",제 54 기,2023.01.01 ~ 2023.12.31,"8,831,541,142",제 53 기,2022.01.01 ~ 2022.12.31,"1,577,789,162",29,KRW
20250318001436,11011,2024,00136402,006880,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 55 기,2024.01.01 ~ 2024.12.31,"5,495,211,137",제 54 기,2023.01.01 ~ 2023.12.31,"8,831,541,142",제 53 기,2022.01.01 ~ 2022.12.31,"1,577,789,162",61,KRW
20250318001436,11011,2024,00136402,006880,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 55 기,2024.01.01 ~ 2024.12.31,"4,489,844,969",제 54 기,2023.01.01 ~ 2023.12.31,"8,716,157,640",제 53 기,2022.01.01 ~ 2022.12.31,"2,504,448,999",63,KRW
20250318001436,11011,2024,00136402,006880,OFS,재무제표,BS,재무상태표,유동자산,제 55 기,2024.12.31 현재,"1,017,126,856",제 54 기,2023.12.31 현재,"983,266,982",제 53 기,2022.12.31 현재,"951,291,253",2,KRW
20250318001436,11011,2024,00136402,006880,OFS,재무제표,BS,재무상태표,비유동자산,제 55 기,2024.12.31 현재,"143,511,610,107",제 54 기,2023.12.31 현재,"144,053,470,809",제 53 기,2022.12.31 현재,"125,596,256,539",4,KRW
20250318001436,11011,2024,00136402,006880,OFS,재무제표,BS,재무상태표,자산총계,제 55 기,2024.12.31 현재,"144,528,736,963",제 54 기,2023.12.31 현재,"145,036,737,791",제 53 기,2022.12.31 현재,"126,547,547,792",6,KRW
20250318001436,11011,2024,00136402,006880,OFS,재무제표,BS,재무상태표,유동부채,제 55 기,2024.12.31 현재,"349,949,546",제 54 기,2023.12.31 현재,"385,672,449",제 53 기,2022.12.31 현재,"452,770,148",8,KRW
20250318001436,11011,2024,00136402,006880,OFS,재무제표,BS,재무상태표,비유동부채,제 55 기,2024.12.31 현재,"10,310,325,898",제 54 기,2023.12.31 현재,"11,867,107,979",제 53 기,2022.12.31 현재,"14,681,499,823",10,KRW
20250318001436,11011,2024,00136402,006880,OFS,재무제표,BS,재무상태표,부채총계,제 55 기,2024.12.31 현재,"10,660,275,444",제 54 기,2023.12.31 현재,"12,252,780,428",제 53 기,2022.12.31 현재,"15,134,269,971",12,KRW
20250318001436,11011,2024,00136402,006880,OFS,재무제표,BS,재무상태표,자본금,제 55 기,2024.12.31 현재,"5,914,429,000",제 54 기,2023.12.31 현재,"5,914,429,000",제 53 기,2022.12.31 현재,"5,914,429,000",15,KRW
20250318001436,11011,2024,00136402,006880,OFS,재무제표,BS,재무상태표,이익잉여금,제 55 기,2024.12.31 현재,"63,902,608,656",제 54 기,2023.12.31 현재,"62,818,104,500",제 53 기,2022.12.31 현재,"41,447,424,958",19,KRW
20250318001436,11011,2024,00136402,006880,OFS,재무제표,BS,재무상태표,자본총계,제 55 기,2024.12.31 현재,"133,868,461,519",제 54 기,2023.12.31 현재,"132,783,957,363",제 53 기,2022.12.31 현재,"111,413,277,821",22,KRW
20250318001436,11011,2024,00136402,006880,OFS,재무제표,IS,손익계산서,매출액,제 55 기,2024.01.01 ~ 2024.12.31,"3,640,496,000",제 54 기,2023.01.01 ~ 2023.12.31,"23,037,961,600",제 53 기,2022.01.01 ~ 2022.12.31,"5,482,000,000",24,KRW
20250318001436,11011,2024,00136402,006880,OFS,재무제표,IS,손익계산서,영업이익,제 55 기,2024.01.01 ~ 2024.12.31,"809,837,353",제 54 기,2023.01.01 ~ 2023.12.31,"20,308,262,841",제 53 기,2022.01.01 ~ 2022.12.31,"2,970,082,429",26,KRW
20250318001436,11011,2024,00136402,006880,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 55 기,2024.01.01 ~ 2024.12.31,"821,636,684",제 54 기,2023.01.01 ~ 2023.12.31,"19,868,405,421",제 53 기,2022.01.01 ~ 2022.12.31,"3,041,888,540",28,KRW
20250318001436,11011,2024,00136402,006880,OFS,재무제표,IS,손익계산서,당기순이익,제 55 기,2024.01.01 ~ 2024.12.31,"2,366,368,025",제 54 기,2023.01.01 ~ 2023.12.31,"22,694,835,297",제 53 기,2022.01.01 ~ 2022.12.31,"3,929,161,540",30,KRW
20250318001436,11011,2024,00136402,006880,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 55 기,2024.01.01 ~ 2024.12.31,"2,366,368,025",제 54 기,2023.01.01 ~ 2023.12.31,"22,694,835,297",제 53 기,2022.01.01 ~ 2022.12.31,"3,929,161,540",62,KRW
20250318001436,11011,2024,00136402,006880,OFS,재무제표,IS,손익계산서,총포괄손익,제 55 기,2024.01.01 ~ 2024.12.31,"2,379,268,276",제 54 기,2023.01.01 ~ 2023.12.31,"22,665,443,662",제 53 기,2022.01.01 ~ 2022.12.31,"3,977,292,813",64,KRW
