rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250305000706,11011,2024,01656374,430220,OFS,재무제표,BS,재무상태표,유동자산,제 3 기,2024.12.31 현재,"2,633,932,744",제 2 기,2023.12.31 현재,"2,419,477,928",제 1 기,2022.12.31 현재,"2,402,510,977",2,KRW
20250305000706,11011,2024,01656374,430220,OFS,재무제표,BS,재무상태표,비유동자산,제 3 기,2024.12.31 현재,"13,007,152,590",제 2 기,2023.12.31 현재,"12,810,353,129",제 1 기,2022.12.31 현재,"12,500,000,000",4,KRW
20250305000706,11011,2024,01656374,430220,OFS,재무제표,BS,재무상태표,자산총계,제 3 기,2024.12.31 현재,"15,641,085,334",제 2 기,2023.12.31 현재,"15,229,831,057",제 1 기,2022.12.31 현재,"14,902,510,977",6,KRW
20250305000706,11011,2024,01656374,430220,OFS,재무제표,BS,재무상태표,유동부채,제 3 기,2024.12.31 현재,0,제 2 기,2023.12.31 현재,0,제 1 기,2022.12.31 현재,0,8,KRW
20250305000706,11011,2024,01656374,430220,OFS,재무제표,BS,재무상태표,비유동부채,제 3 기,2024.12.31 현재,"1,932,959,001",제 2 기,2023.12.31 현재,"1,827,259,862",제 1 기,2022.12.31 현재,"1,729,152,078",10,KRW
20250305000706,11011,2024,01656374,430220,OFS,재무제표,BS,재무상태표,부채총계,제 3 기,2024.12.31 현재,"1,932,959,001",제 2 기,2023.12.31 현재,"1,827,259,862",제 1 기,2022.12.31 현재,"1,729,152,078",12,KRW
20250305000706,11011,2024,01656374,430220,OFS,재무제표,BS,재무상태표,자본금,제 3 기,2024.12.31 현재,"676,000,000",제 2 기,2023.12.31 현재,"676,000,000",제 1 기,2022.12.31 현재,"676,000,000",15,KRW
20250305000706,11011,2024,01656374,430220,OFS,재무제표,BS,재무상태표,이익잉여금,제 3 기,2024.12.31 현재,"599,081,060",제 2 기,2023.12.31 현재,"293,525,922",제 1 기,2022.12.31 현재,"64,313,626",19,KRW
20250305000706,11011,2024,01656374,430220,OFS,재무제표,BS,재무상태표,자본총계,제 3 기,2024.12.31 현재,"13,708,126,333",제 2 기,2023.12.31 현재,"13,402,571,195",제 1 기,2022.12.31 현재,"13,173,358,899",22,KRW
20250305000706,11011,2024,01656374,430220,OFS,재무제표,IS,손익계산서,매출액,제 3 기,2024.01.01 ~ 2024.12.31,0,제 2 기,2023.01.01 ~ 2023.12.31,0,제 1 기,2022.04.27 ~ 2022.12.31,0,24,KRW
20250305000706,11011,2024,01656374,430220,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 3 기,2024.01.01 ~ 2024.12.31,"358,476,785",제 2 기,2023.01.01 ~ 2023.12.31,"295,241,140",제 1 기,2022.04.27 ~ 2022.12.31,"47,402,698",28,KRW
20250305000706,11011,2024,01656374,430220,OFS,재무제표,IS,손익계산서,당기순이익,제 3 기,2024.01.01 ~ 2024.12.31,"305,555,138",제 2 기,2023.01.01 ~ 2023.12.31,"229,212,296",제 1 기,2022.04.27 ~ 2022.12.31,"64,313,626",30,KRW
20250305000706,11011,2024,01656374,430220,OFS,재무제표,IS,손익계산서,순이자손익,제 3 기,2024.01.01 ~ 2024.12.31,"391,017,225",제 2 기,2023.01.01 ~ 2023.12.31,"346,358,920",제 1 기,2022.04.27 ~ 2022.12.31,"80,742,138",52,KRW
20250305000706,11011,2024,01656374,430220,OFS,재무제표,IS,손익계산서,영업이익(손실),제 3 기,2024.01.01 ~ 2024.12.31,"-32,540,440",제 2 기,2023.01.01 ~ 2023.12.31,"-51,117,780",제 1 기,2022.04.27 ~ 2022.12.31,"-33,339,440",60,KRW
20250305000706,11011,2024,01656374,430220,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 3 기,2024.01.01 ~ 2024.12.31,"305,555,138",제 2 기,2023.01.01 ~ 2023.12.31,"229,212,296",제 1 기,2022.04.27 ~ 2022.12.31,"64,313,626",62,KRW
20250305000706,11011,2024,01656374,430220,OFS,재무제표,IS,손익계산서,총포괄손익,제 3 기,2024.01.01 ~ 2024.12.31,"305,555,138",제 2 기,2023.01.01 ~ 2023.12.31,"229,212,296",제 1 기,2022.04.27 ~ 2022.12.31,"64,313,626",64,KRW
20250305000706,11011,2024,01656374,430220,OFS,재무제표,IS,손익계산서,영업비용,제 3 기,2024.01.01 ~ 2024.12.31,"32,540,440",제 2 기,2023.01.01 ~ 2023.12.31,"51,117,780",제 1 기,2022.04.27 ~ 2022.12.31,"33,339,440",66,KRW
