rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240314000193,11011,2023,00136624,005800,CFS,연결재무제표,BS,재무상태표,유동자산,제 56 기,2023.12.31 현재,"165,709,722,247",제 55 기,2022.12.31 현재,"179,619,782,007",제 54 기,2021.12.31 현재,"170,258,777,542",1,KRW
20240314000193,11011,2023,00136624,005800,CFS,연결재무제표,BS,재무상태표,비유동자산,제 56 기,2023.12.31 현재,"236,010,080,914",제 55 기,2022.12.31 현재,"246,184,676,904",제 54 기,2021.12.31 현재,"218,409,826,115",3,KRW
20240314000193,11011,2023,00136624,005800,CFS,연결재무제표,BS,재무상태표,자산총계,제 56 기,2023.12.31 현재,"401,719,803,161",제 55 기,2022.12.31 현재,"425,804,458,911",제 54 기,2021.12.31 현재,"388,668,603,657",5,KRW
20240314000193,11011,2023,00136624,005800,CFS,연결재무제표,BS,재무상태표,유동부채,제 56 기,2023.12.31 현재,"27,794,916,867",제 55 기,2022.12.31 현재,"54,155,104,445",제 54 기,2021.12.31 현재,"53,997,739,073",7,KRW
20240314000193,11011,2023,00136624,005800,CFS,연결재무제표,BS,재무상태표,비유동부채,제 56 기,2023.12.31 현재,"8,246,670,535",제 55 기,2022.12.31 현재,"8,928,609,124",제 54 기,2021.12.31 현재,"11,752,620,215",9,KRW
20240314000193,11011,2023,00136624,005800,CFS,연결재무제표,BS,재무상태표,부채총계,제 56 기,2023.12.31 현재,"36,041,587,402",제 55 기,2022.12.31 현재,"63,083,713,569",제 54 기,2021.12.31 현재,"65,750,359,288",11,KRW
20240314000193,11011,2023,00136624,005800,CFS,연결재무제표,BS,재무상태표,자본금,제 56 기,2023.12.31 현재,"4,500,000,000",제 55 기,2022.12.31 현재,"4,500,000,000",제 54 기,2021.12.31 현재,"4,500,000,000",13,KRW
20240314000193,11011,2023,00136624,005800,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 56 기,2023.12.31 현재,"286,130,103,267",제 55 기,2022.12.31 현재,"283,556,136,258",제 54 기,2021.12.31 현재,"260,605,684,633",17,KRW
20240314000193,11011,2023,00136624,005800,CFS,연결재무제표,BS,재무상태표,자본총계,제 56 기,2023.12.31 현재,"365,678,215,759",제 55 기,2022.12.31 현재,"362,720,745,342",제 54 기,2021.12.31 현재,"322,918,244,369",21,KRW
20240314000193,11011,2023,00136624,005800,CFS,연결재무제표,IS,손익계산서,매출액,제 56 기,2023.01.01 ~ 2023.12.31,"202,775,168,754",제 55 기,2022.01.01 ~ 2022.12.31,"201,443,944,940",제 54 기,2021.01.01 ~ 2021.12.31,"189,412,826,757",23,KRW
20240314000193,11011,2023,00136624,005800,CFS,연결재무제표,IS,손익계산서,영업이익,제 56 기,2023.01.01 ~ 2023.12.31,"2,157,294,604",제 55 기,2022.01.01 ~ 2022.12.31,"6,613,866,012",제 54 기,2021.01.01 ~ 2021.12.31,"3,690,487,329",25,KRW
20240314000193,11011,2023,00136624,005800,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 56 기,2023.01.01 ~ 2023.12.31,"6,376,106,462",제 55 기,2022.01.01 ~ 2022.12.31,"24,082,833,266",제 54 기,2021.01.01 ~ 2021.12.31,"8,581,224,354",27,KRW
20240314000193,11011,2023,00136624,005800,CFS,연결재무제표,IS,손익계산서,당기순이익,제 56 기,2023.01.01 ~ 2023.12.31,"5,008,543,200",제 55 기,2022.01.01 ~ 2022.12.31,"23,502,438,488",제 54 기,2021.01.01 ~ 2021.12.31,"6,491,809,139",29,KRW
20240314000193,11011,2023,00136624,005800,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 56 기,2023.01.01 ~ 2023.12.31,"5,008,543,200",제 55 기,2022.01.01 ~ 2022.12.31,"23,502,438,488",제 54 기,2021.01.01 ~ 2021.12.31,"6,491,809,139",61,KRW
20240314000193,11011,2023,00136624,005800,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 56 기,2023.01.01 ~ 2023.12.31,"4,307,470,417",제 55 기,2022.01.01 ~ 2022.12.31,"41,152,500,973",제 54 기,2021.01.01 ~ 2021.12.31,"7,104,701,276",63,KRW
20240314000193,11011,2023,00136624,005800,OFS,재무제표,BS,재무상태표,유동자산,제 56 기,2023.12.31 현재,"152,771,874,298",제 55 기,2022.12.31 현재,"164,116,570,378",제 54 기,2021.12.31 현재,"157,728,236,006",2,KRW
20240314000193,11011,2023,00136624,005800,OFS,재무제표,BS,재무상태표,비유동자산,제 56 기,2023.12.31 현재,"213,740,438,207",제 55 기,2022.12.31 현재,"221,579,880,276",제 54 기,2021.12.31 현재,"214,926,441,750",4,KRW
