rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240315000801,11011,2023,00137058,012790,OFS,재무제표,BS,재무상태표,유동자산,제 47 기,2023.12.31 현재,"68,787,350,200",제 46 기,2022.12.31 현재,"67,279,974,209",제 45 기,2021.12.31 현재,"58,426,607,416",2,KRW
20240315000801,11011,2023,00137058,012790,OFS,재무제표,BS,재무상태표,비유동자산,제 47 기,2023.12.31 현재,"83,672,234,668",제 46 기,2022.12.31 현재,"75,551,686,076",제 45 기,2021.12.31 현재,"70,546,959,968",4,KRW
20240315000801,11011,2023,00137058,012790,OFS,재무제표,BS,재무상태표,자산총계,제 47 기,2023.12.31 현재,"152,459,584,868",제 46 기,2022.12.31 현재,"142,831,660,285",제 45 기,2021.12.31 현재,"128,973,567,384",6,KRW
20240315000801,11011,2023,00137058,012790,OFS,재무제표,BS,재무상태표,유동부채,제 47 기,2023.12.31 현재,"14,144,527,951",제 46 기,2022.12.31 현재,"15,958,951,576",제 45 기,2021.12.31 현재,"12,023,111,762",8,KRW
20240315000801,11011,2023,00137058,012790,OFS,재무제표,BS,재무상태표,비유동부채,제 47 기,2023.12.31 현재,"3,420,029,046",제 46 기,2022.12.31 현재,"3,595,401,828",제 45 기,2021.12.31 현재,"3,754,334,539",10,KRW
20240315000801,11011,2023,00137058,012790,OFS,재무제표,BS,재무상태표,부채총계,제 47 기,2023.12.31 현재,"17,564,556,997",제 46 기,2022.12.31 현재,"19,554,353,404",제 45 기,2021.12.31 현재,"15,777,446,301",12,KRW
20240315000801,11011,2023,00137058,012790,OFS,재무제표,BS,재무상태표,자본금,제 47 기,2023.12.31 현재,"5,993,207,500",제 46 기,2022.12.31 현재,"5,770,732,000",제 45 기,2021.12.31 현재,"5,608,593,000",15,KRW
20240315000801,11011,2023,00137058,012790,OFS,재무제표,BS,재무상태표,이익잉여금,제 47 기,2023.12.31 현재,"128,687,518,798",제 46 기,2022.12.31 현재,"117,117,910,126",제 45 기,2021.12.31 현재,"106,663,357,145",19,KRW
20240315000801,11011,2023,00137058,012790,OFS,재무제표,BS,재무상태표,자본총계,제 47 기,2023.12.31 현재,"134,895,027,871",제 46 기,2022.12.31 현재,"123,277,306,881",제 45 기,2021.12.31 현재,"113,196,121,083",22,KRW
20240315000801,11011,2023,00137058,012790,OFS,재무제표,IS,손익계산서,매출액,제 47 기,2023.01.01 ~ 2023.12.31,"89,135,208,847",제 46 기,2022.01.01 ~ 2022.12.31,"80,007,072,042",제 45 기,2021.01.01 ~ 2021.12.31,"61,754,169,306",24,KRW
20240315000801,11011,2023,00137058,012790,OFS,재무제표,IS,손익계산서,영업이익,제 47 기,2023.01.01 ~ 2023.12.31,"13,991,301,307",제 46 기,2022.01.01 ~ 2022.12.31,"13,656,373,682",제 45 기,2021.01.01 ~ 2021.12.31,"7,981,819,542",26,KRW
20240315000801,11011,2023,00137058,012790,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 47 기,2023.01.01 ~ 2023.12.31,"14,953,210,323",제 46 기,2022.01.01 ~ 2022.12.31,"14,644,761,095",제 45 기,2021.01.01 ~ 2021.12.31,"8,341,326,142",28,KRW
20240315000801,11011,2023,00137058,012790,OFS,재무제표,IS,손익계산서,당기순이익,제 47 기,2023.01.01 ~ 2023.12.31,"13,641,351,348",제 46 기,2022.01.01 ~ 2022.12.31,"12,157,083,331",제 45 기,2021.01.01 ~ 2021.12.31,"6,678,822,217",30,KRW
20240315000801,11011,2023,00137058,012790,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 47 기,2023.01.01 ~ 2023.12.31,"13,641,351,348",제 46 기,2022.01.01 ~ 2022.12.31,"12,157,083,331",제 45 기,2021.01.01 ~ 2021.12.31,"6,678,822,217",62,KRW
20240315000801,11011,2023,00137058,012790,OFS,재무제표,IS,손익계산서,총포괄손익,제 47 기,2023.01.01 ~ 2023.12.31,"12,803,494,270",제 46 기,2022.01.01 ~ 2022.12.31,"11,266,599,789",제 45 기,2021.01.01 ~ 2021.12.31,"6,931,131,141",64,KRW
