rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250312000491,11011,2024,00659161,160980,CFS,연결재무제표,BS,재무상태표,유동자산,제 20 기,2024.12.31 현재,"129,597,757,151",제 19 기,2023.12.31 현재,"128,169,756,308",제 18 기,2022.12.31 현재,"148,064,514,673",1,KRW
20250312000491,11011,2024,00659161,160980,CFS,연결재무제표,BS,재무상태표,비유동자산,제 20 기,2024.12.31 현재,"97,804,383,320",제 19 기,2023.12.31 현재,"84,434,232,804",제 18 기,2022.12.31 현재,"77,983,964,336",3,KRW
20250312000491,11011,2024,00659161,160980,CFS,연결재무제표,BS,재무상태표,자산총계,제 20 기,2024.12.31 현재,"227,402,140,471",제 19 기,2023.12.31 현재,"212,603,989,112",제 18 기,2022.12.31 현재,"226,048,479,009",5,KRW
20250312000491,11011,2024,00659161,160980,CFS,연결재무제표,BS,재무상태표,유동부채,제 20 기,2024.12.31 현재,"50,617,533,313",제 19 기,2023.12.31 현재,"48,420,368,101",제 18 기,2022.12.31 현재,"69,975,187,249",7,KRW
20250312000491,11011,2024,00659161,160980,CFS,연결재무제표,BS,재무상태표,비유동부채,제 20 기,2024.12.31 현재,"3,116,198,186",제 19 기,2023.12.31 현재,"1,658,211,894",제 18 기,2022.12.31 현재,"1,977,351,716",9,KRW
20250312000491,11011,2024,00659161,160980,CFS,연결재무제표,BS,재무상태표,부채총계,제 20 기,2024.12.31 현재,"53,733,731,499",제 19 기,2023.12.31 현재,"50,078,579,995",제 18 기,2022.12.31 현재,"71,952,538,965",11,KRW
20250312000491,11011,2024,00659161,160980,CFS,연결재무제표,BS,재무상태표,자본금,제 20 기,2024.12.31 현재,"5,462,121,500",제 19 기,2023.12.31 현재,"5,462,121,500",제 18 기,2022.12.31 현재,"5,462,121,500",13,KRW
20250312000491,11011,2024,00659161,160980,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 20 기,2024.12.31 현재,"121,334,035,232",제 19 기,2023.12.31 현재,"110,232,778,651",제 18 기,2022.12.31 현재,"99,054,615,074",17,KRW
20250312000491,11011,2024,00659161,160980,CFS,연결재무제표,BS,재무상태표,자본총계,제 20 기,2024.12.31 현재,"173,668,408,972",제 19 기,2023.12.31 현재,"162,525,409,117",제 18 기,2022.12.31 현재,"154,095,940,044",21,KRW
20250312000491,11011,2024,00659161,160980,CFS,연결재무제표,IS,손익계산서,매출액,제 20 기,2024.01.01 ~ 2024.12.31,"165,058,416,302",제 19 기,2023.01.01 ~ 2023.12.31,"156,626,583,125",제 18 기,2022.01.01 ~ 2022.12.31,"195,055,846,091",23,KRW
20250312000491,11011,2024,00659161,160980,CFS,연결재무제표,IS,손익계산서,영업이익,제 20 기,2024.01.01 ~ 2024.12.31,"23,405,364,176",제 19 기,2023.01.01 ~ 2023.12.31,"7,112,986,673",제 18 기,2022.01.01 ~ 2022.12.31,"21,161,006,038",25,KRW
20250312000491,11011,2024,00659161,160980,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 20 기,2024.01.01 ~ 2024.12.31,"17,110,608,503",제 19 기,2023.01.01 ~ 2023.12.31,"14,922,832,192",제 18 기,2022.01.01 ~ 2022.12.31,"9,566,673,563",27,KRW
20250312000491,11011,2024,00659161,160980,CFS,연결재무제표,IS,손익계산서,당기순이익,제 20 기,2024.01.01 ~ 2024.12.31,"15,412,505,405",제 19 기,2023.01.01 ~ 2023.12.31,"11,826,612,218",제 18 기,2022.01.01 ~ 2022.12.31,"7,808,543,452",29,KRW
20250312000491,11011,2024,00659161,160980,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 20 기,2024.01.01 ~ 2024.12.31,"15,412,505,405",제 19 기,2023.01.01 ~ 2023.12.31,"11,826,612,218",제 18 기,2022.01.01 ~ 2022.12.31,"7,808,543,452",61,KRW
20250312000491,11011,2024,00659161,160980,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 20 기,2024.01.01 ~ 2024.12.31,"14,720,149,655",제 19 기,2023.01.01 ~ 2023.12.31,"11,571,181,612",제 18 기,2022.01.01 ~ 2022.12.31,"8,802,973,187",63,KRW
20250312000491,11011,2024,00659161,160980,OFS,재무제표,BS,재무상태표,유동자산,제 20 기,2024.12.31 현재,"129,175,591,671",제 19 기,2023.12.31 현재,"127,814,415,592",제 18 기,2022.12.31 현재,"145,725,558,360",2,KRW
20250312000491,11011,2024,00659161,160980,OFS,재무제표,BS,재무상태표,비유동자산,제 20 기,2024.12.31 현재,"97,966,599,014",제 19 기,2023.12.31 현재,"89,952,874,819",제 18 기,2022.12.31 현재,"74,699,591,042",4,KRW
20250312000491,11011,2024,00659161,160980,OFS,재무제표,BS,재무상태표,자산총계,제 20 기,2024.12.31 현재,"227,142,190,685",제 19 기,2023.12.31 현재,"217,767,290,411",제 18 기,2022.12.31 현재,"220,425,149,402",6,KRW
20250312000491,11011,2024,00659161,160980,OFS,재무제표,BS,재무상태표,유동부채,제 20 기,2024.12.31 현재,"50,615,420,913",제 19 기,2023.12.31 현재,"48,423,095,562",제 18 기,2022.12.31 현재,"64,400,627,144",8,KRW
20250312000491,11011,2024,00659161,160980,OFS,재무제표,BS,재무상태표,비유동부채,제 20 기,2024.12.31 현재,"3,116,198,186",제 19 기,2023.12.31 현재,"1,658,211,894",제 18 기,2022.12.31 현재,"1,793,353,146",10,KRW
20250312000491,11011,2024,00659161,160980,OFS,재무제표,BS,재무상태표,부채총계,제 20 기,2024.12.31 현재,"53,731,619,099",제 19 기,2023.12.31 현재,"50,081,307,456",제 18 기,2022.12.31 현재,"66,193,980,290",12,KRW
20250312000491,11011,2024,00659161,160980,OFS,재무제표,BS,재무상태표,자본금,제 20 기,2024.12.31 현재,"5,462,121,500",제 19 기,2023.12.31 현재,"5,462,121,500",제 18 기,2022.12.31 현재,"5,462,121,500",15,KRW
20250312000491,11011,2024,00659161,160980,OFS,재무제표,BS,재무상태표,이익잉여금,제 20 기,2024.12.31 현재,"121,098,365,844",제 19 기,2023.12.31 현재,"115,373,777,213",제 18 기,2022.12.31 현재,"101,918,963,370",19,KRW
20250312000491,11011,2024,00659161,160980,OFS,재무제표,BS,재무상태표,자본총계,제 20 기,2024.12.31 현재,"173,410,571,586",제 19 기,2023.12.31 현재,"167,685,982,955",제 18 기,2022.12.31 현재,"154,231,169,112",22,KRW
20250312000491,11011,2024,00659161,160980,OFS,재무제표,IS,손익계산서,매출액,제 20 기,2024.01.01 ~ 2024.12.31,"164,885,513,587",제 19 기,2023.01.01 ~ 2023.12.31,"127,773,272,699",제 18 기,2022.01.01 ~ 2022.12.31,"176,772,731,842",24,KRW
20250312000491,11011,2024,00659161,160980,OFS,재무제표,IS,손익계산서,영업이익,제 20 기,2024.01.01 ~ 2024.12.31,"23,390,455,938",제 19 기,2023.01.01 ~ 2023.12.31,"9,819,684,938",제 18 기,2022.01.01 ~ 2022.12.31,"20,867,948,521",26,KRW
20250312000491,11011,2024,00659161,160980,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 20 기,2024.01.01 ~ 2024.12.31,"11,726,245,235",제 19 기,2023.01.01 ~ 2023.12.31,"19,373,753,506",제 18 기,2022.01.01 ~ 2022.12.31,"9,650,105,011",28,KRW
20250312000491,11011,2024,00659161,160980,OFS,재무제표,IS,손익계산서,당기순이익,제 20 기,2024.01.01 ~ 2024.12.31,"10,035,837,455",제 19 기,2023.01.01 ~ 2023.12.31,"16,776,500,353",제 18 기,2022.01.01 ~ 2022.12.31,"7,742,117,023",30,KRW
20250312000491,11011,2024,00659161,160980,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 20 기,2024.01.01 ~ 2024.12.31,"10,035,837,455",제 19 기,2023.01.01 ~ 2023.12.31,"16,776,500,353",제 18 기,2022.01.01 ~ 2022.12.31,"7,742,117,023",62,KRW
20250312000491,11011,2024,00659161,160980,OFS,재무제표,IS,손익계산서,총포괄손익,제 20 기,2024.01.01 ~ 2024.12.31,"9,301,738,431",제 19 기,2023.01.01 ~ 2023.12.31,"16,520,942,243",제 18 기,2022.01.01 ~ 2022.12.31,"8,748,329,293",64,KRW
