rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250314001761,11011,2024,00681249,115480,CFS,연결재무제표,BS,재무상태표,유동자산,제 24 기,2024.12.31 현재,"40,221,019,740",제 23 기,2023.12.31 현재,"34,426,160,111",제 22 기,2022.12.31 현재,"31,235,168,004",1,KRW
20250314001761,11011,2024,00681249,115480,CFS,연결재무제표,BS,재무상태표,비유동자산,제 24 기,2024.12.31 현재,"63,347,815,822",제 23 기,2023.12.31 현재,"51,224,313,642",제 22 기,2022.12.31 현재,"57,176,741,087",3,KRW
20250314001761,11011,2024,00681249,115480,CFS,연결재무제표,BS,재무상태표,자산총계,제 24 기,2024.12.31 현재,"103,568,835,562",제 23 기,2023.12.31 현재,"85,650,473,753",제 22 기,2022.12.31 현재,"88,411,909,091",5,KRW
20250314001761,11011,2024,00681249,115480,CFS,연결재무제표,BS,재무상태표,유동부채,제 24 기,2024.12.31 현재,"11,150,679,106",제 23 기,2023.12.31 현재,"27,504,214,343",제 22 기,2022.12.31 현재,"10,831,387,941",7,KRW
20250314001761,11011,2024,00681249,115480,CFS,연결재무제표,BS,재무상태표,비유동부채,제 24 기,2024.12.31 현재,"33,114,007,074",제 23 기,2023.12.31 현재,"3,925,235,157",제 22 기,2022.12.31 현재,"18,319,725,907",9,KRW
20250314001761,11011,2024,00681249,115480,CFS,연결재무제표,BS,재무상태표,부채총계,제 24 기,2024.12.31 현재,"44,264,686,180",제 23 기,2023.12.31 현재,"31,429,449,500",제 22 기,2022.12.31 현재,"29,151,113,848",11,KRW
20250314001761,11011,2024,00681249,115480,CFS,연결재무제표,BS,재무상태표,자본금,제 24 기,2024.12.31 현재,"30,312,279,000",제 23 기,2023.12.31 현재,"24,112,279,000",제 22 기,2022.12.31 현재,"22,862,117,500",13,KRW
20250314001761,11011,2024,00681249,115480,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 24 기,2024.12.31 현재,"-34,243,864,688",제 23 기,2023.12.31 현재,"-30,832,720,801",제 22 기,2022.12.31 현재,"-22,683,516,402",17,KRW
20250314001761,11011,2024,00681249,115480,CFS,연결재무제표,BS,재무상태표,자본총계,제 24 기,2024.12.31 현재,"59,304,149,382",제 23 기,2023.12.31 현재,"54,221,024,253",제 22 기,2022.12.31 현재,"59,260,795,243",21,KRW
20250314001761,11011,2024,00681249,115480,CFS,연결재무제표,IS,손익계산서,매출액,제 24 기,2024.01.01 ~ 2024.12.31,"40,629,340,409",제 23 기,2023.01.01 ~ 2023.12.31,"41,803,052,141",제 22 기,2022.01.01 ~ 2022.12.31,"46,957,359,252",23,KRW
