rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20230710000268,11011,2022,00450010,308170,CFS,연결재무제표,BS,재무상태표,유동자산,제 29 기,2022.12.31 현재,"108,433,064,786",제 28 기,2021.12.31 현재,"94,828,381,186",제 27 기,2020.12.31 현재,"79,551,824,545",1,KRW
20230710000268,11011,2022,00450010,308170,CFS,연결재무제표,BS,재무상태표,비유동자산,제 29 기,2022.12.31 현재,"188,934,122,718",제 28 기,2021.12.31 현재,"183,275,496,148",제 27 기,2020.12.31 현재,"192,781,099,067",3,KRW
20230710000268,11011,2022,00450010,308170,CFS,연결재무제표,BS,재무상태표,자산총계,제 29 기,2022.12.31 현재,"297,367,187,504",제 28 기,2021.12.31 현재,"278,103,877,334",제 27 기,2020.12.31 현재,"272,332,923,612",5,KRW
20230710000268,11011,2022,00450010,308170,CFS,연결재무제표,BS,재무상태표,유동부채,제 29 기,2022.12.31 현재,"143,795,718,692",제 28 기,2021.12.31 현재,"120,168,397,331",제 27 기,2020.12.31 현재,"106,641,147,923",7,KRW
20230710000268,11011,2022,00450010,308170,CFS,연결재무제표,BS,재무상태표,비유동부채,제 29 기,2022.12.31 현재,"49,723,194,013",제 28 기,2021.12.31 현재,"60,014,158,450",제 27 기,2020.12.31 현재,"60,907,347,652",9,KRW
20230710000268,11011,2022,00450010,308170,CFS,연결재무제표,BS,재무상태표,부채총계,제 29 기,2022.12.31 현재,"193,518,912,705",제 28 기,2021.12.31 현재,"180,182,555,781",제 27 기,2020.12.31 현재,"167,548,495,575",11,KRW
20230710000268,11011,2022,00450010,308170,CFS,연결재무제표,BS,재무상태표,자본금,제 29 기,2022.12.31 현재,"4,305,000,000",제 28 기,2021.12.31 현재,"4,305,000,000",제 27 기,2020.12.31 현재,"4,305,000,000",13,KRW
20230710000268,11011,2022,00450010,308170,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 29 기,2022.12.31 현재,"77,823,741,219",제 28 기,2021.12.31 현재,"76,043,733,512",제 27 기,2020.12.31 현재,"74,523,855,706",17,KRW
20230710000268,11011,2022,00450010,308170,CFS,연결재무제표,BS,재무상태표,자본총계,제 29 기,2022.12.31 현재,"103,848,274,799",제 28 기,2021.12.31 현재,"97,921,321,553",제 27 기,2020.12.31 현재,"104,784,428,037",21,KRW
20230710000268,11011,2022,00450010,308170,CFS,연결재무제표,IS,손익계산서,매출액,제 29 기,2022.01.01 ~ 2022.12.31,"423,096,556,243",제 28 기,2021.01.01 ~ 2021.12.31,"368,434,976,308",제 27 기,2020.01.01 ~ 2020.12.31,"316,826,531,025",23,KRW
20230710000268,11011,2022,00450010,308170,CFS,연결재무제표,IS,손익계산서,영업이익,제 29 기,2022.01.01 ~ 2022.12.31,"-736,093,949",제 28 기,2021.01.01 ~ 2021.12.31,"3,572,849,129",제 27 기,2020.01.01 ~ 2020.12.31,"6,277,958,017",25,KRW
20230710000268,11011,2022,00450010,308170,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 29 기,2022.01.01 ~ 2022.12.31,"-4,692,632,602",제 28 기,2021.01.01 ~ 2021.12.31,"2,618,711,144",제 27 기,2020.01.01 ~ 2020.12.31,"9,456,769,372",27,KRW
20230710000268,11011,2022,00450010,308170,CFS,연결재무제표,IS,손익계산서,당기순이익,제 29 기,2022.01.01 ~ 2022.12.31,"1,128,714,129",제 28 기,2021.01.01 ~ 2021.12.31,"1,427,457,546",제 27 기,2020.01.01 ~ 2020.12.31,"6,930,364,249",29,KRW
20230710000268,11011,2022,00450010,308170,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 29 기,2022.01.01 ~ 2022.12.31,"1,128,714,129",제 28 기,2021.01.01 ~ 2021.12.31,"1,427,457,546",제 27 기,2020.01.01 ~ 2020.12.31,"6,930,364,249",61,KRW
20230710000268,11011,2022,00450010,308170,OFS,재무제표,BS,재무상태표,유동자산,제 29 기,2022.12.31 현재,"64,743,764,054",제 28 기,2021.12.31 현재,"77,492,568,250",제 27 기,2020.12.31 현재,"65,184,181,668",2,KRW
20230710000268,11011,2022,00450010,308170,OFS,재무제표,BS,재무상태표,비유동자산,제 29 기,2022.12.31 현재,"196,301,584,530",제 28 기,2021.12.31 현재,"154,935,950,314",제 27 기,2020.12.31 현재,"166,679,286,480",4,KRW
20230710000268,11011,2022,00450010,308170,OFS,재무제표,BS,재무상태표,자산총계,제 29 기,2022.12.31 현재,"261,045,348,584",제 28 기,2021.12.31 현재,"232,428,518,564",제 27 기,2020.12.31 현재,"231,863,468,148",6,KRW
20230710000268,11011,2022,00450010,308170,OFS,재무제표,BS,재무상태표,유동부채,제 29 기,2022.12.31 현재,"116,375,501,290",제 28 기,2021.12.31 현재,"99,445,292,565",제 27 기,2020.12.31 현재,"92,043,434,566",8,KRW
20230710000268,11011,2022,00450010,308170,OFS,재무제표,BS,재무상태표,비유동부채,제 29 기,2022.12.31 현재,"44,952,083,440",제 28 기,2021.12.31 현재,"48,482,386,752",제 27 기,2020.12.31 현재,"46,534,652,376",10,KRW
