rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240321001315,11011,2023,01157235,246720,OFS,재무제표,BS,재무상태표,유동자산,제 18 기,2023.12.31 현재,"7,428,063,210",제 17 기,2022.12.31 현재,"7,884,569,238",제 16 기,2021.12.31 현재,"8,958,928,145",2,KRW
20240321001315,11011,2023,01157235,246720,OFS,재무제표,BS,재무상태표,비유동자산,제 18 기,2023.12.31 현재,"2,283,358,886",제 17 기,2022.12.31 현재,"3,051,075,244",제 16 기,2021.12.31 현재,"2,098,392,130",4,KRW
20240321001315,11011,2023,01157235,246720,OFS,재무제표,BS,재무상태표,자산총계,제 18 기,2023.12.31 현재,"9,711,422,096",제 17 기,2022.12.31 현재,"10,935,644,482",제 16 기,2021.12.31 현재,"11,057,320,275",6,KRW
20240321001315,11011,2023,01157235,246720,OFS,재무제표,BS,재무상태표,유동부채,제 18 기,2023.12.31 현재,"1,044,439,533",제 17 기,2022.12.31 현재,"1,102,735,972",제 16 기,2021.12.31 현재,"509,238,229",8,KRW
20240321001315,11011,2023,01157235,246720,OFS,재무제표,BS,재무상태표,비유동부채,제 18 기,2023.12.31 현재,"2,492,044,939",제 17 기,2022.12.31 현재,"2,595,821,417",제 16 기,2021.12.31 현재,"1,655,523,382",10,KRW
20240321001315,11011,2023,01157235,246720,OFS,재무제표,BS,재무상태표,부채총계,제 18 기,2023.12.31 현재,"3,536,484,472",제 17 기,2022.12.31 현재,"3,698,557,389",제 16 기,2021.12.31 현재,"2,164,761,611",12,KRW
20240321001315,11011,2023,01157235,246720,OFS,재무제표,BS,재무상태표,자본금,제 18 기,2023.12.31 현재,"6,601,977,500",제 17 기,2022.12.31 현재,"6,452,012,500",제 16 기,2021.12.31 현재,"6,332,389,500",15,KRW
20240321001315,11011,2023,01157235,246720,OFS,재무제표,BS,재무상태표,이익잉여금,제 18 기,2023.12.31 현재,"-43,141,061,774",제 17 기,2022.12.31 현재,"-40,375,631,447",제 16 기,2021.12.31 현재,"-37,576,189,716",19,KRW
20240321001315,11011,2023,01157235,246720,OFS,재무제표,BS,재무상태표,자본총계,제 18 기,2023.12.31 현재,"6,174,937,624",제 17 기,2022.12.31 현재,"7,237,087,093",제 16 기,2021.12.31 현재,"8,892,558,664",22,KRW
20240321001315,11011,2023,01157235,246720,OFS,재무제표,IS,손익계산서,매출액,제 18 기,2023.01.01 ~ 2023.12.31,"3,133,234,465",제 17 기,2022.01.01 ~ 2022.12.31,"3,345,404,074",제 16 기,2021.01.01 ~ 2021.12.31,"2,563,990,004",24,KRW
20240321001315,11011,2023,01157235,246720,OFS,재무제표,IS,손익계산서,영업이익,제 18 기,2023.01.01 ~ 2023.12.31,"-2,723,517,456",제 17 기,2022.01.01 ~ 2022.12.31,"-2,779,103,898",제 16 기,2021.01.01 ~ 2021.12.31,"-3,110,394,255",26,KRW
20240321001315,11011,2023,01157235,246720,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 18 기,2023.01.01 ~ 2023.12.31,"-2,813,001,653",제 17 기,2022.01.01 ~ 2022.12.31,"-2,799,441,731",제 16 기,2021.01.01 ~ 2021.12.31,"-3,516,851,312",28,KRW
20240321001315,11011,2023,01157235,246720,OFS,재무제표,IS,손익계산서,총포괄손익,제 18 기,2023.01.01 ~ 2023.12.31,"-2,998,265,524",제 17 기,2022.01.01 ~ 2022.12.31,"-2,654,553,451",제 16 기,2021.01.01 ~ 2021.12.31,"-3,526,579,581",64,KRW
