rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250318000916,11011,2024,01080687,227610,CFS,연결재무제표,BS,재무상태표,유동자산,제 25 기,2024.12.31 현재,"28,916,016,538",제 24 기,2023.12.31 현재,"34,382,604,185",제 23 기,2022.12.31 현재,"31,199,350,217",1,KRW
20250318000916,11011,2024,01080687,227610,CFS,연결재무제표,BS,재무상태표,비유동자산,제 25 기,2024.12.31 현재,"24,324,978,343",제 24 기,2023.12.31 현재,"25,855,803,997",제 23 기,2022.12.31 현재,"27,235,441,660",3,KRW
20250318000916,11011,2024,01080687,227610,CFS,연결재무제표,BS,재무상태표,자산총계,제 25 기,2024.12.31 현재,"53,240,994,881",제 24 기,2023.12.31 현재,"60,238,408,182",제 23 기,2022.12.31 현재,"58,434,791,877",5,KRW
20250318000916,11011,2024,01080687,227610,CFS,연결재무제표,BS,재무상태표,유동부채,제 25 기,2024.12.31 현재,"24,005,370,373",제 24 기,2023.12.31 현재,"29,609,263,196",제 23 기,2022.12.31 현재,"48,312,493,482",7,KRW
20250318000916,11011,2024,01080687,227610,CFS,연결재무제표,BS,재무상태표,비유동부채,제 25 기,2024.12.31 현재,"7,895,160,819",제 24 기,2023.12.31 현재,"6,979,254,380",제 23 기,2022.12.31 현재,"1,544,100,599",9,KRW
20250318000916,11011,2024,01080687,227610,CFS,연결재무제표,BS,재무상태표,부채총계,제 25 기,2024.12.31 현재,"31,900,531,192",제 24 기,2023.12.31 현재,"36,588,517,576",제 23 기,2022.12.31 현재,"49,856,594,081",11,KRW
20250318000916,11011,2024,01080687,227610,CFS,연결재무제표,BS,재무상태표,자본금,제 25 기,2024.12.31 현재,"17,791,773,500",제 24 기,2023.12.31 현재,"15,825,919,000",제 23 기,2022.12.31 현재,"11,838,309,000",13,KRW
20250318000916,11011,2024,01080687,227610,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 25 기,2024.12.31 현재,"-40,516,912,622",제 24 기,2023.12.31 현재,"-33,861,242,756",제 23 기,2022.12.31 현재,"-33,472,333,012",17,KRW
20250318000916,11011,2024,01080687,227610,CFS,연결재무제표,BS,재무상태표,자본총계,제 25 기,2024.12.31 현재,"21,340,463,689",제 24 기,2023.12.31 현재,"23,649,890,606",제 23 기,2022.12.31 현재,"8,578,197,796",21,KRW
20250318000916,11011,2024,01080687,227610,CFS,연결재무제표,IS,손익계산서,매출액,제 25 기,2024.01.01 ~ 2024.12.31,"34,685,968,494",제 24 기,2023.01.01 ~ 2023.12.31,"32,698,314,649",제 23 기,2022.01.01 ~ 2022.12.31,"35,044,593,341",23,KRW
20250318000916,11011,2024,01080687,227610,CFS,연결재무제표,IS,손익계산서,영업이익,제 25 기,2024.01.01 ~ 2024.12.31,"-3,367,749,311",제 24 기,2023.01.01 ~ 2023.12.31,"162,986,825",제 23 기,2022.01.01 ~ 2022.12.31,"-9,692,810,262",25,KRW
20250318000916,11011,2024,01080687,227610,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 25 기,2024.01.01 ~ 2024.12.31,"-6,894,851,566",제 24 기,2023.01.01 ~ 2023.12.31,"-328,204,673",제 23 기,2022.01.01 ~ 2022.12.31,"-17,255,430,584",27,KRW
20250318000916,11011,2024,01080687,227610,CFS,연결재무제표,IS,손익계산서,당기순이익,제 25 기,2024.01.01 ~ 2024.12.31,"-6,894,851,566",제 24 기,2023.01.01 ~ 2023.12.31,"-328,204,673",제 23 기,2022.01.01 ~ 2022.12.31,"-17,255,430,584",29,KRW
20250318000916,11011,2024,01080687,227610,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 25 기,2024.01.01 ~ 2024.12.31,"-6,894,851,566",제 24 기,2023.01.01 ~ 2023.12.31,"-328,204,673",제 23 기,2022.01.01 ~ 2022.12.31,"-17,255,430,584",61,KRW
20250318000916,11011,2024,01080687,227610,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 25 기,2024.01.01 ~ 2024.12.31,"-6,754,996,990",제 24 기,2023.01.01 ~ 2023.12.31,"-469,525,006",제 23 기,2022.01.01 ~ 2022.12.31,"-12,238,384,346",63,KRW
20250318000916,11011,2024,01080687,227610,OFS,재무제표,BS,재무상태표,유동자산,제 25 기,2024.12.31 현재,"27,915,692,954",제 24 기,2023.12.31 현재,"33,585,063,187",제 23 기,2022.12.31 현재,"29,565,353,991",2,KRW
20250318000916,11011,2024,01080687,227610,OFS,재무제표,BS,재무상태표,비유동자산,제 25 기,2024.12.31 현재,"24,758,462,550",제 24 기,2023.12.31 현재,"26,512,527,512",제 23 기,2022.12.31 현재,"28,002,501,466",4,KRW
20250318000916,11011,2024,01080687,227610,OFS,재무제표,BS,재무상태표,자산총계,제 25 기,2024.12.31 현재,"52,674,155,504",제 24 기,2023.12.31 현재,"60,097,590,699",제 23 기,2022.12.31 현재,"57,567,855,457",6,KRW
20250318000916,11011,2024,01080687,227610,OFS,재무제표,BS,재무상태표,유동부채,제 25 기,2024.12.31 현재,"23,320,030,514",제 24 기,2023.12.31 현재,"29,178,858,916",제 23 기,2022.12.31 현재,"47,098,539,148",8,KRW
20250318000916,11011,2024,01080687,227610,OFS,재무제표,BS,재무상태표,비유동부채,제 25 기,2024.12.31 현재,"7,889,823,833",제 24 기,2023.12.31 현재,"6,974,920,133",제 23 기,2022.12.31 현재,"1,540,766,352",10,KRW
20250318000916,11011,2024,01080687,227610,OFS,재무제표,BS,재무상태표,부채총계,제 25 기,2024.12.31 현재,"31,209,854,347",제 24 기,2023.12.31 현재,"36,153,779,049",제 23 기,2022.12.31 현재,"48,639,305,500",12,KRW
20250318000916,11011,2024,01080687,227610,OFS,재무제표,BS,재무상태표,자본금,제 25 기,2024.12.31 현재,"17,791,773,500",제 24 기,2023.12.31 현재,"15,825,919,000",제 23 기,2022.12.31 현재,"11,838,309,000",15,KRW
20250318000916,11011,2024,01080687,227610,OFS,재무제표,BS,재무상태표,이익잉여금,제 25 기,2024.12.31 현재,"-42,553,758,066",제 24 기,2023.12.31 현재,"-35,557,959,186",제 23 기,2022.12.31 현재,"-35,032,003,063",19,KRW
20250318000916,11011,2024,01080687,227610,OFS,재무제표,BS,재무상태표,자본총계,제 25 기,2024.12.31 현재,"21,464,301,157",제 24 기,2023.12.31 현재,"23,943,811,650",제 23 기,2022.12.31 현재,"8,928,549,957",22,KRW
