rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250728000267,11011,2024,00370200,066430,OFS,재무제표,BS,재무상태표,유동자산,제 27 기,2024.12.31 현재,"18,047,563,869",제 26 기,2023.12.31 현재,"29,259,883,261",제 25 기,2022.12.31 현재,"33,756,234,894",2,KRW
20250728000267,11011,2024,00370200,066430,OFS,재무제표,BS,재무상태표,비유동자산,제 27 기,2024.12.31 현재,"32,202,234,083",제 26 기,2023.12.31 현재,"26,264,205,767",제 25 기,2022.12.31 현재,"22,590,606,376",4,KRW
20250728000267,11011,2024,00370200,066430,OFS,재무제표,BS,재무상태표,자산총계,제 27 기,2024.12.31 현재,"50,249,797,952",제 26 기,2023.12.31 현재,"55,524,089,028",제 25 기,2022.12.31 현재,"56,346,841,270",6,KRW
20250728000267,11011,2024,00370200,066430,OFS,재무제표,BS,재무상태표,유동부채,제 27 기,2024.12.31 현재,"7,632,267,806",제 26 기,2023.12.31 현재,"10,536,275,221",제 25 기,2022.12.31 현재,"17,462,835,004",8,KRW
20250728000267,11011,2024,00370200,066430,OFS,재무제표,BS,재무상태표,비유동부채,제 27 기,2024.12.31 현재,"1,032,932,744",제 26 기,2023.12.31 현재,"2,007,641,666",제 25 기,2022.12.31 현재,"1,235,649,479",10,KRW
20250728000267,11011,2024,00370200,066430,OFS,재무제표,BS,재무상태표,부채총계,제 27 기,2024.12.31 현재,"8,665,200,550",제 26 기,2023.12.31 현재,"12,543,916,887",제 25 기,2022.12.31 현재,"18,698,484,483",12,KRW
20250728000267,11011,2024,00370200,066430,OFS,재무제표,BS,재무상태표,자본금,제 27 기,2024.12.31 현재,"19,576,738,000",제 26 기,2023.12.31 현재,"19,576,738,000",제 25 기,2022.12.31 현재,"18,205,183,000",15,KRW
20250728000267,11011,2024,00370200,066430,OFS,재무제표,BS,재무상태표,이익잉여금,제 27 기,2024.12.31 현재,"1,502,601,992",제 26 기,2023.12.31 현재,"2,898,176,731",제 25 기,2022.12.31 현재,"734,935,061",19,KRW
20250728000267,11011,2024,00370200,066430,OFS,재무제표,BS,재무상태표,자본총계,제 27 기,2024.12.31 현재,"41,584,597,402",제 26 기,2023.12.31 현재,"42,980,172,141",제 25 기,2022.12.31 현재,"37,648,356,787",22,KRW
20250728000267,11011,2024,00370200,066430,OFS,재무제표,IS,손익계산서,매출액,제 27 기,2024.01.01 ~ 2024.12.31,"36,145,453,798",제 26 기,2023.01.01 ~ 2023.12.31,"35,778,569,046",제 25 기,2022.01.01 ~ 2022.12.31,"37,411,357,602",24,KRW
20250728000267,11011,2024,00370200,066430,OFS,재무제표,IS,손익계산서,영업이익,제 27 기,2024.01.01 ~ 2024.12.31,"934,623,490",제 26 기,2023.01.01 ~ 2023.12.31,"129,522,440",제 25 기,2022.01.01 ~ 2022.12.31,"219,378,636",26,KRW
20250728000267,11011,2024,00370200,066430,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 27 기,2024.01.01 ~ 2024.12.31,"-1,484,487,946",제 26 기,2023.01.01 ~ 2023.12.31,"2,803,765,589",제 25 기,2022.01.01 ~ 2022.12.31,"500,835,374",28,KRW
20250728000267,11011,2024,00370200,066430,OFS,재무제표,IS,손익계산서,당기순이익,제 27 기,2024.01.01 ~ 2024.12.31,"-1,484,487,946",제 26 기,2023.01.01 ~ 2023.12.31,"2,803,850,494",제 25 기,2022.01.01 ~ 2022.12.31,"575,800,311",30,KRW
20250728000267,11011,2024,00370200,066430,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 27 기,2024.01.01 ~ 2024.12.31,"-1,484,487,946",제 26 기,2023.01.01 ~ 2023.12.31,"2,803,850,494",제 25 기,2022.01.01 ~ 2022.12.31,"575,800,311",62,KRW
20250728000267,11011,2024,00370200,066430,OFS,재무제표,IS,손익계산서,총포괄손익,제 27 기,2024.01.01 ~ 2024.12.31,"-1,395,574,739",제 26 기,2023.01.01 ~ 2023.12.31,"2,163,241,670",제 25 기,2022.01.01 ~ 2022.12.31,"734,935,061",64,KRW
