rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240321001833,11011,2023,00298377,040910,CFS,연결재무제표,BS,재무상태표,유동자산,제 25 기,2023.12.31 현재,"122,024,965,596",제 24 기,2022.12.31 현재,"113,203,176,618",제 23 기,2021.12.31 현재,"135,061,884,914",1,KRW
20240321001833,11011,2023,00298377,040910,CFS,연결재무제표,BS,재무상태표,비유동자산,제 25 기,2023.12.31 현재,"87,506,509,885",제 24 기,2022.12.31 현재,"89,297,187,722",제 23 기,2021.12.31 현재,"97,787,042,975",3,KRW
20240321001833,11011,2023,00298377,040910,CFS,연결재무제표,BS,재무상태표,자산총계,제 25 기,2023.12.31 현재,"209,531,475,481",제 24 기,2022.12.31 현재,"202,500,364,340",제 23 기,2021.12.31 현재,"232,848,927,889",5,KRW
20240321001833,11011,2023,00298377,040910,CFS,연결재무제표,BS,재무상태표,유동부채,제 25 기,2023.12.31 현재,"71,423,536,501",제 24 기,2022.12.31 현재,"43,015,837,672",제 23 기,2021.12.31 현재,"57,261,875,883",7,KRW
20240321001833,11011,2023,00298377,040910,CFS,연결재무제표,BS,재무상태표,비유동부채,제 25 기,2023.12.31 현재,"7,461,561,875",제 24 기,2022.12.31 현재,"6,238,492,683",제 23 기,2021.12.31 현재,"7,650,342,151",9,KRW
20240321001833,11011,2023,00298377,040910,CFS,연결재무제표,BS,재무상태표,부채총계,제 25 기,2023.12.31 현재,"78,885,098,376",제 24 기,2022.12.31 현재,"49,254,330,355",제 23 기,2021.12.31 현재,"64,912,218,034",11,KRW
20240321001833,11011,2023,00298377,040910,CFS,연결재무제표,BS,재무상태표,자본금,제 25 기,2023.12.31 현재,"9,232,421,000",제 24 기,2022.12.31 현재,"9,032,706,500",제 23 기,2021.12.31 현재,"9,032,706,500",13,KRW
20240321001833,11011,2023,00298377,040910,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 25 기,2023.12.31 현재,"65,691,337,696",제 24 기,2022.12.31 현재,"96,970,485,688",제 23 기,2021.12.31 현재,"106,633,942,395",17,KRW
20240321001833,11011,2023,00298377,040910,CFS,연결재무제표,BS,재무상태표,자본총계,제 25 기,2023.12.31 현재,"130,646,377,105",제 24 기,2022.12.31 현재,"153,246,033,985",제 23 기,2021.12.31 현재,"167,936,709,855",21,KRW
20240321001833,11011,2023,00298377,040910,CFS,연결재무제표,IS,손익계산서,매출액,제 25 기,2023.01.01 ~ 2023.12.31,"62,273,750,997",제 24 기,2022.01.01 ~ 2022.12.31,"150,944,906,368",제 23 기,2021.01.01 ~ 2021.12.31,"115,769,377,778",23,KRW
20240321001833,11011,2023,00298377,040910,CFS,연결재무제표,IS,손익계산서,영업이익,제 25 기,2023.01.01 ~ 2023.12.31,"-37,213,580,426",제 24 기,2022.01.01 ~ 2022.12.31,"-5,051,610,239",제 23 기,2021.01.01 ~ 2021.12.31,"1,710,641,109",25,KRW
20240321001833,11011,2023,00298377,040910,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 25 기,2023.01.01 ~ 2023.12.31,"-41,870,789,681",제 24 기,2022.01.01 ~ 2022.12.31,"-5,342,438,485",제 23 기,2021.01.01 ~ 2021.12.31,"427,185,706",27,KRW
20240321001833,11011,2023,00298377,040910,CFS,연결재무제표,IS,손익계산서,당기순이익,제 25 기,2023.01.01 ~ 2023.12.31,"-37,407,373,008",제 24 기,2022.01.01 ~ 2022.12.31,"-5,419,303,169",제 23 기,2021.01.01 ~ 2021.12.31,"761,807,004",29,KRW
20240321001833,11011,2023,00298377,040910,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 25 기,2023.01.01 ~ 2023.12.31,"-37,407,373,008",제 24 기,2022.01.01 ~ 2022.12.31,"-5,419,303,169",제 23 기,2021.01.01 ~ 2021.12.31,"761,807,004",61,KRW
20240321001833,11011,2023,00298377,040910,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 25 기,2023.01.01 ~ 2023.12.31,"-33,927,642,786",제 24 기,2022.01.01 ~ 2022.12.31,"-6,407,150,368",제 23 기,2021.01.01 ~ 2021.12.31,"1,631,655,177",63,KRW
20240321001833,11011,2023,00298377,040910,OFS,재무제표,BS,재무상태표,유동자산,제 25 기,2023.12.31 현재,"109,761,774,451",제 24 기,2022.12.31 현재,"99,334,478,906",제 23 기,2021.12.31 현재,"125,242,919,343",2,KRW
20240321001833,11011,2023,00298377,040910,OFS,재무제표,BS,재무상태표,비유동자산,제 25 기,2023.12.31 현재,"85,142,655,103",제 24 기,2022.12.31 현재,"87,358,632,604",제 23 기,2021.12.31 현재,"95,429,627,659",4,KRW
20240321001833,11011,2023,00298377,040910,OFS,재무제표,BS,재무상태표,자산총계,제 25 기,2023.12.31 현재,"194,904,429,554",제 24 기,2022.12.31 현재,"186,693,111,510",제 23 기,2021.12.31 현재,"220,672,547,002",6,KRW
20240321001833,11011,2023,00298377,040910,OFS,재무제표,BS,재무상태표,유동부채,제 25 기,2023.12.31 현재,"66,830,769,473",제 24 기,2022.12.31 현재,"38,586,452,951",제 23 기,2021.12.31 현재,"53,864,854,243",8,KRW
20240321001833,11011,2023,00298377,040910,OFS,재무제표,BS,재무상태표,비유동부채,제 25 기,2023.12.31 현재,"6,356,947,905",제 24 기,2022.12.31 현재,"5,736,553,023",제 23 기,2021.12.31 현재,"7,271,962,077",10,KRW
20240321001833,11011,2023,00298377,040910,OFS,재무제표,BS,재무상태표,부채총계,제 25 기,2023.12.31 현재,"73,187,717,378",제 24 기,2022.12.31 현재,"44,323,005,974",제 23 기,2021.12.31 현재,"61,136,816,320",12,KRW
20240321001833,11011,2023,00298377,040910,OFS,재무제표,BS,재무상태표,자본금,제 25 기,2023.12.31 현재,"9,232,421,000",제 24 기,2022.12.31 현재,"9,032,706,500",제 23 기,2021.12.31 현재,"9,032,706,500",15,KRW
20240321001833,11011,2023,00298377,040910,OFS,재무제표,BS,재무상태표,이익잉여금,제 25 기,2023.12.31 현재,"56,751,067,285",제 24 기,2022.12.31 현재,"86,084,125,178",제 23 기,2021.12.31 현재,"98,232,963,222",19,KRW
20240321001833,11011,2023,00298377,040910,OFS,재무제표,BS,재무상태표,자본총계,제 25 기,2023.12.31 현재,"121,716,712,176",제 24 기,2022.12.31 현재,"142,370,105,536",제 23 기,2021.12.31 현재,"159,535,730,682",22,KRW
20240321001833,11011,2023,00298377,040910,OFS,재무제표,IS,손익계산서,매출액,제 25 기,2023.01.01 ~ 2023.12.31,"47,046,487,283",제 24 기,2022.01.01 ~ 2022.12.31,"133,286,402,803",제 23 기,2021.01.01 ~ 2021.12.31,"102,514,250,402",24,KRW
20240321001833,11011,2023,00298377,040910,OFS,재무제표,IS,손익계산서,영업이익,제 25 기,2023.01.01 ~ 2023.12.31,"-36,247,184,363",제 24 기,2022.01.01 ~ 2022.12.31,"-8,152,098,078",제 23 기,2021.01.01 ~ 2021.12.31,"77,379,414",26,KRW
20240321001833,11011,2023,00298377,040910,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 25 기,2023.01.01 ~ 2023.12.31,"-39,695,323,075",제 24 기,2022.01.01 ~ 2022.12.31,"-8,473,073,734",제 23 기,2021.01.01 ~ 2021.12.31,"-1,522,986,982",28,KRW
20240321001833,11011,2023,00298377,040910,OFS,재무제표,IS,손익계산서,당기순이익,제 25 기,2023.01.01 ~ 2023.12.31,"-35,514,044,796",제 24 기,2022.01.01 ~ 2022.12.31,"-8,105,641,800",제 23 기,2021.01.01 ~ 2021.12.31,"-906,508,092",30,KRW
