rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250318001239,11011,2024,00200910,031310,CFS,연결재무제표,BS,재무상태표,유동자산,제 33 기,2024.12.31 현재,"106,705,799,334",제 32 기,2023.12.31 현재,"124,089,200,133",제 31 기,2022.12.31 현재,"133,164,631,508",1,KRW
20250318001239,11011,2024,00200910,031310,CFS,연결재무제표,BS,재무상태표,비유동자산,제 33 기,2024.12.31 현재,"129,277,585,546",제 32 기,2023.12.31 현재,"120,813,204,315",제 31 기,2022.12.31 현재,"113,362,628,648",3,KRW
20250318001239,11011,2024,00200910,031310,CFS,연결재무제표,BS,재무상태표,자산총계,제 33 기,2024.12.31 현재,"240,208,287,640",제 32 기,2023.12.31 현재,"244,902,404,448",제 31 기,2022.12.31 현재,"246,527,260,156",5,KRW
20250318001239,11011,2024,00200910,031310,CFS,연결재무제표,BS,재무상태표,유동부채,제 33 기,2024.12.31 현재,"34,263,478,712",제 32 기,2023.12.31 현재,"57,424,220,101",제 31 기,2022.12.31 현재,"79,417,196,847",7,KRW
20250318001239,11011,2024,00200910,031310,CFS,연결재무제표,BS,재무상태표,비유동부채,제 33 기,2024.12.31 현재,"12,875,829,997",제 32 기,2023.12.31 현재,"4,605,521,481",제 31 기,2022.12.31 현재,"2,636,870,667",9,KRW
20250318001239,11011,2024,00200910,031310,CFS,연결재무제표,BS,재무상태표,부채총계,제 33 기,2024.12.31 현재,"47,139,308,709",제 32 기,2023.12.31 현재,"62,029,741,582",제 31 기,2022.12.31 현재,"82,054,067,514",11,KRW
20250318001239,11011,2024,00200910,031310,CFS,연결재무제표,BS,재무상태표,자본금,제 33 기,2024.12.31 현재,"44,517,205,742",제 32 기,2023.12.31 현재,"33,845,328,316",제 31 기,2022.12.31 현재,"19,495,294,825",13,KRW
20250318001239,11011,2024,00200910,031310,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 33 기,2024.12.31 현재,"91,575,247,106",제 32 기,2023.12.31 현재,"93,129,092,234",제 31 기,2022.12.31 현재,"95,787,193,837",17,KRW
20250318001239,11011,2024,00200910,031310,CFS,연결재무제표,BS,재무상태표,자본총계,제 33 기,2024.12.31 현재,"193,068,978,931",제 32 기,2023.12.31 현재,"182,872,662,866",제 31 기,2022.12.31 현재,"164,473,192,642",21,KRW
20250318001239,11011,2024,00200910,031310,CFS,연결재무제표,IS,손익계산서,매출액,제 33 기,2024.01.01 ~ 2024.12.31,"182,782,663,558",제 32 기,2023.01.01 ~ 2023.12.31,"190,968,431,347",제 31 기,2022.01.01 ~ 2022.12.31,"191,621,557,326",23,KRW
20250318001239,11011,2024,00200910,031310,CFS,연결재무제표,IS,손익계산서,영업이익,제 33 기,2024.01.01 ~ 2024.12.31,"1,024,814,466",제 32 기,2023.01.01 ~ 2023.12.31,"6,785,523,313",제 31 기,2022.01.01 ~ 2022.12.31,"6,344,360,283",25,KRW
20250318001239,11011,2024,00200910,031310,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 33 기,2024.01.01 ~ 2024.12.31,"1,346,545,013",제 32 기,2023.01.01 ~ 2023.12.31,"1,867,908,652",제 31 기,2022.01.01 ~ 2022.12.31,"-14,951,687,915",27,KRW
20250318001239,11011,2024,00200910,031310,CFS,연결재무제표,IS,손익계산서,당기순이익,제 33 기,2024.01.01 ~ 2024.12.31,"-857,697,949",제 32 기,2023.01.01 ~ 2023.12.31,"-807,962,640",제 31 기,2022.01.01 ~ 2022.12.31,"-5,391,275,234",29,KRW
20250318001239,11011,2024,00200910,031310,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 33 기,2024.01.01 ~ 2024.12.31,"-857,697,949",제 32 기,2023.01.01 ~ 2023.12.31,"-807,962,640",제 31 기,2022.01.01 ~ 2022.12.31,"-5,391,275,234",61,KRW
20250318001239,11011,2024,00200910,031310,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 33 기,2024.01.01 ~ 2024.12.31,"-243,010,342",제 32 기,2023.01.01 ~ 2023.12.31,"-3,795,915,313",제 31 기,2022.01.01 ~ 2022.12.31,"-4,154,931,329",63,KRW
20250318001239,11011,2024,00200910,031310,OFS,재무제표,BS,재무상태표,유동자산,제 33 기,2024.12.31 현재,"29,196,114,790",제 32 기,2023.12.31 현재,"35,714,964,644",제 31 기,2022.12.31 현재,"44,195,285,279",2,KRW
20250318001239,11011,2024,00200910,031310,OFS,재무제표,BS,재무상태표,비유동자산,제 33 기,2024.12.31 현재,"102,322,862,663",제 32 기,2023.12.31 현재,"89,003,213,819",제 31 기,2022.12.31 현재,"82,486,051,653",4,KRW
20250318001239,11011,2024,00200910,031310,OFS,재무제표,BS,재무상태표,자산총계,제 33 기,2024.12.31 현재,"131,518,977,453",제 32 기,2023.12.31 현재,"124,718,178,463",제 31 기,2022.12.31 현재,"126,681,336,932",6,KRW
20250318001239,11011,2024,00200910,031310,OFS,재무제표,BS,재무상태표,유동부채,제 33 기,2024.12.31 현재,"16,491,769,343",제 32 기,2023.12.31 현재,"24,363,897,755",제 31 기,2022.12.31 현재,"35,370,746,062",8,KRW
20250318001239,11011,2024,00200910,031310,OFS,재무제표,BS,재무상태표,비유동부채,제 33 기,2024.12.31 현재,"1,323,940,315",제 32 기,2023.12.31 현재,"218,165,448",제 31 기,2022.12.31 현재,"384,067,722",10,KRW
20250318001239,11011,2024,00200910,031310,OFS,재무제표,BS,재무상태표,부채총계,제 33 기,2024.12.31 현재,"17,815,709,658",제 32 기,2023.12.31 현재,"24,582,063,203",제 31 기,2022.12.31 현재,"35,754,813,784",12,KRW
20250318001239,11011,2024,00200910,031310,OFS,재무제표,BS,재무상태표,자본금,제 33 기,2024.12.31 현재,"44,517,205,742",제 32 기,2023.12.31 현재,"33,845,328,316",제 31 기,2022.12.31 현재,"19,495,294,825",15,KRW
20250318001239,11011,2024,00200910,031310,OFS,재무제표,BS,재무상태표,이익잉여금,제 33 기,2024.12.31 현재,"73,948,934,055",제 32 기,2023.12.31 현재,"71,628,851,404",제 31 기,2022.12.31 현재,"75,120,408,268",19,KRW
20250318001239,11011,2024,00200910,031310,OFS,재무제표,BS,재무상태표,자본총계,제 33 기,2024.12.31 현재,"113,703,267,795",제 32 기,2023.12.31 현재,"100,136,115,260",제 31 기,2022.12.31 현재,"90,926,523,148",22,KRW
20250318001239,11011,2024,00200910,031310,OFS,재무제표,IS,손익계산서,매출액,제 33 기,2024.01.01 ~ 2024.12.31,"41,973,463,609",제 32 기,2023.01.01 ~ 2023.12.31,"37,341,312,921",제 31 기,2022.01.01 ~ 2022.12.31,"28,577,329,334",24,KRW
20250318001239,11011,2024,00200910,031310,OFS,재무제표,IS,손익계산서,영업이익,제 33 기,2024.01.01 ~ 2024.12.31,"1,742,348,148",제 32 기,2023.01.01 ~ 2023.12.31,"1,472,437,928",제 31 기,2022.01.01 ~ 2022.12.31,"1,088,541,163",26,KRW
20250318001239,11011,2024,00200910,031310,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 33 기,2024.01.01 ~ 2024.12.31,"4,468,313,983",제 32 기,2023.01.01 ~ 2023.12.31,"-2,088,223,062",제 31 기,2022.01.01 ~ 2022.12.31,"-15,090,786,616",28,KRW
20250318001239,11011,2024,00200910,031310,OFS,재무제표,IS,손익계산서,당기순이익,제 33 기,2024.01.01 ~ 2024.12.31,"2,441,834,124",제 32 기,2023.01.01 ~ 2023.12.31,"-3,293,298,808",제 31 기,2022.01.01 ~ 2022.12.31,"-11,542,961,402",30,KRW
20250318001239,11011,2024,00200910,031310,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 33 기,2024.01.01 ~ 2024.12.31,"2,441,834,124",제 32 기,2023.01.01 ~ 2023.12.31,"-3,293,298,808",제 31 기,2022.01.01 ~ 2022.12.31,"-11,542,961,402",62,KRW
20250318001239,11011,2024,00200910,031310,OFS,재무제표,IS,손익계산서,총포괄손익,제 33 기,2024.01.01 ~ 2024.12.31,"3,048,753,449",제 32 기,2023.01.01 ~ 2023.12.31,"-4,997,063,229",제 31 기,2022.01.01 ~ 2022.12.31,"-10,883,818,605",64,KRW
