rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240313000819,11011,2023,00407285,059100,OFS,재무제표,BS,재무상태표,유동자산,제 24 기,2023.12.31 현재,"23,758,227,840",제 23 기,2022.12.31 현재,"27,785,296,975",제 22 기,2021.12.31 현재,"24,479,800,206",2,KRW
20240313000819,11011,2023,00407285,059100,OFS,재무제표,BS,재무상태표,비유동자산,제 24 기,2023.12.31 현재,"34,194,464,994",제 23 기,2022.12.31 현재,"28,430,360,616",제 22 기,2021.12.31 현재,"26,043,720,792",4,KRW
20240313000819,11011,2023,00407285,059100,OFS,재무제표,BS,재무상태표,자산총계,제 24 기,2023.12.31 현재,"57,952,692,834",제 23 기,2022.12.31 현재,"56,215,657,591",제 22 기,2021.12.31 현재,"50,523,520,998",6,KRW
20240313000819,11011,2023,00407285,059100,OFS,재무제표,BS,재무상태표,유동부채,제 24 기,2023.12.31 현재,"13,861,616,734",제 23 기,2022.12.31 현재,"16,189,022,412",제 22 기,2021.12.31 현재,"15,623,311,200",8,KRW
20240313000819,11011,2023,00407285,059100,OFS,재무제표,BS,재무상태표,비유동부채,제 24 기,2023.12.31 현재,"7,989,047,698",제 23 기,2022.12.31 현재,"5,075,153,794",제 22 기,2021.12.31 현재,"3,137,072,702",10,KRW
20240313000819,11011,2023,00407285,059100,OFS,재무제표,BS,재무상태표,부채총계,제 24 기,2023.12.31 현재,"21,850,664,432",제 23 기,2022.12.31 현재,"21,264,176,206",제 22 기,2021.12.31 현재,"18,760,383,902",12,KRW
20240313000819,11011,2023,00407285,059100,OFS,재무제표,BS,재무상태표,자본금,제 24 기,2023.12.31 현재,"3,535,430,000",제 23 기,2022.12.31 현재,"3,535,430,000",제 22 기,2021.12.31 현재,"3,535,430,000",15,KRW
20240313000819,11011,2023,00407285,059100,OFS,재무제표,BS,재무상태표,이익잉여금,제 24 기,2023.12.31 현재,"1,663,157,122",제 23 기,2022.12.31 현재,"4,247,187,491",제 22 기,2021.12.31 현재,"1,205,144,661",19,KRW
20240313000819,11011,2023,00407285,059100,OFS,재무제표,BS,재무상태표,자본총계,제 24 기,2023.12.31 현재,"36,102,028,402",제 23 기,2022.12.31 현재,"34,951,481,385",제 22 기,2021.12.31 현재,"31,763,137,096",22,KRW
20240313000819,11011,2023,00407285,059100,OFS,재무제표,IS,손익계산서,매출액,제 24 기,2023.01.01 ~ 2023.12.31,"27,349,339,969",제 23 기,2022.01.01 ~ 2022.12.31,"35,305,746,404",제 22 기,2021.01.01 ~ 2021.12.31,"35,296,018,927",24,KRW
20240313000819,11011,2023,00407285,059100,OFS,재무제표,IS,손익계산서,영업이익,제 24 기,2023.01.01 ~ 2023.12.31,"-2,149,500,566",제 23 기,2022.01.01 ~ 2022.12.31,"2,934,887,624",제 22 기,2021.01.01 ~ 2021.12.31,"2,001,564,571",26,KRW
20240313000819,11011,2023,00407285,059100,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 24 기,2023.01.01 ~ 2023.12.31,"-2,626,067,380",제 23 기,2022.01.01 ~ 2022.12.31,"3,249,581,738",제 22 기,2021.01.01 ~ 2021.12.31,"2,711,679,063",28,KRW
20240313000819,11011,2023,00407285,059100,OFS,재무제표,IS,손익계산서,당기순이익,제 24 기,2023.01.01 ~ 2023.12.31,"-2,687,949,203",제 23 기,2022.01.01 ~ 2022.12.31,"3,249,581,738",제 22 기,2021.01.01 ~ 2021.12.31,"2,711,679,063",30,KRW
20240313000819,11011,2023,00407285,059100,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 24 기,2023.01.01 ~ 2023.12.31,"-2,687,949,203",제 23 기,2022.01.01 ~ 2022.12.31,"3,249,581,738",제 22 기,2021.01.01 ~ 2021.12.31,"2,711,679,063",62,KRW
20240313000819,11011,2023,00407285,059100,OFS,재무제표,IS,손익계산서,총포괄손익,제 24 기,2023.01.01 ~ 2023.12.31,"3,249,157,300",제 23 기,2022.01.01 ~ 2022.12.31,"3,042,042,830",제 22 기,2021.01.01 ~ 2021.12.31,"2,581,095,681",64,KRW
