rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250321001016,11011,2024,00111689,009320,CFS,연결재무제표,BS,재무상태표,유동자산,제 52 기,2024.12.31 현재,"43,711,660,683",제 51 기,2023.12.31 현재,"36,289,721,504",제 50 기,2022.12.31 현재,"34,389,415,714",1,KRW
20250321001016,11011,2024,00111689,009320,CFS,연결재무제표,BS,재무상태표,비유동자산,제 52 기,2024.12.31 현재,"58,831,036,623",제 51 기,2023.12.31 현재,"58,303,497,867",제 50 기,2022.12.31 현재,"56,851,814,229",3,KRW
20250321001016,11011,2024,00111689,009320,CFS,연결재무제표,BS,재무상태표,자산총계,제 52 기,2024.12.31 현재,"102,542,697,306",제 51 기,2023.12.31 현재,"94,593,219,371",제 50 기,2022.12.31 현재,"91,241,229,943",5,KRW
20250321001016,11011,2024,00111689,009320,CFS,연결재무제표,BS,재무상태표,유동부채,제 52 기,2024.12.31 현재,"64,711,996,727",제 51 기,2023.12.31 현재,"53,379,181,320",제 50 기,2022.12.31 현재,"54,072,412,106",7,KRW
20250321001016,11011,2024,00111689,009320,CFS,연결재무제표,BS,재무상태표,비유동부채,제 52 기,2024.12.31 현재,"8,917,956,700",제 51 기,2023.12.31 현재,"13,320,253,284",제 50 기,2022.12.31 현재,"11,510,213,792",9,KRW
20250321001016,11011,2024,00111689,009320,CFS,연결재무제표,BS,재무상태표,부채총계,제 52 기,2024.12.31 현재,"73,629,953,427",제 51 기,2023.12.31 현재,"66,699,434,604",제 50 기,2022.12.31 현재,"65,582,625,898",11,KRW
20250321001016,11011,2024,00111689,009320,CFS,연결재무제표,BS,재무상태표,자본금,제 52 기,2024.12.31 현재,"24,649,885,000",제 51 기,2023.12.31 현재,"24,649,885,000",제 50 기,2022.12.31 현재,"23,823,187,500",13,KRW
20250321001016,11011,2024,00111689,009320,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 52 기,2024.12.31 현재,"-11,862,697,918",제 51 기,2023.12.31 현재,"-12,259,630,728",제 50 기,2022.12.31 현재,"-11,817,844,301",17,KRW
20250321001016,11011,2024,00111689,009320,CFS,연결재무제표,BS,재무상태표,자본총계,제 52 기,2024.12.31 현재,"28,912,743,879",제 51 기,2023.12.31 현재,"27,893,784,767",제 50 기,2022.12.31 현재,"25,658,604,045",21,KRW
20250321001016,11011,2024,00111689,009320,CFS,연결재무제표,IS,손익계산서,매출액,제 52 기,2024.01.01 ~ 2024.12.31,"143,497,309,408",제 51 기,2023.01.01 ~ 2023.12.31,"113,444,154,855",제 50 기,2022.01.01 ~ 2022.12.31,"100,501,934,262",23,KRW
20250321001016,11011,2024,00111689,009320,CFS,연결재무제표,IS,손익계산서,영업이익,제 52 기,2024.01.01 ~ 2024.12.31,"5,939,589,951",제 51 기,2023.01.01 ~ 2023.12.31,"2,038,286,352",제 50 기,2022.01.01 ~ 2022.12.31,"-5,760,515,771",25,KRW
20250321001016,11011,2024,00111689,009320,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 52 기,2024.01.01 ~ 2024.12.31,"1,074,640,194",제 51 기,2023.01.01 ~ 2023.12.31,"451,287,712",제 50 기,2022.01.01 ~ 2022.12.31,"-8,133,772,800",27,KRW
20250321001016,11011,2024,00111689,009320,CFS,연결재무제표,IS,손익계산서,당기순이익,제 52 기,2024.01.01 ~ 2024.12.31,"919,231,261",제 51 기,2023.01.01 ~ 2023.12.31,"229,716,397",제 50 기,2022.01.01 ~ 2022.12.31,"-8,743,986,978",29,KRW
20250321001016,11011,2024,00111689,009320,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 52 기,2024.01.01 ~ 2024.12.31,"919,231,261",제 51 기,2023.01.01 ~ 2023.12.31,"229,716,397",제 50 기,2022.01.01 ~ 2022.12.31,"-8,743,986,978",61,KRW
20250321001016,11011,2024,00111689,009320,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 52 기,2024.01.01 ~ 2024.12.31,"1,018,959,112",제 51 기,2023.01.01 ~ 2023.12.31,"-462,817,413",제 50 기,2022.01.01 ~ 2022.12.31,"-9,305,066,439",63,KRW
20250321001016,11011,2024,00111689,009320,OFS,재무제표,BS,재무상태표,유동자산,제 52 기,2024.12.31 현재,"43,640,500,562",제 51 기,2023.12.31 현재,"36,289,721,504",제 50 기,2022.12.31 현재,"34,389,415,714",2,KRW
20250321001016,11011,2024,00111689,009320,OFS,재무제표,BS,재무상태표,비유동자산,제 52 기,2024.12.31 현재,"59,081,855,450",제 51 기,2023.12.31 현재,"58,303,497,867",제 50 기,2022.12.31 현재,"56,851,814,229",4,KRW
20250321001016,11011,2024,00111689,009320,OFS,재무제표,BS,재무상태표,자산총계,제 52 기,2024.12.31 현재,"102,722,356,012",제 51 기,2023.12.31 현재,"94,593,219,371",제 50 기,2022.12.31 현재,"91,241,229,943",6,KRW
20250321001016,11011,2024,00111689,009320,OFS,재무제표,BS,재무상태표,유동부채,제 52 기,2024.12.31 현재,"64,629,067,765",제 51 기,2023.12.31 현재,"53,379,181,320",제 50 기,2022.12.31 현재,"54,072,412,106",8,KRW
20250321001016,11011,2024,00111689,009320,OFS,재무제표,BS,재무상태표,비유동부채,제 52 기,2024.12.31 현재,"8,917,956,700",제 51 기,2023.12.31 현재,"13,320,253,284",제 50 기,2022.12.31 현재,"11,510,213,792",10,KRW
20250321001016,11011,2024,00111689,009320,OFS,재무제표,BS,재무상태표,부채총계,제 52 기,2024.12.31 현재,"73,547,024,465",제 51 기,2023.12.31 현재,"66,699,434,604",제 50 기,2022.12.31 현재,"65,582,625,898",12,KRW
20250321001016,11011,2024,00111689,009320,OFS,재무제표,BS,재무상태표,자본금,제 52 기,2024.12.31 현재,"24,649,885,000",제 51 기,2023.12.31 현재,"24,649,885,000",제 50 기,2022.12.31 현재,"23,823,187,500",15,KRW
20250321001016,11011,2024,00111689,009320,OFS,재무제표,BS,재무상태표,이익잉여금,제 52 기,2024.12.31 현재,"-11,569,575,097",제 51 기,2023.12.31 현재,"-12,259,630,728",제 50 기,2022.12.31 현재,"-11,817,844,301",19,KRW
20250321001016,11011,2024,00111689,009320,OFS,재무제표,BS,재무상태표,자본총계,제 52 기,2024.12.31 현재,"29,175,331,547",제 51 기,2023.12.31 현재,"27,893,784,767",제 50 기,2022.12.31 현재,"25,658,604,045",22,KRW
20250321001016,11011,2024,00111689,009320,OFS,재무제표,IS,손익계산서,매출액,제 52 기,2024.01.01 ~ 2024.12.31,"144,508,341,335",제 51 기,2023.01.01 ~ 2023.12.31,"113,444,154,855",제 50 기,2022.01.01 ~ 2022.12.31,"100,501,934,262",24,KRW
20250321001016,11011,2024,00111689,009320,OFS,재무제표,IS,손익계산서,영업이익,제 52 기,2024.01.01 ~ 2024.12.31,"6,232,911,490",제 51 기,2023.01.01 ~ 2023.12.31,"2,038,286,352",제 50 기,2022.01.01 ~ 2022.12.31,"-5,760,515,771",26,KRW
20250321001016,11011,2024,00111689,009320,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 52 기,2024.01.01 ~ 2024.12.31,"1,367,763,015",제 51 기,2023.01.01 ~ 2023.12.31,"451,287,712",제 50 기,2022.01.01 ~ 2022.12.31,"-8,133,772,800",28,KRW
20250321001016,11011,2024,00111689,009320,OFS,재무제표,IS,손익계산서,당기순이익,제 52 기,2024.01.01 ~ 2024.12.31,"1,212,354,082",제 51 기,2023.01.01 ~ 2023.12.31,"229,716,397",제 50 기,2022.01.01 ~ 2022.12.31,"-8,743,986,978",30,KRW
20250321001016,11011,2024,00111689,009320,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 52 기,2024.01.01 ~ 2024.12.31,"1,212,354,082",제 51 기,2023.01.01 ~ 2023.12.31,"229,716,397",제 50 기,2022.01.01 ~ 2022.12.31,"-8,743,986,978",62,KRW
20250321001016,11011,2024,00111689,009320,OFS,재무제표,IS,손익계산서,총포괄손익,제 52 기,2024.01.01 ~ 2024.12.31,"1,281,546,780",제 51 기,2023.01.01 ~ 2023.12.31,"-462,817,413",제 50 기,2022.01.01 ~ 2022.12.31,"-9,305,066,439",64,KRW
