rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240805000298,11011,2022,01405451,347860,CFS,연결재무제표,BS,재무상태표,유동자산,제 7 기,2022.12.31 현재,"49,851,515,221",제 6 기,2021.12.31 현재,"67,968,488,163",제 5 기,2020.12.31 현재,"26,541,373,852",1,KRW
20240805000298,11011,2022,01405451,347860,CFS,연결재무제표,BS,재무상태표,비유동자산,제 7 기,2022.12.31 현재,"9,195,007,685",제 6 기,2021.12.31 현재,"6,966,988,968",제 5 기,2020.12.31 현재,"3,967,484,520",3,KRW
20240805000298,11011,2022,01405451,347860,CFS,연결재무제표,BS,재무상태표,자산총계,제 7 기,2022.12.31 현재,"59,046,522,906",제 6 기,2021.12.31 현재,"74,935,477,131",제 5 기,2020.12.31 현재,"30,508,858,372",5,KRW
20240805000298,11011,2022,01405451,347860,CFS,연결재무제표,BS,재무상태표,유동부채,제 7 기,2022.12.31 현재,"6,928,528,806",제 6 기,2021.12.31 현재,"3,918,459,406",제 5 기,2020.12.31 현재,"1,690,012,511",7,KRW
20240805000298,11011,2022,01405451,347860,CFS,연결재무제표,BS,재무상태표,비유동부채,제 7 기,2022.12.31 현재,"17,615,825,302",제 6 기,2021.12.31 현재,"54,461,321,327",제 5 기,2020.12.31 현재,"1,140,070,627",9,KRW
20240805000298,11011,2022,01405451,347860,CFS,연결재무제표,BS,재무상태표,부채총계,제 7 기,2022.12.31 현재,"24,544,354,108",제 6 기,2021.12.31 현재,"58,379,780,733",제 5 기,2020.12.31 현재,"2,830,083,138",11,KRW
20240805000298,11011,2022,01405451,347860,CFS,연결재무제표,BS,재무상태표,자본금,제 7 기,2022.12.31 현재,"10,770,566,000",제 6 기,2021.12.31 현재,"6,860,141,500",제 5 기,2020.12.31 현재,"6,684,397,000",13,KRW
20240805000298,11011,2022,01405451,347860,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 7 기,2022.12.31 현재,"-49,071,386,136",제 6 기,2021.12.31 현재,"-35,601,886,548",제 5 기,2020.12.31 현재,"-21,308,899,994",17,KRW
20240805000298,11011,2022,01405451,347860,CFS,연결재무제표,BS,재무상태표,자본총계,제 7 기,2022.12.31 현재,"34,502,168,798",제 6 기,2021.12.31 현재,"16,555,696,398",제 5 기,2020.12.31 현재,"27,678,775,234",21,KRW
20240805000298,11011,2022,01405451,347860,CFS,연결재무제표,IS,손익계산서,영업이익,제 7 기,2022.01.01 ~ 2022.12.31,"-16,850,508,679",제 6 기,2021.01.01 ~ 2021.12.31,"-11,140,479,077",제 5 기,2020.01.01 ~ 2020.12.31,"-5,120,236,634",25,KRW
20240805000298,11011,2022,01405451,347860,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 7 기,2022.01.01 ~ 2022.12.31,"-14,142,547,507",제 6 기,2021.01.01 ~ 2021.12.31,"-13,820,590,126",제 5 기,2020.01.01 ~ 2020.12.31,"-3,704,783,204",27,KRW
20240805000298,11011,2022,01405451,347860,CFS,연결재무제표,IS,손익계산서,당기순이익,제 7 기,2022.01.01 ~ 2022.12.31,"-14,142,547,507",제 6 기,2021.01.01 ~ 2021.12.31,"-13,869,060,865",제 5 기,2020.01.01 ~ 2020.12.31,"-3,704,924,810",29,KRW
20240805000298,11011,2022,01405451,347860,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 7 기,2022.01.01 ~ 2022.12.31,"-14,142,547,507",제 6 기,2021.01.01 ~ 2021.12.31,"-13,869,060,865",제 5 기,2020.01.01 ~ 2020.12.31,"-3,704,924,810",61,KRW
20240805000298,11011,2022,01405451,347860,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 7 기,2022.01.01 ~ 2022.12.31,"-13,677,575,025",제 6 기,2021.01.01 ~ 2021.12.31,"-14,269,197,468",제 5 기,2020.01.01 ~ 2020.12.31,"-3,812,359,624",63,KRW
20240805000298,11011,2022,01405451,347860,OFS,재무제표,BS,재무상태표,유동자산,제 7 기,2022.12.31 현재,"50,067,717,998",제 6 기,2021.12.31 현재,"67,113,000,831",제 5 기,2020.12.31 현재,"26,422,539,740",2,KRW
20240805000298,11011,2022,01405451,347860,OFS,재무제표,BS,재무상태표,비유동자산,제 7 기,2022.12.31 현재,"8,674,638,838",제 6 기,2021.12.31 현재,"7,266,698,195",제 5 기,2020.12.31 현재,"3,712,817,788",4,KRW
20240805000298,11011,2022,01405451,347860,OFS,재무제표,BS,재무상태표,자산총계,제 7 기,2022.12.31 현재,"58,742,356,836",제 6 기,2021.12.31 현재,"74,379,699,026",제 5 기,2020.12.31 현재,"30,135,357,528",6,KRW
20240805000298,11011,2022,01405451,347860,OFS,재무제표,BS,재무상태표,유동부채,제 7 기,2022.12.31 현재,"6,242,102,233",제 6 기,2021.12.31 현재,"3,602,922,610",제 5 기,2020.12.31 현재,"1,609,345,879",8,KRW
20240805000298,11011,2022,01405451,347860,OFS,재무제표,BS,재무상태표,비유동부채,제 7 기,2022.12.31 현재,"17,486,019,011",제 6 기,2021.12.31 현재,"54,231,803,775",제 5 기,2020.12.31 현재,"1,049,873,256",10,KRW
20240805000298,11011,2022,01405451,347860,OFS,재무제표,BS,재무상태표,부채총계,제 7 기,2022.12.31 현재,"23,728,121,244",제 6 기,2021.12.31 현재,"57,834,726,385",제 5 기,2020.12.31 현재,"2,659,219,135",12,KRW
20240805000298,11011,2022,01405451,347860,OFS,재무제표,BS,재무상태표,자본금,제 7 기,2022.12.31 현재,"10,770,566,000",제 6 기,2021.12.31 현재,"6,860,141,500",제 5 기,2020.12.31 현재,"6,684,397,000",15,KRW
20240805000298,11011,2022,01405451,347860,OFS,재무제표,BS,재무상태표,이익잉여금,제 7 기,2022.12.31 현재,"-48,700,243,617",제 6 기,2021.12.31 현재,"-35,546,117,616",제 5 기,2020.12.31 현재,"-21,519,063,082",19,KRW
20240805000298,11011,2022,01405451,347860,OFS,재무제표,BS,재무상태표,자본총계,제 7 기,2022.12.31 현재,"35,014,235,592",제 6 기,2021.12.31 현재,"16,544,972,641",제 5 기,2020.12.31 현재,"27,476,138,393",22,KRW
20240805000298,11011,2022,01405451,347860,OFS,재무제표,IS,손익계산서,영업이익,제 7 기,2022.01.01 ~ 2022.12.31,"-14,348,441,176",제 6 기,2021.01.01 ~ 2021.12.31,"-11,260,266,302",제 5 기,2020.01.01 ~ 2020.12.31,"-5,101,085,453",26,KRW
20240805000298,11011,2022,01405451,347860,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 7 기,2022.01.01 ~ 2022.12.31,"-13,611,525,118",제 6 기,2021.01.01 ~ 2021.12.31,"-13,573,572,115",제 5 기,2020.01.01 ~ 2020.12.31,"-3,757,515,587",28,KRW
20240805000298,11011,2022,01405451,347860,OFS,재무제표,IS,손익계산서,당기순이익,제 7 기,2022.01.01 ~ 2022.12.31,"-13,611,525,118",제 6 기,2021.01.01 ~ 2021.12.31,"-13,603,128,845",제 5 기,2020.01.01 ~ 2020.12.31,"-3,757,515,587",30,KRW
20240805000298,11011,2022,01405451,347860,OFS,재무제표,BS,재무상태표,파생상품자산,제 7 기,2022.12.31 현재,"85,629,000",제 6 기,2021.12.31 현재,-,제 5 기,2020.12.31 현재,-,48,KRW
20240805000298,11011,2022,01405451,347860,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 7 기,2022.01.01 ~ 2022.12.31,"-13,611,525,118",제 6 기,2021.01.01 ~ 2021.12.31,"-13,603,128,845",제 5 기,2020.01.01 ~ 2020.12.31,"-3,757,515,587",62,KRW
20240805000298,11011,2022,01405451,347860,OFS,재무제표,IS,손익계산서,총포괄손익,제 7 기,2022.01.01 ~ 2022.12.31,"-13,154,126,001",제 6 기,2021.01.01 ~ 2021.12.31,"-14,027,054,534",제 5 기,2020.01.01 ~ 2020.12.31,"-3,857,379,120",64,KRW
