rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20230320000870,11011,2022,00821607,123750,CFS,연결재무제표,BS,재무상태표,유동자산,제 13 기,2022.12.31 현재,"33,946,770,400",제 12 기,2021.12.31 현재,"37,344,508,297",제 11 기,2020.12.31 현재,"25,491,706,691",1,KRW
20230320000870,11011,2022,00821607,123750,CFS,연결재무제표,BS,재무상태표,비유동자산,제 13 기,2022.12.31 현재,"7,678,486,237",제 12 기,2021.12.31 현재,"8,193,184,475",제 11 기,2020.12.31 현재,"7,411,391,074",3,KRW
20230320000870,11011,2022,00821607,123750,CFS,연결재무제표,BS,재무상태표,자산총계,제 13 기,2022.12.31 현재,"41,625,256,637",제 12 기,2021.12.31 현재,"45,537,692,772",제 11 기,2020.12.31 현재,"32,903,097,765",5,KRW
20230320000870,11011,2022,00821607,123750,CFS,연결재무제표,BS,재무상태표,유동부채,제 13 기,2022.12.31 현재,"14,294,031,802",제 12 기,2021.12.31 현재,"17,438,929,145",제 11 기,2020.12.31 현재,"10,963,161,260",7,KRW
20230320000870,11011,2022,00821607,123750,CFS,연결재무제표,BS,재무상태표,비유동부채,제 13 기,2022.12.31 현재,"242,942,792",제 12 기,2021.12.31 현재,"450,968,854",제 11 기,2020.12.31 현재,"398,118,030",9,KRW
20230320000870,11011,2022,00821607,123750,CFS,연결재무제표,BS,재무상태표,부채총계,제 13 기,2022.12.31 현재,"14,536,974,594",제 12 기,2021.12.31 현재,"17,889,897,999",제 11 기,2020.12.31 현재,"11,361,279,290",11,KRW
20230320000870,11011,2022,00821607,123750,CFS,연결재무제표,BS,재무상태표,자본금,제 13 기,2022.12.31 현재,"6,373,148,500",제 12 기,2021.12.31 현재,"6,373,148,500",제 11 기,2020.12.31 현재,"6,373,148,500",13,KRW
20230320000870,11011,2022,00821607,123750,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 13 기,2022.12.31 현재,"-6,881,427,237",제 12 기,2021.12.31 현재,"-6,174,476,188",제 11 기,2020.12.31 현재,"-11,020,507,851",17,KRW
20230320000870,11011,2022,00821607,123750,CFS,연결재무제표,BS,재무상태표,자본총계,제 13 기,2022.12.31 현재,"27,088,282,043",제 12 기,2021.12.31 현재,"27,647,794,773",제 11 기,2020.12.31 현재,"21,541,818,475",21,KRW
20230320000870,11011,2022,00821607,123750,CFS,연결재무제표,IS,손익계산서,매출액,제 13 기,2022.01.01 ~ 2022.12.31,"51,317,871,455",제 12 기,2021.01.01 ~ 2021.12.31,"49,991,547,253",제 11 기,2020.01.01 ~ 2020.12.31,"44,906,054,307",23,KRW
20230320000870,11011,2022,00821607,123750,CFS,연결재무제표,IS,손익계산서,영업이익,제 13 기,2022.01.01 ~ 2022.12.31,"2,086,327,179",제 12 기,2021.01.01 ~ 2021.12.31,"4,943,252,151",제 11 기,2020.01.01 ~ 2020.12.31,"5,251,822,269",25,KRW
