rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240321001665,11011,2023,00942131,238090,CFS,연결재무제표,BS,재무상태표,유동자산,제 14 기,2023.12.31 현재,"83,296,465,050",제 13 기,2022.12.31 현재,"106,599,332,053",제 12 기,2021.12.31 현재,"188,202,159,527",1,KRW
20240321001665,11011,2023,00942131,238090,CFS,연결재무제표,BS,재무상태표,비유동자산,제 14 기,2023.12.31 현재,"57,826,854,748",제 13 기,2022.12.31 현재,"66,407,018,112",제 12 기,2021.12.31 현재,"43,696,879,369",3,KRW
20240321001665,11011,2023,00942131,238090,CFS,연결재무제표,BS,재무상태표,자산총계,제 14 기,2023.12.31 현재,"141,123,319,798",제 13 기,2022.12.31 현재,"173,006,350,165",제 12 기,2021.12.31 현재,"231,899,038,896",5,KRW
20240321001665,11011,2023,00942131,238090,CFS,연결재무제표,BS,재무상태표,유동부채,제 14 기,2023.12.31 현재,"10,083,981,705",제 13 기,2022.12.31 현재,"31,773,307,514",제 12 기,2021.12.31 현재,"52,222,516,517",7,KRW
20240321001665,11011,2023,00942131,238090,CFS,연결재무제표,BS,재무상태표,비유동부채,제 14 기,2023.12.31 현재,"6,226,130,633",제 13 기,2022.12.31 현재,"1,041,105,267",제 12 기,2021.12.31 현재,"9,735,610,332",9,KRW
20240321001665,11011,2023,00942131,238090,CFS,연결재무제표,BS,재무상태표,부채총계,제 14 기,2023.12.31 현재,"16,310,112,338",제 13 기,2022.12.31 현재,"32,814,412,781",제 12 기,2021.12.31 현재,"61,958,126,849",11,KRW
20240321001665,11011,2023,00942131,238090,CFS,연결재무제표,BS,재무상태표,자본금,제 14 기,2023.12.31 현재,"12,206,139,500",제 13 기,2022.12.31 현재,"12,206,139,500",제 12 기,2021.12.31 현재,"12,019,061,000",13,KRW
20240321001665,11011,2023,00942131,238090,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 14 기,2023.12.31 현재,"4,597,155,238",제 13 기,2022.12.31 현재,"22,373,756,201",제 12 기,2021.12.31 현재,"41,917,372,972",17,KRW
20240321001665,11011,2023,00942131,238090,CFS,연결재무제표,BS,재무상태표,자본총계,제 14 기,2023.12.31 현재,"124,813,207,460",제 13 기,2022.12.31 현재,"140,191,937,384",제 12 기,2021.12.31 현재,"169,940,912,047",21,KRW
20240321001665,11011,2023,00942131,238090,CFS,연결재무제표,IS,손익계산서,매출액,제 14 기,2023.01.01 ~ 2023.12.31,"48,866,901,806",제 13 기,2022.01.01 ~ 2022.12.31,"89,315,793,393",제 12 기,2021.01.01 ~ 2021.12.31,"62,992,061,014",23,KRW
20240321001665,11011,2023,00942131,238090,CFS,연결재무제표,IS,손익계산서,영업이익,제 14 기,2023.01.01 ~ 2023.12.31,"-4,121,556,373",제 13 기,2022.01.01 ~ 2022.12.31,"3,716,058,221",제 12 기,2021.01.01 ~ 2021.12.31,"5,975,907,545",25,KRW
20240321001665,11011,2023,00942131,238090,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 14 기,2023.01.01 ~ 2023.12.31,"-6,646,047,903",제 13 기,2022.01.01 ~ 2022.12.31,"-22,675,794,951",제 12 기,2021.01.01 ~ 2021.12.31,"21,158,097,295",27,KRW
20240321001665,11011,2023,00942131,238090,CFS,연결재무제표,IS,손익계산서,당기순이익,제 14 기,2023.01.01 ~ 2023.12.31,"-13,798,116,487",제 13 기,2022.01.01 ~ 2022.12.31,"-21,527,253,434",제 12 기,2021.01.01 ~ 2021.12.31,"17,662,446,349",29,KRW
20240321001665,11011,2023,00942131,238090,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 14 기,2023.01.01 ~ 2023.12.31,"-13,798,116,487",제 13 기,2022.01.01 ~ 2022.12.31,"-21,527,253,434",제 12 기,2021.01.01 ~ 2021.12.31,"17,662,446,349",61,KRW
20240321001665,11011,2023,00942131,238090,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 14 기,2023.01.01 ~ 2023.12.31,"-13,845,995,072",제 13 기,2022.01.01 ~ 2022.12.31,"-21,339,081,314",제 12 기,2021.01.01 ~ 2021.12.31,"17,759,461,450",63,KRW
20240321001665,11011,2023,00942131,238090,OFS,재무제표,BS,재무상태표,유동자산,제 14 기,2023.12.31 현재,"66,127,826,314",제 13 기,2022.12.31 현재,"88,371,296,998",제 12 기,2021.12.31 현재,"133,420,751,438",2,KRW
20240321001665,11011,2023,00942131,238090,OFS,재무제표,BS,재무상태표,비유동자산,제 14 기,2023.12.31 현재,"80,438,401,795",제 13 기,2022.12.31 현재,"80,855,751,704",제 12 기,2021.12.31 현재,"48,189,941,904",4,KRW
20240321001665,11011,2023,00942131,238090,OFS,재무제표,BS,재무상태표,자산총계,제 14 기,2023.12.31 현재,"146,566,228,109",제 13 기,2022.12.31 현재,"169,227,048,702",제 12 기,2021.12.31 현재,"181,610,693,342",6,KRW
20240321001665,11011,2023,00942131,238090,OFS,재무제표,BS,재무상태표,유동부채,제 14 기,2023.12.31 현재,"4,923,056,743",제 13 기,2022.12.31 현재,"21,755,806,757",제 12 기,2021.12.31 현재,"9,175,991,379",8,KRW
20240321001665,11011,2023,00942131,238090,OFS,재무제표,BS,재무상태표,비유동부채,제 14 기,2023.12.31 현재,"6,159,285,303",제 13 기,2022.12.31 현재,"804,891,486",제 12 기,2021.12.31 현재,"8,291,104,293",10,KRW
20240321001665,11011,2023,00942131,238090,OFS,재무제표,BS,재무상태표,부채총계,제 14 기,2023.12.31 현재,"11,082,342,046",제 13 기,2022.12.31 현재,"22,560,698,243",제 12 기,2021.12.31 현재,"17,467,095,672",12,KRW
20240321001665,11011,2023,00942131,238090,OFS,재무제표,BS,재무상태표,자본금,제 14 기,2023.12.31 현재,"12,206,139,500",제 13 기,2022.12.31 현재,"12,206,139,500",제 12 기,2021.12.31 현재,"12,019,061,000",15,KRW
20240321001665,11011,2023,00942131,238090,OFS,재무제표,BS,재무상태표,이익잉여금,제 14 기,2023.12.31 현재,"9,170,684,914",제 13 기,2022.12.31 현재,"24,396,578,023",제 12 기,2021.12.31 현재,"45,303,909,851",19,KRW
20240321001665,11011,2023,00942131,238090,OFS,재무제표,BS,재무상태표,자본총계,제 14 기,2023.12.31 현재,"135,483,886,063",제 13 기,2022.12.31 현재,"146,666,350,459",제 12 기,2021.12.31 현재,"164,143,597,670",22,KRW
20240321001665,11011,2023,00942131,238090,OFS,재무제표,IS,손익계산서,매출액,제 14 기,2023.01.01 ~ 2023.12.31,"44,359,437,044",제 13 기,2022.01.01 ~ 2022.12.31,"43,867,304,851",제 12 기,2021.01.01 ~ 2021.12.31,"60,400,451,802",24,KRW
20240321001665,11011,2023,00942131,238090,OFS,재무제표,IS,손익계산서,영업이익,제 14 기,2023.01.01 ~ 2023.12.31,"802,276,262",제 13 기,2022.01.01 ~ 2022.12.31,"1,241,506,571",제 12 기,2021.01.01 ~ 2021.12.31,"9,931,964,213",26,KRW
20240321001665,11011,2023,00942131,238090,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 14 기,2023.01.01 ~ 2023.12.31,"-4,313,428,542",제 13 기,2022.01.01 ~ 2022.12.31,"-21,171,707,407",제 12 기,2021.01.01 ~ 2021.12.31,"22,579,636,520",28,KRW
20240321001665,11011,2023,00942131,238090,OFS,재무제표,IS,손익계산서,당기순이익,제 14 기,2023.01.01 ~ 2023.12.31,"-11,221,750,439",제 13 기,2022.01.01 ~ 2022.12.31,"-21,104,294,457",제 12 기,2021.01.01 ~ 2021.12.31,"14,872,898,304",30,KRW
20240321001665,11011,2023,00942131,238090,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 14 기,2023.01.01 ~ 2023.12.31,"-11,221,750,439",제 13 기,2022.01.01 ~ 2022.12.31,"-21,104,294,457",제 12 기,2021.01.01 ~ 2021.12.31,"14,872,898,304",62,KRW
20240321001665,11011,2023,00942131,238090,OFS,재무제표,IS,손익계산서,총포괄손익,제 14 기,2023.01.01 ~ 2023.12.31,"-11,276,611,551",제 13 기,2022.01.01 ~ 2022.12.31,"-20,825,877,319",제 12 기,2021.01.01 ~ 2021.12.31,"14,835,887,985",64,KRW
