rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240318000417,11011,2023,01073678,238120,CFS,연결재무제표,BS,재무상태표,유동자산,제 16 기,2023.12.31 현재,"21,602,867,611",제 15 기,2022.12.31 현재,"19,551,898,909",제 14 기,2021.12.31 현재,"18,385,606,825",1,KRW
20240318000417,11011,2023,01073678,238120,CFS,연결재무제표,BS,재무상태표,비유동자산,제 16 기,2023.12.31 현재,"19,328,994,056",제 15 기,2022.12.31 현재,"17,349,587,736",제 14 기,2021.12.31 현재,"16,083,891,090",3,KRW
20240318000417,11011,2023,01073678,238120,CFS,연결재무제표,BS,재무상태표,자산총계,제 16 기,2023.12.31 현재,"40,931,861,667",제 15 기,2022.12.31 현재,"36,901,486,645",제 14 기,2021.12.31 현재,"34,469,497,915",5,KRW
20240318000417,11011,2023,01073678,238120,CFS,연결재무제표,BS,재무상태표,유동부채,제 16 기,2023.12.31 현재,"5,238,030,181",제 15 기,2022.12.31 현재,"1,333,198,695",제 14 기,2021.12.31 현재,"1,417,315,834",7,KRW
20240318000417,11011,2023,01073678,238120,CFS,연결재무제표,BS,재무상태표,비유동부채,제 16 기,2023.12.31 현재,"4,382,348,834",제 15 기,2022.12.31 현재,"6,718,557,878",제 14 기,2021.12.31 현재,"6,060,017,813",9,KRW
20240318000417,11011,2023,01073678,238120,CFS,연결재무제표,BS,재무상태표,부채총계,제 16 기,2023.12.31 현재,"9,620,379,015",제 15 기,2022.12.31 현재,"8,051,756,573",제 14 기,2021.12.31 현재,"7,477,333,647",11,KRW
20240318000417,11011,2023,01073678,238120,CFS,연결재무제표,BS,재무상태표,자본금,제 16 기,2023.12.31 현재,"7,189,448,000",제 15 기,2022.12.31 현재,"3,594,724,000",제 14 기,2021.12.31 현재,"3,594,724,000",13,KRW
20240318000417,11011,2023,01073678,238120,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 16 기,2023.12.31 현재,"1,679,971,886",제 15 기,2022.12.31 현재,"-1,201,844,134",제 14 기,2021.12.31 현재,"-2,936,362,805",17,KRW
20240318000417,11011,2023,01073678,238120,CFS,연결재무제표,BS,재무상태표,자본총계,제 16 기,2023.12.31 현재,"31,311,482,652",제 15 기,2022.12.31 현재,"28,849,730,072",제 14 기,2021.12.31 현재,"26,992,164,268",21,KRW
20240318000417,11011,2023,01073678,238120,CFS,연결재무제표,IS,손익계산서,매출액,제 16 기,2023.01.01 ~ 2023.12.31,"15,214,698,591",제 15 기,2022.01.01 ~ 2022.12.31,"13,752,579,320",제 14 기,2021.01.01 ~ 2021.12.31,"11,761,977,467",23,KRW
20240318000417,11011,2023,01073678,238120,CFS,연결재무제표,IS,손익계산서,영업이익,제 16 기,2023.01.01 ~ 2023.12.31,"3,337,080,633",제 15 기,2022.01.01 ~ 2022.12.31,"2,849,002,252",제 14 기,2021.01.01 ~ 2021.12.31,"2,178,935,858",25,KRW
20240318000417,11011,2023,01073678,238120,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 16 기,2023.01.01 ~ 2023.12.31,"3,424,176,552",제 15 기,2022.01.01 ~ 2022.12.31,"2,442,261,843",제 14 기,2021.01.01 ~ 2021.12.31,"3,812,508,326",27,KRW
20240318000417,11011,2023,01073678,238120,CFS,연결재무제표,IS,손익계산서,당기순이익,제 16 기,2023.01.01 ~ 2023.12.31,"3,236,017,811",제 15 기,2022.01.01 ~ 2022.12.31,"2,332,756,887",제 14 기,2021.01.01 ~ 2021.12.31,"5,541,665,889",29,KRW
20240318000417,11011,2023,01073678,238120,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 16 기,2023.01.01 ~ 2023.12.31,"3,236,017,811",제 15 기,2022.01.01 ~ 2022.12.31,"2,332,756,887",제 14 기,2021.01.01 ~ 2021.12.31,"5,541,665,889",61,KRW
20240318000417,11011,2023,01073678,238120,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 16 기,2023.01.01 ~ 2023.12.31,"2,480,070,240",제 15 기,2022.01.01 ~ 2022.12.31,"1,857,565,804",제 14 기,2021.01.01 ~ 2021.12.31,"5,528,529,380",63,KRW
20240318000417,11011,2023,01073678,238120,OFS,재무제표,BS,재무상태표,유동자산,제 16 기,2023.12.31 현재,"19,767,536,303",제 15 기,2022.12.31 현재,"18,219,313,415",제 14 기,2021.12.31 현재,"17,058,129,347",2,KRW
20240318000417,11011,2023,01073678,238120,OFS,재무제표,BS,재무상태표,비유동자산,제 16 기,2023.12.31 현재,"21,062,870,857",제 15 기,2022.12.31 현재,"18,654,948,707",제 14 기,2021.12.31 현재,"17,631,203,138",4,KRW
20240318000417,11011,2023,01073678,238120,OFS,재무제표,BS,재무상태표,자산총계,제 16 기,2023.12.31 현재,"40,830,407,160",제 15 기,2022.12.31 현재,"36,874,262,122",제 14 기,2021.12.31 현재,"34,689,332,485",6,KRW
20240318000417,11011,2023,01073678,238120,OFS,재무제표,BS,재무상태표,유동부채,제 16 기,2023.12.31 현재,"5,000,723,947",제 15 기,2022.12.31 현재,"1,099,553,381",제 14 기,2021.12.31 현재,"1,294,404,499",8,KRW
20240318000417,11011,2023,01073678,238120,OFS,재무제표,BS,재무상태표,비유동부채,제 16 기,2023.12.31 현재,"4,382,348,834",제 15 기,2022.12.31 현재,"6,718,557,878",제 14 기,2021.12.31 현재,"6,060,017,813",10,KRW
20240318000417,11011,2023,01073678,238120,OFS,재무제표,BS,재무상태표,부채총계,제 16 기,2023.12.31 현재,"9,383,072,781",제 15 기,2022.12.31 현재,"7,818,111,259",제 14 기,2021.12.31 현재,"7,354,422,312",12,KRW
20240318000417,11011,2023,01073678,238120,OFS,재무제표,BS,재무상태표,자본금,제 16 기,2023.12.31 현재,"7,189,448,000",제 15 기,2022.12.31 현재,"3,594,724,000",제 14 기,2021.12.31 현재,"3,594,724,000",15,KRW
20240318000417,11011,2023,01073678,238120,OFS,재무제표,BS,재무상태표,이익잉여금,제 16 기,2023.12.31 현재,"1,611,976,469",제 15 기,2022.12.31 현재,"-797,524,707",제 14 기,2021.12.31 현재,"-2,518,765,397",19,KRW
20240318000417,11011,2023,01073678,238120,OFS,재무제표,BS,재무상태표,자본총계,제 16 기,2023.12.31 현재,"31,447,334,379",제 15 기,2022.12.31 현재,"29,056,150,863",제 14 기,2021.12.31 현재,"27,334,910,173",22,KRW
