rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250320000739,11011,2024,00169215,019990,CFS,연결재무제표,BS,재무상태표,유동자산,제 38 기,2024.12.31 현재,"20,766,720,080",제 37 기,2023.12.31 현재,"21,759,773,534",제 36 기,2022.12.31 현재,"24,946,431,476",1,KRW
20250320000739,11011,2024,00169215,019990,CFS,연결재무제표,BS,재무상태표,비유동자산,제 38 기,2024.12.31 현재,"23,920,172,393",제 37 기,2023.12.31 현재,"24,024,311,780",제 36 기,2022.12.31 현재,"26,793,571,486",3,KRW
20250320000739,11011,2024,00169215,019990,CFS,연결재무제표,BS,재무상태표,자산총계,제 38 기,2024.12.31 현재,"44,686,892,473",제 37 기,2023.12.31 현재,"45,784,085,314",제 36 기,2022.12.31 현재,"51,740,002,962",5,KRW
20250320000739,11011,2024,00169215,019990,CFS,연결재무제표,BS,재무상태표,유동부채,제 38 기,2024.12.31 현재,"2,418,107,525",제 37 기,2023.12.31 현재,"4,730,079,790",제 36 기,2022.12.31 현재,"6,741,144,959",7,KRW
20250320000739,11011,2024,00169215,019990,CFS,연결재무제표,BS,재무상태표,비유동부채,제 38 기,2024.12.31 현재,"678,909,925",제 37 기,2023.12.31 현재,"875,696,967",제 36 기,2022.12.31 현재,"599,099,079",9,KRW
20250320000739,11011,2024,00169215,019990,CFS,연결재무제표,BS,재무상태표,부채총계,제 38 기,2024.12.31 현재,"3,097,017,450",제 37 기,2023.12.31 현재,"5,605,776,757",제 36 기,2022.12.31 현재,"7,340,244,038",11,KRW
20250320000739,11011,2024,00169215,019990,CFS,연결재무제표,BS,재무상태표,자본금,제 38 기,2024.12.31 현재,"4,878,044,000",제 37 기,2023.12.31 현재,"4,878,044,000",제 36 기,2022.12.31 현재,"4,878,044,000",13,KRW
20250320000739,11011,2024,00169215,019990,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 38 기,2024.12.31 현재,"29,838,229,278",제 37 기,2023.12.31 현재,"29,773,548,349",제 36 기,2022.12.31 현재,"30,977,616,506",17,KRW
20250320000739,11011,2024,00169215,019990,CFS,연결재무제표,BS,재무상태표,자본총계,제 38 기,2024.12.31 현재,"41,589,875,023",제 37 기,2023.12.31 현재,"40,178,308,557",제 36 기,2022.12.31 현재,"44,399,758,924",21,KRW
20250320000739,11011,2024,00169215,019990,CFS,연결재무제표,IS,손익계산서,매출액,제 38 기,2024.01.01 ~ 2024.12.31,"25,161,078,103",제 37 기,2023.01.01 ~ 2023.12.31,"26,943,911,903",제 36 기,2022.01.01 ~ 2022.12.31,"26,287,076,336",23,KRW
20250320000739,11011,2024,00169215,019990,CFS,연결재무제표,IS,손익계산서,영업이익,제 38 기,2024.01.01 ~ 2024.12.31,"83,992,820",제 37 기,2023.01.01 ~ 2023.12.31,"-881,692,461",제 36 기,2022.01.01 ~ 2022.12.31,"1,011,710,533",25,KRW
20250320000739,11011,2024,00169215,019990,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 38 기,2024.01.01 ~ 2024.12.31,"594,280,608",제 37 기,2023.01.01 ~ 2023.12.31,"-1,147,107,045",제 36 기,2022.01.01 ~ 2022.12.31,"1,638,939,169",27,KRW
20250320000739,11011,2024,00169215,019990,CFS,연결재무제표,IS,손익계산서,당기순이익,제 38 기,2024.01.01 ~ 2024.12.31,"482,808,942",제 37 기,2023.01.01 ~ 2023.12.31,"-939,423,866",제 36 기,2022.01.01 ~ 2022.12.31,"1,544,296,333",29,KRW
20250320000739,11011,2024,00169215,019990,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 38 기,2024.01.01 ~ 2024.12.31,"482,808,942",제 37 기,2023.01.01 ~ 2023.12.31,"-939,423,866",제 36 기,2022.01.01 ~ 2022.12.31,"1,544,296,333",61,KRW
20250320000739,11011,2024,00169215,019990,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 38 기,2024.01.01 ~ 2024.12.31,"161,123,761",제 37 기,2023.01.01 ~ 2023.12.31,"-2,013,086,821",제 36 기,2022.01.01 ~ 2022.12.31,"722,661,381",63,KRW
20250320000739,11011,2024,00169215,019990,OFS,재무제표,BS,재무상태표,유동자산,제 38 기,2024.12.31 현재,"20,582,959,092",제 37 기,2023.12.31 현재,"21,048,998,986",제 36 기,2022.12.31 현재,"23,732,238,899",2,KRW
20250320000739,11011,2024,00169215,019990,OFS,재무제표,BS,재무상태표,비유동자산,제 38 기,2024.12.31 현재,"24,341,397,145",제 37 기,2023.12.31 현재,"24,909,012,486",제 36 기,2022.12.31 현재,"27,794,589,893",4,KRW
20250320000739,11011,2024,00169215,019990,OFS,재무제표,BS,재무상태표,자산총계,제 38 기,2024.12.31 현재,"44,924,356,237",제 37 기,2023.12.31 현재,"45,958,011,472",제 36 기,2022.12.31 현재,"51,526,828,792",6,KRW
20250320000739,11011,2024,00169215,019990,OFS,재무제표,BS,재무상태표,유동부채,제 38 기,2024.12.31 현재,"2,456,580,054",제 37 기,2023.12.31 현재,"4,623,592,782",제 36 기,2022.12.31 현재,"6,591,841,381",8,KRW
20250320000739,11011,2024,00169215,019990,OFS,재무제표,BS,재무상태표,비유동부채,제 38 기,2024.12.31 현재,"678,909,925",제 37 기,2023.12.31 현재,"875,696,967",제 36 기,2022.12.31 현재,"591,882,551",10,KRW
20250320000739,11011,2024,00169215,019990,OFS,재무제표,BS,재무상태표,부채총계,제 38 기,2024.12.31 현재,"3,135,489,979",제 37 기,2023.12.31 현재,"5,499,289,749",제 36 기,2022.12.31 현재,"7,183,723,932",12,KRW
20250320000739,11011,2024,00169215,019990,OFS,재무제표,BS,재무상태표,자본금,제 38 기,2024.12.31 현재,"4,878,044,000",제 37 기,2023.12.31 현재,"4,878,044,000",제 36 기,2022.12.31 현재,"4,878,044,000",15,KRW
20250320000739,11011,2024,00169215,019990,OFS,재무제표,BS,재무상태표,이익잉여금,제 38 기,2024.12.31 현재,"30,259,013,830",제 37 기,2023.12.31 현재,"30,417,764,072",제 36 기,2022.12.31 현재,"31,152,682,115",19,KRW
20250320000739,11011,2024,00169215,019990,OFS,재무제표,BS,재무상태표,자본총계,제 38 기,2024.12.31 현재,"41,788,866,258",제 37 기,2023.12.31 현재,"40,458,721,723",제 36 기,2022.12.31 현재,"44,343,104,860",22,KRW
