rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240201000632,11011,2022,01099667,217480,CFS,연결재무제표,BS,재무상태표,유동자산,제 15 기,2022.12.31 현재,"44,050,829,157",제 14 기,2021.12.31 현재,"80,415,432,317",제 13 기,2020.12.31 현재,"86,228,817,057",1,KRW
20240201000632,11011,2022,01099667,217480,CFS,연결재무제표,BS,재무상태표,비유동자산,제 15 기,2022.12.31 현재,"52,388,480,411",제 14 기,2021.12.31 현재,"66,051,242,771",제 13 기,2020.12.31 현재,"60,033,647,253",3,KRW
20240201000632,11011,2022,01099667,217480,CFS,연결재무제표,BS,재무상태표,자산총계,제 15 기,2022.12.31 현재,"96,439,309,568",제 14 기,2021.12.31 현재,"146,466,675,088",제 13 기,2020.12.31 현재,"146,262,464,310",5,KRW
20240201000632,11011,2022,01099667,217480,CFS,연결재무제표,BS,재무상태표,유동부채,제 15 기,2022.12.31 현재,"77,839,586,293",제 14 기,2021.12.31 현재,"84,730,442,508",제 13 기,2020.12.31 현재,"53,303,169,657",7,KRW
20240201000632,11011,2022,01099667,217480,CFS,연결재무제표,BS,재무상태표,비유동부채,제 15 기,2022.12.31 현재,"13,771,789,400",제 14 기,2021.12.31 현재,"12,761,211,902",제 13 기,2020.12.31 현재,"6,353,690,026",9,KRW
20240201000632,11011,2022,01099667,217480,CFS,연결재무제표,BS,재무상태표,부채총계,제 15 기,2022.12.31 현재,"91,611,375,693",제 14 기,2021.12.31 현재,"97,491,654,410",제 13 기,2020.12.31 현재,"59,656,859,683",11,KRW
20240201000632,11011,2022,01099667,217480,CFS,연결재무제표,BS,재무상태표,자본금,제 15 기,2022.12.31 현재,"20,884,163,000",제 14 기,2021.12.31 현재,"11,207,533,000",제 13 기,2020.12.31 현재,"11,207,533,000",13,KRW
20240201000632,11011,2022,01099667,217480,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 15 기,2022.12.31 현재,"-83,103,079,010",제 14 기,2021.12.31 현재,"-10,531,200,190",제 13 기,2020.12.31 현재,"33,155,465,633",17,KRW
20240201000632,11011,2022,01099667,217480,CFS,연결재무제표,BS,재무상태표,자본총계,제 15 기,2022.12.31 현재,"4,827,933,875",제 14 기,2021.12.31 현재,"48,975,020,678",제 13 기,2020.12.31 현재,"86,605,604,627",21,KRW
20240201000632,11011,2022,01099667,217480,CFS,연결재무제표,IS,손익계산서,매출액,제 15 기,2022.01.01 ~ 2022.12.31,"92,860,030,035",제 14 기,2021.01.01 ~ 2021.12.31,"124,680,967,309",제 13 기,2020.01.01 ~ 2020.12.31,"140,725,431,479",23,KRW
20240201000632,11011,2022,01099667,217480,CFS,연결재무제표,IS,손익계산서,영업이익,제 15 기,2022.01.01 ~ 2022.12.31,"-41,028,552,599",제 14 기,2021.01.01 ~ 2021.12.31,"-34,822,452,381",제 13 기,2020.01.01 ~ 2020.12.31,"-3,712,204,178",25,KRW
20240201000632,11011,2022,01099667,217480,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 15 기,2022.01.01 ~ 2022.12.31,"-74,953,652,733",제 14 기,2021.01.01 ~ 2021.12.31,"-42,109,391,101",제 13 기,2020.01.01 ~ 2020.12.31,"-9,235,110,114",27,KRW
20240201000632,11011,2022,01099667,217480,CFS,연결재무제표,IS,손익계산서,당기순이익,제 15 기,2022.01.01 ~ 2022.12.31,"-74,971,217,040",제 14 기,2021.01.01 ~ 2021.12.31,"-45,148,835,312",제 13 기,2020.01.01 ~ 2020.12.31,"-9,765,160,630",29,KRW
20240201000632,11011,2022,01099667,217480,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 15 기,2022.01.01 ~ 2022.12.31,"-74,971,217,040",제 14 기,2021.01.01 ~ 2021.12.31,"-45,148,835,312",제 13 기,2020.01.01 ~ 2020.12.31,"-9,765,160,630",61,KRW
20240201000632,11011,2022,01099667,217480,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 15 기,2022.01.01 ~ 2022.12.31,"-79,276,391,603",제 14 기,2021.01.01 ~ 2021.12.31,"-44,007,283,546",제 13 기,2020.01.01 ~ 2020.12.31,"-9,708,871,343",63,KRW
