rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250317000263,11011,2024,00411048,101490,CFS,연결재무제표,BS,재무상태표,유동자산,제 24 기,2024.12.31 현재,"155,043,401,195",제 23 기,2023.12.31 현재,"118,042,480,687",제 22 기,2022.12.31 현재,"94,153,446,461",1,KRW
20250317000263,11011,2024,00411048,101490,CFS,연결재무제표,BS,재무상태표,비유동자산,제 24 기,2024.12.31 현재,"141,988,287,290",제 23 기,2023.12.31 현재,"138,716,268,066",제 22 기,2022.12.31 현재,"132,596,849,968",3,KRW
20250317000263,11011,2024,00411048,101490,CFS,연결재무제표,BS,재무상태표,자산총계,제 24 기,2024.12.31 현재,"297,031,688,485",제 23 기,2023.12.31 현재,"256,758,748,753",제 22 기,2022.12.31 현재,"226,750,296,429",5,KRW
20250317000263,11011,2024,00411048,101490,CFS,연결재무제표,BS,재무상태표,유동부채,제 24 기,2024.12.31 현재,"39,676,525,728",제 23 기,2023.12.31 현재,"29,187,220,783",제 22 기,2022.12.31 현재,"30,461,127,018",7,KRW
20250317000263,11011,2024,00411048,101490,CFS,연결재무제표,BS,재무상태표,비유동부채,제 24 기,2024.12.31 현재,"10,508,113,904",제 23 기,2023.12.31 현재,"6,772,750,777",제 22 기,2022.12.31 현재,"5,897,700,292",9,KRW
20250317000263,11011,2024,00411048,101490,CFS,연결재무제표,BS,재무상태표,부채총계,제 24 기,2024.12.31 현재,"50,184,639,632",제 23 기,2023.12.31 현재,"35,959,971,560",제 22 기,2022.12.31 현재,"36,358,827,310",11,KRW
20250317000263,11011,2024,00411048,101490,CFS,연결재무제표,BS,재무상태표,자본금,제 24 기,2024.12.31 현재,"10,725,723,500",제 23 기,2023.12.31 현재,"10,725,723,500",제 22 기,2022.12.31 현재,"10,725,723,500",13,KRW
20250317000263,11011,2024,00411048,101490,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 24 기,2024.12.31 현재,"128,486,595,528",제 23 기,2023.12.31 현재,"101,541,981,008",제 22 기,2022.12.31 현재,"79,169,178,767",17,KRW
20250317000263,11011,2024,00411048,101490,CFS,연결재무제표,BS,재무상태표,자본총계,제 24 기,2024.12.31 현재,"246,847,048,853",제 23 기,2023.12.31 현재,"220,798,777,193",제 22 기,2022.12.31 현재,"190,391,469,119",21,KRW
20250317000263,11011,2024,00411048,101490,CFS,연결재무제표,IS,손익계산서,매출액,제 24 기,2024.01.01 ~ 2024.12.31,"176,013,891,367",제 23 기,2023.01.01 ~ 2023.12.31,"150,320,408,224",제 22 기,2022.01.01 ~ 2022.12.31,"123,506,695,451",23,KRW
