rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240325000104,11011,2023,00245898,050320,OFS,재무제표,BS,재무상태표,유동자산,제 29 기,2023.12.31 현재,"70,909,233",제 28 기,2022.12.31 현재,"311,832,765",제 27 기,2021.12.31 현재,"9,521,044,684",2,KRW
20240325000104,11011,2023,00245898,050320,OFS,재무제표,BS,재무상태표,비유동자산,제 29 기,2023.12.31 현재,"2,096,871,192",제 28 기,2022.12.31 현재,"2,099,220,483",제 27 기,2021.12.31 현재,"1,580,691,172",4,KRW
20240325000104,11011,2023,00245898,050320,OFS,재무제표,BS,재무상태표,자산총계,제 29 기,2023.12.31 현재,"2,167,780,425",제 28 기,2022.12.31 현재,"2,411,053,248",제 27 기,2021.12.31 현재,"11,101,735,856",6,KRW
20240325000104,11011,2023,00245898,050320,OFS,재무제표,BS,재무상태표,유동부채,제 29 기,2023.12.31 현재,"43,582,750",제 28 기,2022.12.31 현재,"61,349,256",제 27 기,2021.12.31 현재,"3,992,733,834",8,KRW
20240325000104,11011,2023,00245898,050320,OFS,재무제표,BS,재무상태표,비유동부채,제 29 기,2023.12.31 현재,0,제 28 기,2022.12.31 현재,0,제 27 기,2021.12.31 현재,"84,361,232",10,KRW
20240325000104,11011,2023,00245898,050320,OFS,재무제표,BS,재무상태표,부채총계,제 29 기,2023.12.31 현재,"43,582,750",제 28 기,2022.12.31 현재,"61,349,256",제 27 기,2021.12.31 현재,"4,077,095,066",12,KRW
20240325000104,11011,2023,00245898,050320,OFS,재무제표,BS,재무상태표,자본금,제 29 기,2023.12.31 현재,"5,511,400",제 28 기,2022.12.31 현재,"110,229,800",제 27 기,2021.12.31 현재,"4,613,795,000",15,KRW
20240325000104,11011,2023,00245898,050320,OFS,재무제표,BS,재무상태표,이익잉여금,제 29 기,2023.12.31 현재,"-29,403,437,954",제 28 기,2022.12.31 현재,"-29,282,729,502",제 27 기,2021.12.31 현재,"-29,111,531,379",19,KRW
20240325000104,11011,2023,00245898,050320,OFS,재무제표,BS,재무상태표,자본총계,제 29 기,2023.12.31 현재,"2,124,197,675",제 28 기,2022.12.31 현재,"2,349,703,992",제 27 기,2021.12.31 현재,"7,024,640,790",22,KRW
20240325000104,11011,2023,00245898,050320,OFS,재무제표,IS,손익계산서,매출액,제 29 기,2023.01.01 ~ 2023.12.31,0,제 28 기,2022.01.01 ~ 2022.12.31,"1,052,429,738",제 27 기,2021.01.01 ~ 2021.12.31,"8,698,897,055",24,KRW
20240325000104,11011,2023,00245898,050320,OFS,재무제표,IS,손익계산서,영업이익,제 29 기,2023.01.01 ~ 2023.12.31,"-373,881,472",제 28 기,2022.01.01 ~ 2022.12.31,"-566,229,582",제 27 기,2021.01.01 ~ 2021.12.31,"571,565,494",26,KRW
20240325000104,11011,2023,00245898,050320,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 29 기,2023.01.01 ~ 2023.12.31,"-225,426,852",제 28 기,2022.01.01 ~ 2022.12.31,"-6,674,763,323",제 27 기,2021.01.01 ~ 2021.12.31,"1,118,395,181",28,KRW
20240325000104,11011,2023,00245898,050320,OFS,재무제표,IS,손익계산서,당기순이익,제 29 기,2023.01.01 ~ 2023.12.31,"-225,426,852",제 28 기,2022.01.01 ~ 2022.12.31,"-6,674,763,323",제 27 기,2021.01.01 ~ 2021.12.31,"1,103,170,124",30,KRW
20240325000104,11011,2023,00245898,050320,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 29 기,2023.01.01 ~ 2023.12.31,"-225,426,852",제 28 기,2022.01.01 ~ 2022.12.31,"-6,674,763,323",제 27 기,2021.01.01 ~ 2021.12.31,"1,103,170,124",62,KRW
20240325000104,11011,2023,00245898,050320,OFS,재무제표,IS,손익계산서,총포괄손익,제 29 기,2023.01.01 ~ 2023.12.31,"-225,426,852",제 28 기,2022.01.01 ~ 2022.12.31,"-6,674,763,323",제 27 기,2021.01.01 ~ 2021.12.31,"1,119,457,807",64,KRW
