rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240318000589,11011,2023,00125521,005850,CFS,연결재무제표,BS,재무상태표,유동자산,제 56 기,2023.12.31 현재,"2,070,891,916,834",제 55 기,2022.12.31 현재,"1,773,353,010,903",제 54 기,2021.12.31 현재,"1,601,327,668,417",1,KRW
20240318000589,11011,2023,00125521,005850,CFS,연결재무제표,BS,재무상태표,비유동자산,제 56 기,2023.12.31 현재,"1,164,842,550,412",제 55 기,2022.12.31 현재,"1,158,283,929,402",제 54 기,2021.12.31 현재,"966,165,465,109",3,KRW
20240318000589,11011,2023,00125521,005850,CFS,연결재무제표,BS,재무상태표,자산총계,제 56 기,2023.12.31 현재,"3,235,734,467,246",제 55 기,2022.12.31 현재,"2,931,636,940,305",제 54 기,2021.12.31 현재,"2,567,493,133,526",5,KRW
20240318000589,11011,2023,00125521,005850,CFS,연결재무제표,BS,재무상태표,유동부채,제 56 기,2023.12.31 현재,"1,116,078,680,510",제 55 기,2022.12.31 현재,"1,092,451,714,642",제 54 기,2021.12.31 현재,"898,523,117,862",7,KRW
20240318000589,11011,2023,00125521,005850,CFS,연결재무제표,BS,재무상태표,비유동부채,제 56 기,2023.12.31 현재,"110,536,383,254",제 55 기,2022.12.31 현재,"133,176,076,650",제 54 기,2021.12.31 현재,"150,495,730,758",9,KRW
20240318000589,11011,2023,00125521,005850,CFS,연결재무제표,BS,재무상태표,부채총계,제 56 기,2023.12.31 현재,"1,226,615,063,764",제 55 기,2022.12.31 현재,"1,225,627,791,292",제 54 기,2021.12.31 현재,"1,049,018,848,620",11,KRW
20240318000589,11011,2023,00125521,005850,CFS,연결재무제표,BS,재무상태표,자본금,제 56 기,2023.12.31 현재,"23,224,260,000",제 55 기,2022.12.31 현재,"23,224,260,000",제 54 기,2021.12.31 현재,"24,101,638,500",13,KRW
20240318000589,11011,2023,00125521,005850,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 56 기,2023.12.31 현재,"1,470,360,528,277",제 55 기,2022.12.31 현재,"1,174,849,883,321",제 54 기,2021.12.31 현재,"1,036,379,403,342",17,KRW
20240318000589,11011,2023,00125521,005850,CFS,연결재무제표,BS,재무상태표,자본총계,제 56 기,2023.12.31 현재,"2,009,119,403,482",제 55 기,2022.12.31 현재,"1,706,009,149,013",제 54 기,2021.12.31 현재,"1,518,474,284,906",21,KRW
20240318000589,11011,2023,00125521,005850,CFS,연결재무제표,IS,손익계산서,매출액,제 56 기,2023.01.01 ~ 2023.12.31,"4,838,846,695,980",제 55 기,2022.01.01 ~ 2022.12.31,"4,174,537,934,857",제 54 기,2021.01.01 ~ 2021.12.31,"3,001,142,196,348",23,KRW
20240318000589,11011,2023,00125521,005850,CFS,연결재무제표,IS,손익계산서,영업이익,제 56 기,2023.01.01 ~ 2023.12.31,"386,185,752,873",제 55 기,2022.01.01 ~ 2022.12.31,"197,915,409,993",제 54 기,2021.01.01 ~ 2021.12.31,"110,540,923,374",25,KRW
20240318000589,11011,2023,00125521,005850,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 56 기,2023.01.01 ~ 2023.12.31,"428,816,220,304",제 55 기,2022.01.01 ~ 2022.12.31,"215,698,969,074",제 54 기,2021.01.01 ~ 2021.12.31,"155,477,506,214",27,KRW
20240318000589,11011,2023,00125521,005850,CFS,연결재무제표,IS,손익계산서,당기순이익,제 56 기,2023.01.01 ~ 2023.12.31,"349,266,124,228",제 55 기,2022.01.01 ~ 2022.12.31,"165,912,606,043",제 54 기,2021.01.01 ~ 2021.12.31,"96,212,544,698",29,KRW
20240318000589,11011,2023,00125521,005850,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 56 기,2023.01.01 ~ 2023.12.31,"349,266,124,228",제 55 기,2022.01.01 ~ 2022.12.31,"165,912,606,043",제 54 기,2021.01.01 ~ 2021.12.31,"96,212,544,698",61,KRW
20240318000589,11011,2023,00125521,005850,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 56 기,2023.01.01 ~ 2023.12.31,"335,013,348,587",제 55 기,2022.01.01 ~ 2022.12.31,"165,882,511,039",제 54 기,2021.01.01 ~ 2021.12.31,"116,333,588,244",63,KRW
20240318000589,11011,2023,00125521,005850,OFS,재무제표,BS,재무상태표,유동자산,제 56 기,2023.12.31 현재,"1,210,853,377,239",제 55 기,2022.12.31 현재,"1,062,120,520,017",제 54 기,2021.12.31 현재,"1,049,202,785,302",2,KRW
20240318000589,11011,2023,00125521,005850,OFS,재무제표,BS,재무상태표,비유동자산,제 56 기,2023.12.31 현재,"939,176,244,413",제 55 기,2022.12.31 현재,"852,411,653,579",제 54 기,2021.12.31 현재,"684,397,287,142",4,KRW
20240318000589,11011,2023,00125521,005850,OFS,재무제표,BS,재무상태표,자산총계,제 56 기,2023.12.31 현재,"2,150,029,621,652",제 55 기,2022.12.31 현재,"1,914,532,173,596",제 54 기,2021.12.31 현재,"1,733,600,072,444",6,KRW
20240318000589,11011,2023,00125521,005850,OFS,재무제표,BS,재무상태표,유동부채,제 56 기,2023.12.31 현재,"463,270,673,839",제 55 기,2022.12.31 현재,"400,733,832,370",제 54 기,2021.12.31 현재,"336,329,134,936",8,KRW
20240318000589,11011,2023,00125521,005850,OFS,재무제표,BS,재무상태표,비유동부채,제 56 기,2023.12.31 현재,"31,166,720,962",제 55 기,2022.12.31 현재,"32,756,042,114",제 54 기,2021.12.31 현재,"62,004,681,209",10,KRW
20240318000589,11011,2023,00125521,005850,OFS,재무제표,BS,재무상태표,부채총계,제 56 기,2023.12.31 현재,"494,437,394,801",제 55 기,2022.12.31 현재,"433,489,874,484",제 54 기,2021.12.31 현재,"398,333,816,145",12,KRW
20240318000589,11011,2023,00125521,005850,OFS,재무제표,BS,재무상태표,자본금,제 56 기,2023.12.31 현재,"23,224,260,000",제 55 기,2022.12.31 현재,"23,224,260,000",제 54 기,2021.12.31 현재,"24,101,638,500",15,KRW
20240318000589,11011,2023,00125521,005850,OFS,재무제표,BS,재무상태표,이익잉여금,제 56 기,2023.12.31 현재,"1,147,579,925,046",제 55 기,2022.12.31 현재,"972,142,171,599",제 54 기,2021.12.31 현재,"825,678,744,129",19,KRW
20240318000589,11011,2023,00125521,005850,OFS,재무제표,BS,재무상태표,자본총계,제 56 기,2023.12.31 현재,"1,655,592,226,851",제 55 기,2022.12.31 현재,"1,481,042,299,112",제 54 기,2021.12.31 현재,"1,335,266,256,299",22,KRW
20240318000589,11011,2023,00125521,005850,OFS,재무제표,IS,손익계산서,매출액,제 56 기,2023.01.01 ~ 2023.12.31,"2,655,510,930,000",제 55 기,2022.01.01 ~ 2022.12.31,"2,351,608,869,278",제 54 기,2021.01.01 ~ 2021.12.31,"1,994,229,561,933",24,KRW
20240318000589,11011,2023,00125521,005850,OFS,재무제표,IS,손익계산서,영업이익,제 56 기,2023.01.01 ~ 2023.12.31,"178,183,426,256",제 55 기,2022.01.01 ~ 2022.12.31,"172,143,218,140",제 54 기,2021.01.01 ~ 2021.12.31,"132,936,985,084",26,KRW
20240318000589,11011,2023,00125521,005850,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 56 기,2023.01.01 ~ 2023.12.31,"261,120,427,414",제 55 기,2022.01.01 ~ 2022.12.31,"206,431,272,332",제 54 기,2021.01.01 ~ 2021.12.31,"195,510,987,631",28,KRW
20240318000589,11011,2023,00125521,005850,OFS,재무제표,IS,손익계산서,당기순이익,제 56 기,2023.01.01 ~ 2023.12.31,"213,685,387,267",제 55 기,2022.01.01 ~ 2022.12.31,"163,552,127,719",제 54 기,2021.01.01 ~ 2021.12.31,"132,488,238,434",30,KRW
20240318000589,11011,2023,00125521,005850,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 56 기,2023.01.01 ~ 2023.12.31,"213,685,387,267",제 55 기,2022.01.01 ~ 2022.12.31,"163,552,127,719",제 54 기,2021.01.01 ~ 2021.12.31,"132,488,238,434",62,KRW
20240318000589,11011,2023,00125521,005850,OFS,재무제표,IS,손익계산서,총포괄손익,제 56 기,2023.01.01 ~ 2023.12.31,"202,183,204,939",제 55 기,2022.01.01 ~ 2022.12.31,"168,803,773,813",제 54 기,2021.01.01 ~ 2021.12.31,"123,057,901,058",64,KRW
